s,kg,kg,kg,kg,,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
 1.8011622E+001, 2.7054090E+000, 4.6604941E-001, 4.2514534E-001, 6.3789739E-001, 2.3895723E-004, 5.3241715E-002, 7.5087129E-003, 2.0804852E-003, 9.8106949E-003, 1.3294779E-002, 6.1159390E-003, 1.7397729E-003,-1.7649631E-004, 2.8524492E-003, 3.1869858E-003, 1.6694230E-003, 6.5544480E-004,-9.5238017E-004
 1.9002920E+001, 2.7052433E+000, 4.6601068E-001, 4.2512650E-001, 6.3788318E-001, 2.0836960E-004, 4.7814908E-002, 6.8697070E-003, 1.8986910E-003, 8.5014817E-003, 1.1821328E-002, 5.2920432E-003, 1.2852175E-003,-5.0388822E-004, 2.2246185E-003, 2.5220511E-003, 1.1899188E-003, 2.6071539E-004,-1.2608238E-003
 2.0011012E+001, 2.7051010E+000, 4.6597713E-001, 4.2510796E-001, 6.3786891E-001, 1.8439056E-004, 4.3069914E-002, 6.2921399E-003, 1.7352908E-003, 7.3296283E-003, 1.0474814E-002, 4.5559362E-003, 8.7168438E-004,-7.3591996E-004, 1.6589585E-003, 1.9334602E-003, 7.6421606E-004,-4.6461057E-005,-1.4861710E-003
 2.1000534E+001, 2.7049778E+000, 4.6594798E-001, 4.2508990E-001, 6.3785474E-001, 1.6583685E-004, 3.8941349E-002, 5.7654926E-003, 1.5882319E-003, 6.3122851E-003, 9.2744168E-003, 3.8871992E-003, 5.0141622E-004,-1.0004917E-003, 1.1542497E-003, 1.4214337E-003, 3.9119205E-004,-3.4888777E-004,-1.6926635E-003
 2.2023718E+001, 2.7048686E+000, 4.6592218E-001, 4.2507218E-001, 6.3784053E-001, 1.5043987E-004, 3.5310922E-002, 5.2941266E-003, 1.4636420E-003, 5.4175039E-003, 8.2195796E-003, 3.2796883E-003, 1.5868383E-004,-1.2489216E-003, 7.1964267E-004, 9.6318654E-004, 5.8535543E-005,-6.2338482E-004,-1.8927782E-003
 2.3000188E+001, 2.7047717E+000, 4.6589938E-001, 4.2505501E-001, 6.3782649E-001, 1.3850638E-004, 3.2262520E-002, 4.8507775E-003, 1.3417470E-003, 4.5823783E-003, 7.2186879E-003, 2.7272616E-003,-1.3291093E-004,-1.4301726E-003, 3.1038721E-004, 5.4401629E-004,-2.6109415E-004,-8.6163729E-004,-2.0435766E-003
 2.4005378E+001, 2.7046851E+000, 4.6587912E-001, 4.2503843E-001, 6.3781264E-001, 1.2836752E-004, 2.9648071E-002, 4.4812953E-003, 1.2399389E-003, 3.8763147E-003, 6.3588644E-003, 2.2257138E-003,-4.1747222E-004,-1.6164778E-003,-3.9459041E-005, 1.8511275E-004,-5.3900049E-004,-1.1064099E-003,-2.2033622E-003
 2.5013440E+001, 2.7046049E+000, 4.6586050E-001, 4.2502204E-001, 6.3779866E-001, 1.1990912E-004, 2.7203638E-002, 4.1467077E-003, 1.1513510E-003, 3.2494318E-003, 5.5842079E-003, 1.7733529E-003,-6.7391939E-004,-1.7806105E-003,-3.5178536E-004,-1.3840922E-004,-7.9333507E-004,-1.3117542E-003,-2.3430967E-003
 2.6024373E+001, 2.7045308E+000, 4.6584346E-001, 4.2500601E-001, 6.3778470E-001, 1.1275910E-004, 2.4928539E-002, 3.8389183E-003, 1.0676241E-003, 2.6789181E-003, 4.8736670E-003, 1.3675538E-003,-9.0308732E-004,-1.9202420E-003,-6.3776423E-004,-4.3184863E-004,-1.0199437E-003,-1.4986301E-003,-2.4590493E-003
 2.7003715E+001, 2.7044630E+000, 4.6582803E-001, 4.2499059E-001, 6.3777101E-001, 1.0685873E-004, 2.2993955E-002, 3.5588697E-003, 9.9133339E-004, 2.1632210E-003, 4.2272052E-003, 9.8640081E-004,-1.1390773E-003,-2.0889148E-003,-8.9481806E-004,-6.9734093E-004,-1.2347148E-003,-1.6882212E-003,-2.5859573E-003
 2.8014649E+001, 2.7043995E+000, 4.6581376E-001, 4.2497556E-001, 6.3775740E-001, 1.0164061E-004, 2.1335408E-002, 3.3024927E-003, 9.2250835E-004, 1.6940250E-003, 3.6316301E-003, 6.3461490E-004,-1.3283838E-003,-2.2249570E-003,-1.1329729E-003,-9.4168149E-004,-1.4369724E-003,-1.8506544E-003,-2.6866545E-003
 2.9025583E+001, 2.7043389E+000, 4.6580028E-001, 4.2496068E-001, 6.3774366E-001, 9.7152716E-005, 1.9881932E-002, 3.0702072E-003, 8.6044906E-004, 1.2721056E-003, 3.0975247E-003, 3.1990222E-004,-1.5099869E-003,-2.3519712E-003,-1.3451916E-003,-1.1590401E-003,-1.6057528E-003,-2.0021846E-003,-2.7829843E-003
 3.0000000E+001, 2.7042824E+000, 4.6578788E-001, 4.2494641E-001, 6.3773023E-001, 9.3298096E-005, 1.8572915E-002, 2.8631048E-003, 8.0375763E-004, 8.9409765E-004, 2.6163005E-003, 3.2718220E-005,-1.6692275E-003,-2.4522757E-003,-1.5317837E-003,-1.3561031E-003,-1.7651374E-003,-2.1297159E-003,-2.8653081E-003
