s,kg,kg,kg,kg,,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
 4.6002436E+001, 4.6692724E+000, 1.3756676E+000, 1.3471068E+000, 1.8652728E+000, 1.8050334E-003, 5.8813198E-002, 1.9813318E-002, 1.0860233E-002, 2.9918403E-002, 5.8331194E-002, 7.5463504E-002, 7.1889512E-002, 9.1001392E-002, 3.1249976E-002, 3.3564011E-002, 5.5699266E-002, 3.5560947E-002, 2.9906574E-002
 4.7008014E+001, 4.6690805E+000, 1.3755804E+000, 1.3467291E+000, 1.8641251E+000, 1.6500144E-003, 5.5244106E-002, 1.7847603E-002, 9.0097158E-003, 2.2317008E-002, 3.4703372E-002, 3.2444547E-002, 2.4272592E-002, 1.9698892E-002, 1.1916246E-002, 1.6160193E-002, 1.6825560E-002, 1.1709939E-002, 8.9739346E-003
 4.8008375E+001, 4.6688965E+000, 1.3754990E+000, 1.3463833E+000, 1.8630806E+000, 1.5230515E-003, 5.2003538E-002, 1.5942124E-002, 7.9356235E-003, 1.9639085E-002, 2.9800977E-002, 2.5761492E-002, 1.7427167E-002, 1.0241317E-002, 8.7360722E-003, 1.2909032E-002, 1.1538940E-002, 8.3439429E-003, 5.7786505E-003
 4.9002907E+001, 4.6687210E+000, 1.3754235E+000, 1.3460654E+000, 1.8621309E+000, 1.4153536E-003, 4.8699353E-002, 1.4347354E-002, 7.1284569E-003, 1.7301862E-002, 2.7080894E-002, 2.3169510E-002, 1.5633058E-002, 8.3726036E-003, 7.7702949E-003, 1.1802342E-002, 1.0071621E-002, 7.1728833E-003, 4.5634826E-003
 5.0010194E+001, 4.6685512E+000, 1.3753523E+000, 1.3457686E+000, 1.8612536E+000, 1.3205747E-003, 4.5670501E-002, 1.3193570E-002, 6.5227876E-003, 1.5586557E-002, 2.4866241E-002, 2.1099789E-002, 1.4090298E-002, 7.1038796E-003, 6.9620313E-003, 1.0872870E-002, 8.9926049E-003, 6.2186906E-003, 3.4851882E-003
 5.1002222E+001, 4.6683869E+000, 1.3752850E+000, 1.3454914E+000, 1.8604417E+000, 1.2386033E-003, 4.3023845E-002, 1.2213693E-002, 5.9940996E-003, 1.4238740E-002, 2.3091195E-002, 1.9276752E-002, 1.2796047E-002, 6.2103701E-003, 6.1764273E-003, 9.8284524E-003, 8.0576208E-003, 5.4259718E-003, 2.6715832E-003
 5.2015014E+001, 4.6682270E+000, 1.3752210E+000, 1.3452309E+000, 1.8596855E+000, 1.1647223E-003, 4.0688829E-002, 1.1320938E-002, 5.5462543E-003, 1.2900994E-002, 2.1512845E-002, 1.7603276E-002, 1.1435444E-002, 5.4357208E-003, 5.4461602E-003, 8.9324434E-003, 7.2194159E-003, 4.7560717E-003, 2.3054626E-003
 5.3004735E+001, 4.6680712E+000, 1.3751599E+000, 1.3449861E+000, 1.8589798E+000, 1.1003769E-003, 3.8500693E-002, 1.0437685E-002, 5.2485387E-003, 1.1759343E-002, 1.9805870E-002, 1.6059852E-002, 1.0167499E-002, 4.4900042E-003, 4.7726318E-003, 8.1574107E-003, 6.4407263E-003, 4.0850465E-003, 1.6911258E-003
 5.4019834E+001, 4.6679191E+000, 1.3751015E+000, 1.3447551E+000, 1.8583190E+000, 1.0413851E-003, 3.6398493E-002, 9.6940338E-003, 5.0205364E-003, 1.0735832E-002, 1.8265362E-002, 1.4756016E-002, 9.1870746E-003, 3.7376080E-003, 4.1799934E-003, 7.4532642E-003, 5.7892691E-003, 3.5211828E-003, 1.1487903E-003
 5.5010824E+001, 4.6677701E+000, 1.3750453E+000, 1.3445367E+000, 1.8576979E+000, 9.8957160E-004, 3.4567701E-002, 9.0665445E-003, 4.7630923E-003, 9.8516907E-003, 1.7068273E-002, 1.3760119E-002, 8.4352444E-003, 3.1620430E-003, 3.6787727E-003, 6.7835976E-003, 5.5410822E-003, 3.0982577E-003, 8.3977374E-004
 5.6024146E+001, 4.6676242E+000, 1.3749911E+000, 1.3443301E+000, 1.8571140E+000, 9.4159598E-004, 3.3178194E-002, 8.4994126E-003, 4.3947191E-003, 9.0510216E-003, 1.6195568E-002, 1.2993878E-002, 7.7104989E-003, 2.6537186E-003, 3.2327483E-003, 6.0368815E-003, 5.2457601E-003, 2.7827793E-003, 5.8112209E-004
 5.7006762E+001, 4.6674813E+000, 1.3749390E+000, 1.3441345E+000, 1.8565642E+000, 8.9937179E-004, 3.1825101E-002, 7.9862896E-003, 4.1251228E-003, 8.2578104E-003, 1.5371606E-002, 1.2306238E-002, 7.0509456E-003, 2.1856541E-003, 2.8091107E-003, 5.3795420E-003, 4.7577248E-003, 2.4664520E-003, 3.6279580E-004
 5.8020084E+001, 4.6673406E+000, 1.3748884E+000, 1.3439483E+000, 1.8560441E+000, 8.5971232E-004, 3.0290733E-002, 7.5095308E-003, 3.9271644E-003, 7.5196290E-003, 1.4352866E-002, 1.1614252E-002, 6.4637300E-003, 1.7461670E-003, 2.4271838E-003, 4.8530630E-003, 4.3245733E-003, 2.1663333E-003, 5.8027035E-005
 5.9002700E+001, 4.6672021E+000, 1.3748393E+000, 1.3437709E+000, 1.8555506E+000, 8.2456975E-004, 2.8857230E-002, 7.0611755E-003, 3.7048616E-003, 6.8499793E-003, 1.3296809E-002, 1.0907300E-002, 5.9568495E-003, 1.3763031E-003, 2.0716158E-003, 4.3677217E-003, 3.8145780E-003, 1.8791546E-003,-2.7779061E-004
 6.0000000E+001, 4.6670666E+000, 1.3747919E+000, 1.3436029E+000, 1.8550858E+000, 7.9189245E-004, 2.7709276E-002, 6.6651175E-003, 3.4951120E-003, 6.2717403E-003, 1.2378984E-002, 1.0295061E-002, 5.4809093E-003, 1.0996613E-003, 1.7547606E-003, 3.9211319E-003, 3.3582842E-003, 1.6558981E-003,-5.0317112E-004
