s,status,status
Time,"Act1","Act2"
 1.9608092E+002, 1, 1
 1.9632587E+002, 1, 1
 1.9656062E+002, 1, 1
 1.9680179E+002, 1, 1
 1.9704462E+002, 1, 1
 1.9728987E+002, 1, 1
 1.9752460E+002, 1, 1
 1.9776447E+002, 1, 1
 1.9800711E+002, 1, 1
 1.9824750E+002, 1, 1
 1.9848087E+002, 1, 1
 1.9872243E+002, 1, 1
 1.9896074E+002, 1, 1
 1.9920045E+002, 1, 1
 1.9944331E+002, 1, 1
 1.9968617E+002, 1, 1
 1.9992903E+002, 1, 1
 2.0016176E+002, 1, 1
 2.0040045E+002, 1, 1
 2.0064792E+002, 1, 1
 2.0088077E+002, 1, 1
 2.0112135E+002, 1, 1
 2.0136180E+002, 1, 1
 2.0160765E+002, 1, 1
 2.0184172E+002, 1, 1
 2.0208623E+002, 1, 1
 2.0232799E+002, 1, 1
 2.0256198E+002, 1, 1
 2.0280069E+002, 1, 1
 2.0304701E+002, 1, 1
 2.0328696E+002, 1, 1
 2.0352077E+002, 1, 1
 2.0376903E+002, 1, 1
 2.0400854E+002, 1, 1
 2.0424559E+002, 1, 1
 2.0448097E+002, 1, 1
 2.0472955E+002, 1, 1
 2.0496776E+002, 1, 1
 2.0520871E+002, 1, 1
 2.0544632E+002, 1, 1
 2.0568587E+002, 1, 1
 2.0592609E+002, 1, 1
 2.0616397E+002, 1, 1
 2.0640881E+002, 1, 1
 2.0664590E+002, 1, 1
 2.0688652E+002, 1, 1
 2.0712953E+002, 1, 1
 2.0736444E+002, 1, 1
 2.0760968E+002, 1, 1
 2.0784544E+002, 1, 1
 2.0808208E+002, 1, 1
 2.0832101E+002, 1, 1
 2.0856380E+002, 1, 1
 2.0880440E+002, 1, 1
