m,C,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,C,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,C,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol
 1.0211207E-002, 5.2760855E+001, 2.0677109E-001, 4.3253454E-013, 6.5575142E-012, 4.2564470E-004, 8.1968928E-012, 1.2894829E-002, 5.5009238E+001, 2.0660154E-001, 5.0072271E-013, 8.0534809E-012, 5.0244079E-004, 1.0066851E-011, 1.3047496E-002, 5.8473719E+001, 2.0633729E-001, 5.5898361E-013, 9.1739628E-012, 6.2213488E-004, 1.1467453E-011, 1.3285442E-002
 1.0463362E-002, 5.2078377E+001, 2.0682152E-001, 2.7372065E-013, 4.2581806E-012, 4.0279921E-004, 5.3227257E-012, 1.2849413E-002, 5.3223318E+001, 2.0673631E-001, 3.2842366E-013, 5.4860672E-012, 4.4139578E-004, 6.8575840E-012, 1.2926141E-002, 5.5156544E+001, 2.0659166E-001, 3.6952979E-013, 6.3814247E-012, 5.0691791E-004, 7.9767809E-012, 1.3056396E-002
 1.0715517E-002, 5.1764805E+001, 2.0684388E-001, 1.6783765E-013, 2.6987435E-012, 3.9267045E-004, 3.3734294E-012, 1.2829278E-002, 5.2322358E+001, 2.0680216E-001, 2.1151069E-013, 3.6730942E-012, 4.1157110E-004, 4.5913677E-012, 1.2866851E-002, 5.3363582E+001, 2.0672513E-001, 2.4206822E-013, 4.3885895E-012, 4.4646201E-004, 5.4857369E-012, 1.2936213E-002
 1.0967672E-002, 5.1623390E+001, 2.0685358E-001, 9.9600398E-014, 1.6696751E-012, 3.8827801E-004, 2.0870938E-012, 1.2820546E-002, 5.1876835E+001, 2.0683363E-001, 1.3333221E-013, 2.4145917E-012, 3.9731460E-004, 3.0182397E-012, 1.2838510E-002, 5.2414491E+001, 2.0679361E-001, 1.5655596E-013, 2.9789587E-012, 4.1544316E-004, 3.7236984E-012, 1.2874549E-002
 1.1219828E-002, 5.1560536E+001, 2.0685770E-001, 5.7199669E-014, 1.0089167E-012, 3.8641273E-004, 1.2611458E-012, 1.2816838E-002, 5.1660412E+001, 2.0684837E-001, 8.2122158E-014, 1.5577605E-012, 3.9063627E-004, 1.9472006E-012, 1.2825234E-002, 5.1921262E+001, 2.0682805E-001, 9.9721410E-014, 1.9940345E-012, 3.9984349E-004, 2.4925431E-012, 1.2843537E-002
 1.1471983E-002, 5.1532811E+001, 2.0685941E-001, 3.1810660E-014, 5.9585196E-013, 3.8563645E-004, 7.4481495E-013, 1.2815294E-002, 5.1556876E+001, 2.0685515E-001, 4.9360337E-014, 9.8612152E-013, 3.8756780E-004, 1.2326519E-012, 1.2819134E-002, 5.1669155E+001, 2.0684505E-001, 6.2437466E-014, 1.3152614E-012, 3.9214370E-004, 1.6440767E-012, 1.2828230E-002
 1.1724138E-002, 5.1520504E+001, 2.0686011E-001, 1.7153358E-014, 3.4422132E-013, 3.8531961E-004, 4.3027665E-013, 1.2814664E-002, 5.1507919E+001, 2.0685820E-001, 2.8936385E-014, 6.1253494E-013, 3.8618427E-004, 7.6566868E-013, 1.2816383E-002, 5.1542175E+001, 2.0685329E-001, 3.8361905E-014, 8.5437510E-013, 3.8841115E-004, 1.0679689E-012, 1.2820810E-002
 1.1976293E-002, 5.1514863E+001, 2.0686039E-001, 8.9941268E-015, 1.9468740E-013, 3.8519271E-004, 2.4335925E-013, 1.2814412E-002, 5.1484889E+001, 2.0685956E-001, 1.6539544E-014, 3.7338209E-013, 3.8557192E-004, 4.6672762E-013, 1.2815166E-002, 5.1478953E+001, 2.0685721E-001, 2.3102949E-014, 5.4632393E-013, 3.8663360E-004, 6.8290491E-013, 1.2817277E-002
 1.2228448E-002, 5.1512078E+001, 2.0686050E-001, 4.6090200E-015, 1.0790257E-013, 3.8514281E-004, 1.3487822E-013, 1.2814313E-002, 5.1473970E+001, 2.0686014E-001, 9.2252657E-015, 2.2340237E-013, 3.8530581E-004, 2.7925297E-013, 1.2814637E-002, 5.1447624E+001, 2.0685905E-001, 1.3627678E-014, 3.4377713E-013, 3.8580185E-004, 4.2972142E-013, 1.2815623E-002
 1.2480603E-002, 5.1510518E+001, 2.0686055E-001, 2.3309610E-015, 5.8653022E-014, 3.8512352E-004, 7.3316278E-014, 1.2814275E-002, 5.1468612E+001, 2.0686039E-001, 5.0358181E-015, 1.3122825E-013, 3.8519223E-004, 1.6403532E-013, 1.2814411E-002, 5.1431889E+001, 2.0685989E-001, 7.8732056E-015, 2.1282053E-013, 3.8541938E-004, 2.6602567E-013, 1.2814863E-002
 1.2732759E-002, 5.1509498E+001, 2.0686056E-001, 1.1681167E-015, 3.1296059E-014, 3.8511620E-004, 3.9120074E-014, 1.2814260E-002, 5.1465752E+001, 2.0686050E-001, 2.7126214E-015, 7.5702738E-014, 3.8514461E-004, 9.4628423E-014, 1.2814317E-002, 5.1423483E+001, 2.0686027E-001, 4.4730810E-015, 1.2959946E-013, 3.8524658E-004, 1.6199933E-013, 1.2814519E-002
 1.2984914E-002, 5.1508727E+001, 2.0686057E-001, 5.7439274E-016, 1.6405570E-014, 3.8511346E-004, 2.0506962E-014, 1.2814255E-002, 5.1463943E+001, 2.0686054E-001, 1.4499075E-015, 4.2903874E-014, 3.8512499E-004, 5.3629842E-014, 1.2814278E-002, 5.1418157E+001, 2.0686044E-001, 2.5169353E-015, 7.7628353E-014, 3.8516988E-004, 9.7035441E-014, 1.2814367E-002
 1.3237069E-002, 5.1508072E+001, 2.0686057E-001, 2.7690955E-016, 8.4555305E-015, 3.8511246E-004, 1.0569413E-014, 1.2814253E-002, 5.1462455E+001, 2.0686056E-001, 7.6324873E-016, 2.3897295E-014, 3.8511705E-004, 2.9871619E-014, 1.2814262E-002, 5.1413562E+001, 2.0686052E-001, 1.4041426E-015, 4.5736490E-014, 3.8513643E-004, 5.7170613E-014, 1.2814300E-002
 1.3489224E-002, 5.1507450E+001, 2.0686057E-001, 1.3106785E-016, 4.2881439E-015, 3.8511209E-004, 5.3601799E-015, 1.2814252E-002, 5.1460817E+001, 2.0686057E-001, 3.9364479E-016, 1.3087034E-014, 3.8511389E-004, 1.6358792E-014, 1.2814256E-002, 5.1408112E+001, 2.0686055E-001, 7.7288788E-016, 2.6506083E-014, 3.8512209E-004, 3.3132603E-014, 1.2814272E-002
 1.3741379E-002, 5.1506774E+001, 2.0686057E-001, 6.0987414E-017, 2.1414766E-015, 3.8511196E-004, 2.6768457E-015, 1.2814252E-002, 5.1458576E+001, 2.0686057E-001, 1.9902333E-016, 7.0493858E-015, 3.8511265E-004, 8.8117322E-015, 1.2814253E-002, 5.1400350E+001, 2.0686056E-001, 4.1709257E-016, 1.5111101E-014, 3.8511606E-004, 1.8888876E-014, 1.2814260E-002
 1.3993534E-002, 5.1505909E+001, 2.0686057E-001, 2.7929508E-017, 1.0550013E-015, 3.8511192E-004, 1.3187516E-015, 1.2814252E-002, 5.1455128E+001, 2.0686057E-001, 9.8734462E-017, 3.7365510E-015, 3.8511218E-004, 4.6706887E-015, 1.2814252E-002, 5.1388531E+001, 2.0686057E-001, 2.2064054E-016, 8.4752387E-015, 3.8511357E-004, 1.0594048E-014, 1.2814255E-002
 1.4245690E-002, 5.1504621E+001, 2.0686057E-001, 1.2600911E-017, 5.1532413E-016, 3.8511190E-004, 6.4415516E-016, 1.2814252E-002, 5.1449557E+001, 2.0686057E-001, 4.8103690E-017, 1.9503237E-015, 3.8511200E-004, 2.4379046E-015, 1.2814252E-002, 5.1370304E+001, 2.0686057E-001, 1.1446758E-016, 4.6770508E-015, 3.8511255E-004, 5.8463135E-015, 1.2814253E-002
 1.4497845E-002, 5.1502500E+001, 2.0686057E-001, 5.6058607E-018, 2.5213918E-016, 3.8511190E-004, 3.1517398E-016, 1.2814252E-002, 5.1440446E+001, 2.0686057E-001, 2.3034923E-017, 1.0039937E-015, 3.8511193E-004, 1.2549921E-015, 1.2814252E-002, 5.1342405E+001, 2.0686057E-001, 5.8268875E-017, 2.5402818E-015, 3.8511215E-004, 3.1753522E-015, 1.2814252E-002
 1.4750000E-002, 5.1498844E+001, 2.0686057E-001, 2.4610783E-018, 1.2418654E-016, 3.8511190E-004, 1.5523318E-016, 1.2814252E-002, 5.1425642E+001, 2.0686057E-001, 1.0849826E-017, 5.1164741E-016, 3.8511191E-004, 6.3955926E-016, 1.2814252E-002, 5.1300356E+001, 2.0686057E-001, 2.9118073E-017, 1.3590315E-015, 3.8511199E-004, 1.6987893E-015, 1.2814252E-002
