m,C,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,C,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,C,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol
 5.6724138E-003, 1.6870427E+003, 1.3980893E-002, 1.6236619E-002, 1.3827164E-002, 7.4433544E-002, 1.7283955E-002, 1.8272453E-001, 1.7161705E+003, 1.3372672E-002, 1.4264607E-002, 1.2960214E-002, 7.5633820E-002, 1.6200268E-002, 1.8369849E-001, 1.7321674E+003, 1.3356588E-002, 1.2624875E-002, 1.2531729E-002, 7.6160745E-002, 1.5664662E-002, 1.8405607E-001
 5.9245690E-003, 1.6727330E+003, 2.4838226E-002, 8.3665109E-003, 7.7848852E-003, 7.5408293E-002, 9.7311065E-003, 1.7474958E-001, 1.6978371E+003, 2.3881173E-002, 7.4307620E-003, 7.3360833E-003, 7.6312527E-002, 9.1701041E-003, 1.7581511E-001, 1.7090585E+003, 2.3889566E-002, 6.6140122E-003, 7.1055020E-003, 7.6582184E-002, 8.8818774E-003, 1.7597911E-001
 6.1767241E-003, 1.5652712E+003, 4.3286584E-002, 4.1977698E-003, 4.2415901E-003, 7.0465520E-002, 5.3019876E-003, 1.5910524E-001, 1.5961891E+003, 4.1159448E-002, 3.7758191E-003, 4.0299385E-003, 7.1649195E-002, 5.0374232E-003, 1.6111287E-001, 1.6099337E+003, 4.0534505E-002, 3.3819315E-003, 3.9213576E-003, 7.2061913E-002, 4.9016970E-003, 1.6175824E-001
 6.4288793E-003, 1.4107692E+003, 6.4973162E-002, 2.0112448E-003, 2.2169847E-003, 6.2574498E-002, 2.7712309E-003, 1.4009137E-001, 1.4517680E+003, 6.1423365E-002, 1.8400344E-003, 2.1319471E-003, 6.4271026E-002, 2.6649339E-003, 1.4332520E-001, 1.4715917E+003, 5.9904047E-002, 1.6621680E-003, 2.0882778E-003, 6.5013184E-002, 2.6103473E-003, 1.4473039E-001
 6.6810345E-003, 1.2313011E+003, 8.7466519E-002, 9.0364744E-004, 1.0937152E-003, 5.3447966E-002, 1.3671440E-003, 1.2010120E-001, 1.2840870E+003, 8.2544028E-002, 8.4666516E-004, 1.0711231E-003, 5.5702273E-002, 1.3389039E-003, 1.2454592E-001, 1.3116275E+003, 8.0085634E-002, 7.7432117E-004, 1.0597615E-003, 5.6832316E-002, 1.3247019E-003, 1.2677445E-001
 6.9331897E-003, 1.0431585E+003, 1.0919780E-001, 3.7367777E-004, 5.0081717E-004, 4.4160031E-002, 6.2602146E-004, 1.0066164E-001, 1.1074423E+003, 1.0325056E-001, 3.6206320E-004, 5.0383086E-004, 4.6852404E-002, 6.2978857E-004, 1.0601907E-001, 1.1429690E+003, 9.9944473E-002, 3.3711702E-004, 5.0601714E-004, 4.8350406E-002, 6.3252143E-004, 1.0900095E-001
 7.1853448E-003, 8.5736423E+002, 1.2902500E-001, 1.3964520E-004, 2.0951737E-004, 3.5449553E-002, 2.6189672E-004, 8.2865984E-002, 9.3140144E+002, 1.2218191E-001, 1.4154454E-004, 2.1864402E-004, 3.8541224E-002, 2.7330502E-004, 8.9027168E-002, 9.7420932E+002, 1.1818726E-001, 1.3514958E-004, 2.2431713E-004, 4.0346399E-002, 2.8039641E-004, 9.2625241E-002
 7.4375000E-003, 6.8180460E+002, 1.4710171E-001, 4.7142926E-005, 8.0240639E-005, 2.7380502E-002, 1.0030080E-004, 6.6612103E-002, 7.6267719E+002, 1.3969516E-001, 5.0049813E-005, 8.6799469E-005, 3.0729490E-002, 1.0849934E-004, 7.3280556E-002, 8.1130975E+002, 1.3519593E-001, 4.9261206E-005, 9.1333688E-005, 3.2763663E-002, 1.1416711E-004, 7.7331913E-002
 7.6896552E-003, 5.2263705E+002, 1.6295392E-001, 1.5759505E-005, 3.0504265E-005, 2.0245480E-002, 3.8130331E-005, 5.2346030E-002, 6.0633383E+002, 1.5539210E-001, 1.6743789E-005, 3.2872659E-005, 2.3668554E-002, 4.1090823E-005, 5.9154846E-002, 6.5869602E+002, 1.5062132E-001, 1.6540632E-005, 3.4646682E-005, 2.5828023E-002, 4.3308353E-005, 6.3450704E-002
 7.9418103E-003, 3.8516490E+002, 1.7624308E-001, 5.2248461E-006, 1.1524466E-005, 1.4243226E-002, 1.4405583E-005, 4.0382533E-002, 4.6667133E+002, 1.6898530E-001, 5.5564069E-006, 1.2364643E-005, 1.7529949E-002, 1.5455804E-005, 4.6917766E-002, 5.2001809E+002, 1.6421008E-001, 5.4992121E-006, 1.3033971E-005, 1.9692358E-002, 1.6292463E-005, 5.1217638E-002
 8.1939655E-003, 2.7340469E+002, 1.8678314E-001, 1.7132501E-006, 4.3155462E-006, 9.4754998E-003, 5.3944327E-006, 3.0892627E-002, 3.4730348E+002, 1.8028572E-001, 1.8244491E-006, 4.6081245E-006, 1.2418300E-002, 5.7601556E-006, 3.6743253E-002, 3.9847402E+002, 1.7578259E-001, 1.8099140E-006, 4.8596835E-006, 1.4457814E-002, 6.0746044E-006, 4.0798125E-002
 8.4461207E-003, 1.8932799E+002, 1.9456547E-001, 5.5408819E-007, 1.5970145E-006, 5.9528620E-003, 1.9962682E-006, 2.3885306E-002, 2.5088429E+002, 1.8920700E-001, 5.9099450E-007, 1.6965661E-006, 8.3799356E-003, 2.1207076E-006, 2.8710375E-002, 2.9665239E+002, 1.8523616E-001, 5.8799341E-007, 1.7906301E-006, 1.0178476E-002, 2.2382876E-006, 3.2285942E-002
 8.6982759E-003, 1.3154050E+002, 1.9983417E-001, 1.7651602E-007, 5.8295651E-007, 3.5672641E-003, 7.2869563E-007, 1.9141179E-002, 1.7825753E+002, 1.9580606E-001, 1.8840884E-007, 6.1547851E-007, 5.3917988E-003, 7.6934814E-007, 2.2768319E-002, 2.1607399E+002, 1.9256373E-001, 1.8800784E-007, 6.5003122E-007, 6.8604046E-003, 8.1253902E-007, 2.5687893E-002
 8.9504310E-003, 9.5304129E+001, 2.0308753E-001, 5.5485945E-008, 2.0999648E-007, 2.0939564E-003, 2.6249560E-007, 1.6211698E-002, 1.2766311E+002, 2.0033070E-001, 5.9081801E-008, 2.1987396E-007, 3.3426766E-003, 2.7484245E-007, 1.8694110E-002, 1.5641555E+002, 1.9789482E-001, 5.9059352E-008, 2.3202011E-007, 4.4460165E-003, 2.9002514E-007, 2.0887516E-002
 9.2025862E-003, 7.4350611E+001, 2.0493508E-001, 1.7274572E-008, 7.4842320E-008, 1.2572145E-003, 9.3552900E-008, 1.4548073E-002, 9.5041331E+001, 2.0319967E-001, 1.8264091E-008, 7.7515432E-008, 2.0432793E-003, 9.6894290E-008, 1.6110736E-002, 1.1524116E+002, 2.0151266E-001, 1.8235182E-008, 8.1457086E-008, 2.8074183E-003, 1.0182136E-007, 1.7629813E-002
 9.4547414E-003, 6.2986577E+001, 2.0591613E-001, 5.3493245E-009, 2.6479291E-008, 8.1288011E-004, 3.3099114E-008, 1.3664678E-002, 7.5392774E+001, 2.0489480E-001, 5.5887033E-009, 2.7076179E-008, 1.2755020E-003, 3.3845223E-008, 1.4584348E-002, 8.8648440E+001, 2.0380663E-001, 5.5495694E-009, 2.8205564E-008, 1.7683925E-003, 3.5256955E-008, 1.5564193E-002
 9.7068966E-003, 5.7111214E+001, 2.0641153E-001, 1.6530769E-009, 9.3201337E-009, 5.8850114E-004, 1.1650167E-008, 1.3218595E-002, 6.4187181E+001, 2.0584060E-001, 1.7003459E-009, 9.4106268E-009, 8.4710563E-004, 1.1763284E-008, 1.3732688E-002, 7.2420309E+001, 2.0517768E-001, 1.6716648E-009, 9.6720723E-009, 1.1473838E-003, 1.2090090E-008, 1.4329627E-002
 9.9590517E-003, 5.4180026E+001, 2.0665247E-001, 5.1071493E-010, 3.2663923E-009, 4.7937186E-004, 4.0829904E-009, 1.3001641E-002, 5.8057271E+001, 2.0634571E-001, 5.1618456E-010, 3.2648827E-009, 6.1832048E-004, 4.0811034E-009, 1.3277864E-002, 6.2952771E+001, 2.0595929E-001, 5.0048707E-010, 3.2979772E-009, 7.9335000E-004, 4.1224715E-009, 1.3625814E-002
 1.0211207E-002, 5.2757911E+001, 2.0676625E-001, 1.5782738E-010, 1.1399638E-009, 4.2783395E-004, 1.4249548E-009, 1.2899183E-002, 5.4808749E+001, 2.0660659E-001, 1.5672023E-010, 1.1329151E-009, 5.0015192E-004, 1.4161439E-009, 1.3042947E-002, 5.7616525E+001, 2.0638901E-001, 1.4943465E-010, 1.1218791E-009, 5.9870894E-004, 1.4023489E-009, 1.3238874E-002
 1.0463362E-002, 5.2083721E+001, 2.0681868E-001, 4.8790786E-011, 3.9619289E-010, 4.0408622E-004, 4.9524111E-010, 1.2851972E-002, 5.3130082E+001, 2.0673781E-001, 4.7651815E-011, 3.9362872E-010, 4.4071742E-004, 4.9203590E-010, 1.2924793E-002, 5.4688205E+001, 2.0661871E-001, 4.4599097E-011, 3.8167222E-010, 4.9466395E-004, 4.7709028E-010, 1.3032036E-002
 1.0715517E-002, 5.1770443E+001, 2.0684232E-001, 1.5108323E-011, 1.3733234E-010, 3.9338015E-004, 1.7166543E-010, 1.2830689E-002, 5.2280850E+001, 2.0680234E-001, 1.4543679E-011, 1.3729354E-010, 4.1148881E-004, 1.7161692E-010, 1.2866688E-002, 5.3115684E+001, 2.0673873E-001, 1.3350615E-011, 1.3040051E-010, 4.4030025E-004, 1.6300064E-010, 1.2923964E-002
 1.0967672E-002, 5.1627377E+001, 2.0685276E-001, 4.7712010E-012, 4.8202827E-011, 3.8865003E-004, 6.0253534E-011, 1.2821285E-002, 5.1859157E+001, 2.0683344E-001, 4.5378631E-012, 4.8962105E-011, 3.9740201E-004, 6.1202631E-011, 1.2838684E-002, 5.2286796E+001, 2.0680022E-001, 4.0928807E-012, 4.5778405E-011, 4.1244841E-004, 5.7223006E-011, 1.2868595E-002
 1.1219828E-002, 5.1562939E+001, 2.0685729E-001, 1.7763736E-012, 1.9045027E-011, 3.8659969E-004, 2.3806283E-011, 1.2817209E-002, 5.1653241E+001, 2.0684815E-001, 1.6710201E-012, 2.0098018E-011, 3.9073988E-004, 2.5122522E-011, 1.2825440E-002, 5.1857063E+001, 2.0683116E-001, 1.5063589E-012, 1.8969782E-011, 3.9843323E-004, 2.3712228E-011, 1.2840734E-002
 1.1471983E-002, 5.1534127E+001, 2.0685921E-001, 1.2469450E-012, 1.2249946E-011, 3.8572703E-004, 1.5312433E-011, 1.2815474E-002, 5.1554149E+001, 2.0685498E-001, 1.1379062E-012, 1.3541005E-011, 3.8764574E-004, 1.6926257E-011, 1.2819289E-002, 5.1637622E+001, 2.0684647E-001, 1.0466212E-012, 1.3341461E-011, 3.9150012E-004, 1.6676826E-011, 1.2826951E-002
 1.1724138E-002, 5.1521198E+001, 2.0686002E-001, 8.5900613E-013, 7.8354359E-012, 3.8536210E-004, 9.7942949E-012, 1.2814749E-002, 5.1506997E+001, 2.0685809E-001, 8.2152206E-013, 9.4468341E-012, 3.8623384E-004, 1.1808543E-011, 1.2816482E-002, 5.1527069E+001, 2.0685391E-001, 7.5712578E-013, 9.6197205E-012, 3.8812700E-004, 1.2024651E-011, 1.2820245E-002
 1.1976293E-002, 5.1515249E+001, 2.0686035E-001, 5.6016856E-013, 4.8761537E-012, 3.8521207E-004, 6.0951921E-012, 1.2814451E-002, 5.1484662E+001, 2.0685949E-001, 5.7180321E-013, 6.3911197E-012, 3.8560061E-004, 7.9888996E-012, 1.2815223E-002, 5.1471936E+001, 2.0685748E-001, 5.3623823E-013, 6.7923931E-012, 3.8651263E-004, 8.4904914E-012, 1.2817036E-002
 1.2228448E-002, 5.1512344E+001, 2.0686048E-001, 3.4590626E-013, 2.9518480E-012, 3.8515139E-004, 3.6898100E-012, 1.2814330E-002, 5.1474011E+001, 2.0686011E-001, 3.8291219E-013, 4.2006783E-012, 3.8532139E-004, 5.2508478E-012, 1.2814668E-002, 5.1444511E+001, 2.0685916E-001, 3.7053371E-013, 4.6914876E-012, 3.8575250E-004, 5.8643595E-012, 1.2815525E-002
 1.2480603E-002, 5.1510765E+001, 2.0686054E-001, 2.0291267E-013, 1.7385213E-012, 3.8512724E-004, 2.1731516E-012, 1.2814282E-002, 5.1468772E+001, 2.0686038E-001, 2.4666672E-013, 2.6872581E-012, 3.8520028E-004, 3.3590727E-012, 1.2814427E-002, 5.1430633E+001, 2.0685993E-001, 2.4913996E-013, 3.1682887E-012, 3.8540030E-004, 3.9603609E-012, 1.2814825E-002
 1.2732759E-002, 5.1509771E+001, 2.0686056E-001, 1.1357480E-013, 9.9702761E-013, 3.8511777E-004, 1.2462845E-012, 1.2814263E-002, 5.1465984E+001, 2.0686049E-001, 1.5296590E-013, 1.6759313E-012, 3.8514861E-004, 2.0949142E-012, 1.2814325E-002, 5.1423107E+001, 2.0686029E-001, 1.6274788E-013, 2.0920685E-012, 3.8523972E-004, 2.6150856E-012, 1.2814506E-002
 1.2984914E-002, 5.1509046E+001, 2.0686057E-001, 6.0932310E-014, 5.5751629E-013, 3.8511411E-004, 6.9689536E-013, 1.2814256E-002, 5.1464240E+001, 2.0686054E-001, 9.1417861E-014, 1.0203432E-012, 3.8512691E-004, 1.2754290E-012, 1.2814281E-002, 5.1418228E+001, 2.0686045E-001, 1.0326351E-013, 1.3511392E-012, 3.8516767E-004, 1.6889240E-012, 1.2814362E-002
 1.3237069E-002, 5.1508441E+001, 2.0686057E-001, 3.1463461E-014, 3.0444705E-013, 3.8511272E-004, 3.8055881E-013, 1.2814253E-002, 5.1462827E+001, 2.0686056E-001, 5.2735817E-014, 6.0710726E-013, 3.8511795E-004, 7.5888407E-013, 1.2814264E-002, 5.1413925E+001, 2.0686052E-001, 6.3608949E-014, 8.5388933E-013, 3.8513586E-004, 1.0673617E-012, 1.2814299E-002
 1.3489224E-002, 5.1507871E+001, 2.0686057E-001, 1.5690505E-014, 1.6261636E-013, 3.8511220E-004, 2.0327044E-013, 1.2814252E-002, 5.1461292E+001, 2.0686057E-001, 2.9417742E-014, 3.5337037E-013, 3.8511430E-004, 4.4171296E-013, 1.2814256E-002, 5.1408766E+001, 2.0686055E-001, 3.8069717E-014, 5.2834125E-013, 3.8512204E-004, 6.6042656E-013, 1.2814272E-002
 1.3741379E-002, 5.1507253E+001, 2.0686057E-001, 7.5837981E-015, 8.5088962E-014, 3.8511200E-004, 1.0636120E-013, 1.2814252E-002, 5.1459214E+001, 2.0686057E-001, 1.5901649E-014, 2.0137823E-013, 3.8511283E-004, 2.5172279E-013, 1.2814253E-002, 5.1401406E+001, 2.0686056E-001, 2.2120802E-014, 3.2024317E-013, 3.8511612E-004, 4.0030396E-013, 1.2814260E-002
 1.3993534E-002, 5.1506463E+001, 2.0686057E-001, 3.6284851E-015, 4.3675447E-014, 3.8511193E-004, 5.4594308E-014, 1.2814252E-002, 5.1456042E+001, 2.0686057E-001, 8.3461371E-015, 1.1244917E-013, 3.8511226E-004, 1.4056146E-013, 1.2814252E-002, 5.1390234E+001, 2.0686057E-001, 1.2468741E-014, 1.9025338E-013, 3.8511363E-004, 2.3781673E-013, 1.2814255E-002
 1.4245690E-002, 5.1505294E+001, 2.0686057E-001, 1.7313466E-015, 2.2018512E-014, 3.8511191E-004, 2.7523140E-014, 1.2814252E-002, 5.1450956E+001, 2.0686057E-001, 4.2712642E-015, 6.1572137E-014, 3.8511203E-004, 7.6965171E-014, 1.2814252E-002, 5.1373071E+001, 2.0686057E-001, 6.8393155E-015, 1.1083949E-013, 3.8511260E-004, 1.3854936E-013, 1.2814253E-002
 1.4497845E-002, 5.1503387E+001, 2.0686057E-001, 8.5210693E-016, 1.0914152E-014, 3.8511190E-004, 1.3642691E-014, 1.2814252E-002, 5.1442694E+001, 2.0686057E-001, 2.1461395E-015, 3.3082728E-014, 3.8511195E-004, 4.1353410E-014, 1.2814252E-002, 5.1346898E+001, 2.0686057E-001, 3.6589477E-015, 6.3354148E-014, 3.8511217E-004, 7.9192686E-014, 1.2814252E-002
 1.4750000E-002, 5.1500133E+001, 2.0686057E-001, 4.1248342E-016, 5.3241004E-015, 3.8511190E-004, 6.6551254E-015, 1.2814252E-002, 5.1429343E+001, 2.0686057E-001, 1.1230164E-015, 1.7453974E-014, 3.8511191E-004, 2.1817468E-014, 1.2814252E-002, 5.1307567E+001, 2.0686057E-001, 1.9373398E-015, 3.5544427E-014, 3.8511200E-004, 4.4430534E-014, 1.2814252E-002
