m,C,mol/mol,mol/mol,mol/mol,mol/mol,C,mol/mol,mol/mol,mol/mol,mol/mol,C,mol/mol,mol/mol,mol/mol,mol/mol
Width,T_7_mm,O2_7_mm,Fuel_7_mm,CO_7_mm,CO2_7_mm,T_9_mm,O2_9_mm,Fuel_9_mm,CO_9_mm,CO2_9_mm,T_11_mm,O2_11_mm,Fuel_11_mm,CO_11_mm,CO2_11_mm
 9.7068966E-003, 5.6851720E+001, 2.0732564E-001, 2.3083641E-009, 4.3958214E-005, 4.2804312E-004, 6.4220645E+001, 2.0666608E-001, 1.7192518E-009, 6.5589345E-005, 5.1335785E-004, 7.3017433E+001, 2.0589505E-001, 1.3863886E-009, 7.1873061E-005, 6.3491818E-004
 9.9590517E-003, 5.4029323E+001, 2.0759015E-001, 8.3937653E-010, 2.2463425E-005, 4.0234471E-004, 5.8029512E+001, 2.0723246E-001, 6.0803756E-010, 3.7680060E-005, 4.3991715E-004, 6.3237249E+001, 2.0677740E-001, 4.7306523E-010, 4.4828841E-005, 4.9940668E-004
 1.0211207E-002, 5.2673969E+001, 2.0771622E-001, 3.0412577E-010, 1.1089815E-005, 3.9256610E-004, 5.4769569E+001, 2.0752833E-001, 2.1583517E-010, 2.0848732E-005, 4.0852120E-004, 5.7740738E+001, 2.0726906E-001, 1.6159256E-010, 2.6916848E-005, 4.3647505E-004
 1.0463362E-002, 5.2037940E+001, 2.0777485E-001, 1.0960280E-010, 5.3094931E-006, 3.8894882E-004, 5.3096596E+001, 2.0767880E-001, 7.6908593E-011, 1.1160144E-005, 3.9551760E-004, 5.4735824E+001, 2.0753526E-001, 5.5385126E-011, 1.5629142E-005, 4.0822208E-004
 1.0715517E-002, 5.1745361E+001, 2.0780153E-001, 3.9210417E-011, 2.4722650E-006, 3.8764377E-004, 5.2256305E+001, 2.0775361E-001, 2.7489459E-011, 5.7981029E-006, 3.9027443E-004, 5.3129269E+001, 2.0767610E-001, 1.9071785E-011, 8.8052878E-006, 3.9588382E-004
 1.0967672E-002, 5.1613069E+001, 2.0781343E-001, 1.3901567E-011, 1.1220354E-006, 3.8718367E-004, 5.1842121E+001, 2.0779005E-001, 9.8440544E-012, 2.9306934E-006, 3.8821061E-004, 5.2286528E+001, 2.0774913E-001, 6.6014665E-012, 4.8252055E-006, 3.9062308E-004
 1.1219828E-002, 5.1554057E+001, 2.0781865E-001, 4.8778138E-012, 4.9723854E-007, 3.8702498E-004, 5.1641389E+001, 2.0780748E-001, 3.5258990E-012, 1.4438695E-006, 3.8741629E-004, 5.1851864E+001, 2.0778632E-001, 2.2972054E-012, 2.5766130E-006, 3.8842854E-004
 1.1471983E-002, 5.1527902E+001, 2.0782089E-001, 1.6931905E-012, 2.1548878E-007, 3.8697138E-004, 5.1545525E+001, 2.0781566E-001, 1.2615626E-012, 6.9439542E-007, 3.8711708E-004, 5.1631121E+001, 2.0780494E-001, 8.0325103E-013, 1.3426440E-006, 3.8753188E-004
 1.1724138E-002, 5.1516251E+001, 2.0782183E-001, 5.8274079E-013, 9.1443625E-008, 3.8695356E-004, 5.1500253E+001, 2.0781943E-001, 4.5112443E-013, 3.2639913E-007, 3.8700672E-004, 5.1520549E+001, 2.0781411E-001, 2.8237104E-013, 6.8351466E-007, 3.8717283E-004
 1.1976293E-002, 5.1510917E+001, 2.0782223E-001, 2.0218610E-013, 3.8040939E-008, 3.8694773E-004, 5.1478973E+001, 2.0782115E-001, 1.6301288E-013, 1.5011380E-007, 3.8696681E-004, 5.1465740E+001, 2.0781855E-001, 1.0033768E-013, 3.4027064E-007, 3.8703190E-004
 1.2228448E-002, 5.1508314E+001, 2.0782239E-001, 7.8230184E-014, 1.5529733E-008, 3.8694592E-004, 5.1468899E+001, 2.0782191E-001, 6.3520215E-014, 6.7613118E-008, 3.8695255E-004, 5.1438654E+001, 2.0782067E-001, 3.7244773E-014, 1.6578533E-007, 3.8697768E-004
 1.2480603E-002, 5.1506891E+001, 2.0782246E-001, 4.6382858E-014, 6.2272139E-009, 3.8694537E-004, 5.1463977E+001, 2.0782225E-001, 3.3352278E-014, 2.9850190E-008, 3.8694757E-004, 5.1425047E+001, 2.0782166E-001, 1.6698152E-014, 7.9108992E-008, 3.8695709E-004
 1.2732759E-002, 5.1505988E+001, 2.0782248E-001, 2.7594187E-014, 2.4547319E-009, 3.8694520E-004, 5.1461370E+001, 2.0782239E-001, 2.5758380E-014, 1.2927008E-008, 3.8694592E-004, 5.1417724E+001, 2.0782212E-001, 1.1313059E-014, 3.6994802E-008, 3.8694930E-004
 1.2984914E-002, 5.1505322E+001, 2.0782249E-001, 1.5592647E-014, 9.5197221E-010, 3.8694515E-004, 5.1459739E+001, 2.0782245E-001, 1.7659623E-014, 5.4951682E-009, 3.8694538E-004, 5.1413005E+001, 2.0782233E-001, 1.0447490E-014, 1.6964400E-008, 3.8694655E-004
 1.3237069E-002, 5.1504765E+001, 2.0782250E-001, 8.4331640E-015, 3.6345741E-010, 3.8694514E-004, 5.1458407E+001, 2.0782248E-001, 1.1230634E-014, 2.2943850E-009, 3.8694521E-004, 5.1408842E+001, 2.0782243E-001, 8.5900610E-015, 7.6320458E-009, 3.8694559E-004
 1.3489224E-002, 5.1504236E+001, 2.0782250E-001, 4.4107589E-015, 1.3669839E-010, 3.8694513E-004, 5.1456940E+001, 2.0782249E-001, 6.7433434E-015, 9.4145482E-010, 3.8694515E-004, 5.1403827E+001, 2.0782247E-001, 6.1521351E-015, 3.3701356E-009, 3.8694528E-004
 1.3741379E-002, 5.1503655E+001, 2.0782250E-001, 2.2465542E-015, 5.0675730E-011, 3.8694513E-004, 5.1454928E+001, 2.0782250E-001, 3.8644772E-015, 3.7984233E-010, 3.8694514E-004, 5.1396636E+001, 2.0782249E-001, 4.0487062E-015, 1.4612896E-009, 3.8694518E-004
 1.3993534E-002, 5.1502902E+001, 2.0782250E-001, 1.1691095E-015, 1.8526165E-011, 3.8694513E-004, 5.1451829E+001, 2.0782250E-001, 2.1468478E-015, 1.5075765E-010, 3.8694513E-004, 5.1385677E+001, 2.0782249E-001, 2.5128722E-015, 6.2239660E-010, 3.8694515E-004
 1.4245690E-002, 5.1501771E+001, 2.0782250E-001, 5.9816849E-016, 6.6821965E-012, 3.8694513E-004, 5.1446830E+001, 2.0782250E-001, 1.2160703E-015, 5.8885517E-011, 3.8694513E-004, 5.1368795E+001, 2.0782250E-001, 1.5667141E-015, 2.6048481E-010, 3.8694514E-004
 1.4497845E-002, 5.1499903E+001, 2.0782250E-001, 3.0008990E-016, 2.3789101E-012, 3.8694513E-004, 5.1438677E+001, 2.0782250E-001, 6.7330281E-016, 2.2643948E-011, 3.8694513E-004, 5.1342997E+001, 2.0782250E-001, 9.5181810E-016, 1.0715432E-010, 3.8694513E-004
 1.4750000E-002, 5.1496692E+001, 2.0782250E-001, 1.4790889E-016, 8.3621204E-013, 3.8694513E-004, 5.1425468E+001, 2.0782250E-001, 3.6363156E-016, 8.5753726E-012, 3.8694513E-004, 5.1304165E+001, 2.0782250E-001, 5.6027690E-016, 4.3337783E-011, 3.8694513E-004
