m,C,mol/mol,mol/mol,mol/mol,mol/mol,C,mol/mol,mol/mol,mol/mol,mol/mol,C,mol/mol,mol/mol,mol/mol,mol/mol
 4.4116379E-003, 1.4318586E+003, 4.6505996E-008, 1.3354638E-001, 2.2625924E-002, 6.9768978E-002, 1.5077648E+003, 4.9950345E-008, 1.1409642E-001, 1.9990535E-002, 7.3859139E-002, 1.5523880E+003, 5.8785043E-008, 1.0166879E-001, 1.8132194E-002, 7.6239391E-002
 4.6637931E-003, 1.5171730E+003, 3.0228269E-007, 1.0543373E-001, 2.2081846E-002, 7.3049093E-002, 1.5831722E+003, 3.2646301E-007, 9.0220906E-002, 1.9432999E-002, 7.6634227E-002, 1.6202281E+003, 3.8600594E-007, 8.0308245E-002, 1.7620704E-002, 7.8600171E-002
 4.9159483E-003, 1.5996283E+003, 1.9599822E-006, 8.0294233E-002, 2.1463678E-002, 7.6042935E-002, 1.6556679E+003, 2.1274251E-006, 6.8717683E-002, 1.8830820E-002, 7.9163963E-002, 1.6850003E+003, 2.5265271E-006, 6.0985095E-002, 1.7093507E-002, 8.0715348E-002
 5.1681034E-003, 1.6786230E+003, 1.2676130E-005, 5.7909574E-002, 2.0787660E-002, 7.8760597E-002, 1.7248386E+003, 1.3822940E-005, 4.9414336E-002, 1.8189255E-002, 8.1462254E-002, 1.7463458E+003, 1.6484965E-005, 4.3555703E-002, 1.6554553E-002, 8.2594170E-002
 5.4202586E-003, 1.7533221E+003, 8.1775280E-005, 3.8077228E-002, 2.0039617E-002, 8.1216569E-002, 1.7899643E+003, 8.9559597E-005, 3.2165331E-002, 1.7480386E-002, 8.3545907E-002, 1.8034950E+003, 1.0723948E-004, 2.7910694E-002, 1.5969859E-002, 8.4247283E-002
 5.6724138E-003, 1.8206706E+003, 5.2646009E-004, 2.0755906E-002, 1.9021847E-002, 8.3435852E-002, 1.8478185E+003, 5.7892098E-004, 1.7007115E-002, 1.6474077E-002, 8.5441152E-002, 1.8525994E+003, 6.9603218E-004, 1.4159712E-002, 1.5063935E-002, 8.5694622E-002
 5.9245690E-003, 1.8623757E+003, 3.3930836E-003, 6.9598947E-003, 1.6369721E-002, 8.5464781E-002, 1.8782703E+003, 3.7462396E-003, 5.1462921E-003, 1.3647859E-002, 8.7203685E-002, 1.8693091E+003, 4.5262963E-003, 3.8241845E-003, 1.1998903E-002, 8.6990552E-002
 6.1767241E-003, 1.7924181E+003, 1.7821691E-002, 1.1121179E-003, 9.1721228E-003, 8.4380162E-002, 1.7942920E+003, 1.8629251E-002, 7.3909874E-004, 7.2781575E-003, 8.4798320E-002, 1.7726203E+003, 1.9832114E-002, 4.9508674E-004, 6.0428217E-003, 8.3636358E-002
 6.4288793E-003, 1.6182897E+003, 4.1428575E-002, 1.3201209E-004, 3.9397007E-003, 7.5531450E-002, 1.6249724E+003, 4.0839935E-002, 8.8128482E-005, 3.0796612E-003, 7.5626895E-002, 1.6049679E+003, 4.0958082E-002, 5.8949447E-005, 2.5338657E-003, 7.4200250E-002
 6.6810345E-003, 1.4144148E+003, 6.6339269E-002, 1.5755727E-005, 1.6790727E-003, 6.3225791E-002, 1.4337333E+003, 6.3780297E-002, 1.0521896E-005, 1.2976946E-003, 6.3871549E-002, 1.4205726E+003, 6.2379587E-002, 6.9902477E-006, 1.0666667E-003, 6.2787944E-002
 6.9331897E-003, 1.2079132E+003, 9.0119010E-002, 1.7897822E-006, 7.8238723E-004, 5.0705654E-002, 1.2404621E+003, 8.5677438E-002, 1.2028408E-006, 5.8626910E-004, 5.2056530E-002, 1.2346101E+003, 8.2771609E-002, 7.8279023E-007, 4.7675495E-004, 5.1442966E-002
 7.1853448E-003, 1.0074510E+003, 1.1205971E-001, 1.8662336E-007, 4.4500217E-004, 3.9173789E-002, 1.0516729E+003, 1.0598390E-001, 1.2645480E-007, 3.0849971E-004, 4.1116042E-002, 1.0522589E+003, 1.0171576E-001, 8.0858048E-008, 2.4485322E-004, 4.0917112E-002
 7.4375000E-003, 8.1700924E+002, 1.3173309E-001, 1.8240264E-008, 3.3683327E-004, 2.9053820E-002, 8.7042690E+002, 1.2437968E-001, 1.2255894E-008, 2.0949390E-004, 3.1381400E-002, 8.7617706E+002, 1.1898150E-001, 7.7495806E-009, 1.5791433E-004, 3.1494658E-002
 7.6896552E-003, 6.3916133E+002, 1.4897953E-001, 1.9467857E-009, 3.1017586E-004, 2.0481635E-002, 6.9399256E+002, 1.3983142E-001, 1.2633714E-009, 1.8242338E-004, 2.2774876E-002, 7.0554418E+002, 1.3397683E-001, 7.9894479E-010, 1.3001154E-004, 2.3171880E-002
 7.9418103E-003, 4.8474237E+002, 1.6479083E-001, 2.6931020E-010, 2.9673971E-004, 1.3760322E-002, 5.4274631E+002, 1.5577233E-001, 1.7336122E-010, 1.7627946E-004, 1.5992448E-002, 5.6080209E+002, 1.5000703E-001, 1.0977425E-010, 1.2134290E-004, 1.6643669E-002
 8.1939655E-003, 3.5443369E+002, 1.7810836E-001, 3.9145717E-011, 2.7062516E-004, 8.7210795E-003, 4.1545048E+002, 1.7041007E-001, 2.4726750E-011, 1.6908271E-004, 1.0833841E-002, 4.3884460E+002, 1.6511800E-001, 1.5593348E-011, 1.1539196E-004, 1.1636887E-002
 8.4461207E-003, 2.5003485E+002, 1.8848406E-001, 5.6695929E-012, 2.2888512E-004, 5.1765461E-003, 3.0760943E+002, 1.8209652E-001, 3.4997117E-012, 1.5398916E-004, 6.9484782E-003, 3.3385809E+002, 1.7752519E-001, 2.1966435E-012, 1.0662355E-004, 7.7732011E-003
 8.6982759E-003, 1.7275411E+002, 1.9602393E-001, 8.1868884E-013, 1.7741292E-004, 2.9014860E-003, 2.2162824E+002, 1.9099508E-001, 4.9610306E-013, 1.3123272E-004, 4.2197521E-003, 2.4767664E+002, 1.8726651E-001, 3.1649578E-013, 9.3877460E-005, 4.9520245E-003
 8.9504310E-003, 1.2054119E+002, 2.0108417E-001, 1.2469708E-013, 1.2551572E-004, 1.5902379E-003, 1.5788838E+002, 1.9737372E-001, 8.5583371E-014, 1.0382238E-004, 2.4581267E-003, 1.8095324E+002, 1.9450957E-001, 6.2840661E-014, 7.8038887E-005, 3.0276574E-003
 9.2025862E-003, 8.8423647E+001, 2.0423683E-001, 3.6941371E-014, 8.1392631E-005, 9.1555480E-004, 1.1426459E+002, 2.0167718E-001, 3.5680970E-014, 7.6102469E-005, 1.4231126E-003, 1.3261483E+002, 1.9958073E-001, 3.3682105E-014, 6.0912111E-005, 1.8142482E-003
 9.4547414E-003, 7.0252897E+001, 2.0604051E-001, 2.3710635E-014, 4.8840201E-005, 6.0298853E-004, 8.6674374E+001, 2.0442164E-001, 2.4596925E-014, 5.1890812E-005, 8.7035511E-004, 9.9957760E+001, 2.0297337E-001, 2.4239344E-014, 4.4657294E-005, 1.1105832E-003
 9.7068966E-003, 6.0632629E+001, 2.0697253E-001, 1.5742445E-014, 2.7417646E-005, 4.7018251E-004, 7.0379240E+001, 2.0604396E-001, 1.6927063E-014, 3.3143828E-005, 5.9948575E-004, 7.9272939E+001, 2.0511952E-001, 1.7020351E-014, 3.0867014E-005, 7.3377117E-004
 9.9590517E-003, 5.5800835E+001, 2.0742895E-001, 1.0039630E-014, 1.4549582E-005, 4.1751621E-004, 6.1268513E+001, 2.0692205E-001, 1.1361389E-014, 1.9990146E-005, 4.7587666E-004, 6.6857330E+001, 2.0637422E-001, 1.1678700E-014, 2.0223134E-005, 5.4541140E-004
 1.0211207E-002, 5.3471358E+001, 2.0764550E-001, 6.1777951E-015, 7.3587037E-006, 3.9773281E-004, 5.6397349E+001, 2.0737759E-001, 7.4299536E-015, 1.1472095E-005, 4.2265171E-004, 5.9727596E+001, 2.0706502E-001, 7.8458780E-015, 1.2633457E-005, 4.5648640E-004
 1.0463362E-002, 5.2384042E+001, 2.0774495E-001, 3.6813916E-015, 3.5687243E-006, 3.9062026E-004, 5.3883878E+001, 2.0760802E-001, 4.7326151E-015, 6.3028380E-006, 4.0078239E-004, 5.5778794E+001, 2.0743285E-001, 5.1654294E-015, 7.5655329E-006, 4.1642512E-004
 1.0715517E-002, 5.1890121E+001, 2.0778933E-001, 2.1304794E-015, 1.6669801E-006, 3.8815750E-004, 5.2623886E+001, 2.0772150E-001, 2.9372147E-015, 3.3304836E-006, 3.9213926E-004, 5.3656226E+001, 2.0762645E-001, 3.3334254E-015, 4.3617656E-006, 3.9906763E-004
 1.0967672E-002, 5.1670906E+001, 2.0780862E-001, 1.1999720E-015, 7.5255173E-007, 3.8733313E-004, 5.2007606E+001, 2.0777597E-001, 1.7775910E-015, 1.6984831E-006, 3.8883766E-004, 5.2543036E+001, 2.0772583E-001, 2.1083558E-015, 2.4288292E-006, 3.9179175E-004
 1.1219828E-002, 5.1575504E+001, 2.0781682E-001, 6.5894624E-016, 3.2923721E-007, 3.8706576E-004, 5.1712705E+001, 2.0780151E-001, 1.0500356E-015, 8.3820406E-007, 3.8761528E-004, 5.1971759E+001, 2.0777575E-001, 1.3067833E-015, 1.3095042E-006, 3.8883149E-004
 1.1471983E-002, 5.1534549E+001, 2.0782022E-001, 3.5331148E-016, 1.3990043E-007, 3.8698161E-004, 5.1574287E+001, 2.0781322E-001, 6.0600497E-016, 4.0113122E-007, 3.8717593E-004, 5.1684297E+001, 2.0780031E-001, 7.9369446E-016, 6.8488632E-007, 3.8766034E-004
 1.1724138E-002, 5.1517020E+001, 2.0782160E-001, 1.8521148E-016, 5.7848258E-008, 3.8695586E-004, 5.1510357E+001, 2.0781848E-001, 3.4202330E-016, 1.8647588E-007, 3.8702249E-004, 5.1542172E+001, 2.0781217E-001, 4.7243009E-016, 3.4800962E-007, 3.8720938E-004
 1.1976293E-002, 5.1509380E+001, 2.0782215E-001, 9.5039781E-017, 2.3315141E-008, 3.8694819E-004, 5.1481128E+001, 2.0782079E-001, 1.8894060E-016, 8.4332386E-008, 3.8697040E-004, 5.1472925E+001, 2.0781777E-001, 2.7564790E-016, 1.7201589E-007, 3.8704029E-004
 1.2228448E-002, 5.1505860E+001, 2.0782237E-001, 4.7792155E-017, 9.1725734E-009, 3.8694598E-004, 5.1467748E+001, 2.0782179E-001, 1.0224515E-016, 3.7149741E-008, 3.8695314E-004, 5.1439441E+001, 2.0782038E-001, 1.5770412E-016, 8.2796317E-008, 3.8697858E-004
 1.2480603E-002, 5.1504049E+001, 2.0782245E-001, 2.3576169E-017, 3.5270146E-009, 3.8694536E-004, 5.1461470E+001, 2.0782221E-001, 5.4242837E-017, 1.5958677E-008, 3.8694759E-004, 5.1423070E+001, 2.0782156E-001, 8.8504641E-017, 3.8843688E-008, 3.8695657E-004
 1.2732759E-002, 5.1502958E+001, 2.0782248E-001, 1.1420216E-017, 1.3270372E-009, 3.8694519E-004, 5.1458300E+001, 2.0782238E-001, 2.8231729E-017, 6.6919887E-009, 3.8694587E-004, 5.1414546E+001, 2.0782209E-001, 4.8741666E-017, 1.7776737E-008, 3.8694891E-004
 1.2984914E-002, 5.1502184E+001, 2.0782249E-001, 5.4368451E-018, 4.8906077E-010, 3.8694515E-004, 5.1456416E+001, 2.0782245E-001, 1.4425175E-017, 2.7417234E-009, 3.8694534E-004, 5.1409218E+001, 2.0782233E-001, 2.6352814E-017, 7.9418627E-009, 3.8694635E-004
 1.3237069E-002, 5.1501553E+001, 2.0782250E-001, 2.5459355E-018, 1.7670292E-010, 3.8694514E-004, 5.1454940E+001, 2.0782248E-001, 7.2404788E-018, 1.0983881E-009, 3.8694519E-004, 5.1404573E+001, 2.0782243E-001, 1.3993452E-017, 3.4658891E-009, 3.8694551E-004
 1.3489224E-002, 5.1500969E+001, 2.0782250E-001, 1.1735501E-018, 6.2644198E-011, 3.8694513E-004, 5.1453347E+001, 2.0782249E-001, 3.5721619E-018, 4.3059565E-010, 3.8694515E-004, 5.1398938E+001, 2.0782247E-001, 7.3007353E-018, 1.4783662E-009, 3.8694525E-004
 1.3741379E-002, 5.1500344E+001, 2.0782250E-001, 5.3285174E-019, 2.1806733E-011, 3.8694513E-004, 5.1451162E+001, 2.0782250E-001, 1.7332003E-018, 1.6529126E-010, 3.8694514E-004, 5.1390774E+001, 2.0782249E-001, 3.7438248E-018, 6.1666525E-010, 3.8694517E-004
 1.3993534E-002, 5.1499548E+001, 2.0782250E-001, 2.3846785E-019, 7.4585294E-012, 3.8694513E-004, 5.1447769E+001, 2.0782250E-001, 8.2744057E-019, 6.2165511E-011, 3.8694513E-004, 5.1378223E+001, 2.0782249E-001, 1.8876604E-018, 2.5166079E-010, 3.8694514E-004
 1.4245690E-002, 5.1498355E+001, 2.0782250E-001, 1.0524759E-019, 2.5079242E-012, 3.8694513E-004, 5.1442236E+001, 2.0782250E-001, 3.8885868E-019, 2.2918727E-011, 3.8694513E-004, 5.1358771E+001, 2.0782250E-001, 9.3612156E-019, 1.0052032E-010, 3.8694513E-004
 1.4497845E-002, 5.1496372E+001, 2.0782250E-001, 4.5831679E-020, 8.2944169E-013, 3.8694513E-004, 5.1433124E+001, 2.0782250E-001, 1.7996562E-019, 8.2863648E-012, 3.8694513E-004, 5.1328929E+001, 2.0782250E-001, 4.5674130E-019, 3.9311151E-011, 3.8694513E-004
 1.4750000E-002, 5.1492918E+001, 2.0782250E-001, 1.9700409E-020, 2.6992550E-013, 3.8694513E-004, 5.1418236E+001, 2.0782250E-001, 8.2051181E-020, 2.9392123E-012, 3.8694513E-004, 5.1283912E+001, 2.0782250E-001, 2.1931064E-019, 1.5056884E-011, 3.8694513E-004
