s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C,C
 9.0117165E+000, 2.1681314E+002, 2.1614091E+002, 2.0070319E+002, 1.9357819E+002, 1.9361021E+002, 1.9019569E+002, 2.1681314E+002, 1.8709981E+002, 1.9010681E+002, 1.9691884E+002, 2.1088139E+002, 2.1534998E+002, 2.1543284E+002, 2.1370168E+002, 2.0658444E+002, 1.9279433E+002, 1.8708450E+002, 1.8707382E+002, 1.9275702E+002, 2.0655861E+002, 2.1367558E+002, 2.1540938E+002, 2.8458652E+001,-2.5598396E+000,-9.9264298E-002,-1.6202401E+000, 2.8359388E+001,-4.1800797E+000,-5.3223432E+001,-6.7752508E+000,-5.9998683E+001, 1.5000000E+001, 7.5588724E+002
 1.0014142E+001, 2.1991407E+002, 2.1923947E+002, 2.0189942E+002, 1.9398757E+002, 1.9400567E+002, 1.9019992E+002, 2.1991407E+002, 1.8679398E+002, 1.9015155E+002, 1.9778851E+002, 2.1335584E+002, 2.1835345E+002, 2.1843733E+002, 2.1648905E+002, 2.0853603E+002, 1.9315262E+002, 1.8676889E+002, 1.8675048E+002, 1.9309634E+002, 2.0850697E+002, 2.1647448E+002, 2.1842621E+002, 2.8407653E+001,-2.6342448E+000,-1.0725216E-001,-1.6341231E+000, 2.8300401E+001,-4.2683679E+000,-5.3213603E+001,-6.7849476E+000,-5.9998551E+001, 1.5000000E+001, 7.5601692E+002
 1.1016568E+001, 2.2300220E+002, 2.2232104E+002, 2.0309280E+002, 1.9439443E+002, 1.9440594E+002, 1.9020707E+002, 2.2300220E+002, 1.8646510E+002, 1.9018986E+002, 1.9864592E+002, 2.1582879E+002, 2.2135992E+002, 2.2140641E+002, 2.1926345E+002, 2.1049418E+002, 1.9350970E+002, 1.8644346E+002, 1.8642197E+002, 1.9343140E+002, 2.1046215E+002, 2.1929657E+002, 2.2144445E+002, 2.8319222E+001,-2.7109379E+000,-1.1968750E-001,-1.8814643E+000, 2.8199535E+001,-4.5924022E+000,-5.2935961E+001,-7.0625293E+000,-5.9998491E+001, 1.5000000E+001, 7.5493216E+002
 1.2001996E+001, 2.2601387E+002, 2.2533247E+002, 2.0426878E+002, 1.9479072E+002, 1.9480641E+002, 1.9021907E+002, 2.2601387E+002, 1.8615006E+002, 1.9023213E+002, 1.9948775E+002, 2.1825430E+002, 2.2429594E+002, 2.2433681E+002, 2.2201196E+002, 2.1241974E+002, 1.9385258E+002, 1.8612607E+002, 1.8609739E+002, 1.9376844E+002, 2.1239132E+002, 2.2208017E+002, 2.2439617E+002, 2.8278192E+001,-2.7866034E+000,-1.2617012E-001,-1.8001805E+000, 2.8152022E+001,-4.5867839E+000,-5.3205991E+001,-6.7926062E+000,-5.9998597E+001, 1.5000000E+001, 7.5631439E+002
 1.3012333E+001, 2.2901626E+002, 2.2833657E+002, 2.0542004E+002, 1.9518254E+002, 1.9520464E+002, 1.9023902E+002, 2.2901626E+002, 1.8584814E+002, 1.9027395E+002, 2.0032159E+002, 2.2065026E+002, 2.2720367E+002, 2.2725557E+002, 2.2473962E+002, 2.1433435E+002, 1.9419536E+002, 1.8581964E+002, 1.8578041E+002, 1.9412239E+002, 2.1430556E+002, 2.2483548E+002, 2.2733045E+002, 2.8232001E+001,-2.8626690E+000,-1.2697245E-001,-1.5846146E+000, 2.8105029E+001,-4.4472835E+000,-5.2953834E+001,-7.0448407E+000,-5.9998675E+001, 1.5000000E+001, 7.5536334E+002
 1.4007212E+001, 2.3206881E+002, 2.3138522E+002, 2.0657157E+002, 1.9558208E+002, 1.9562380E+002, 1.9025461E+002, 2.3206881E+002, 1.8553962E+002, 1.9030821E+002, 2.0117482E+002, 2.2307297E+002, 2.3015755E+002, 2.3018710E+002, 2.2748296E+002, 2.1625500E+002, 1.9454715E+002, 1.8550964E+002, 1.8546286E+002, 1.9448063E+002, 2.1623692E+002, 2.2762205E+002, 2.3030217E+002, 2.8179441E+001,-2.9408043E+000,-1.3658055E-001,-1.6937233E+000, 2.8042860E+001,-4.6345276E+000,-5.3154710E+001,-6.8434728E+000,-5.9998182E+001, 1.5000000E+001, 7.5643736E+002
 1.5027165E+001, 2.3506513E+002, 2.3437715E+002, 2.0770030E+002, 1.9598528E+002, 1.9602027E+002, 1.9027151E+002, 2.3506513E+002, 1.8522322E+002, 1.9032205E+002, 2.0201990E+002, 2.2549176E+002, 2.3307125E+002, 2.3307497E+002, 2.3018270E+002, 2.1814574E+002, 1.9489515E+002, 1.8520396E+002, 1.8515122E+002, 1.9481978E+002, 2.1811953E+002, 2.3033661E+002, 2.3321850E+002, 2.8118378E+001,-3.0208740E+000,-1.2973338E-001,-1.7872683E+000, 2.7988645E+001,-4.8081424E+000,-5.2949574E+001,-7.0490653E+000,-5.9998639E+001, 1.5000000E+001, 7.5569852E+002
 1.6006851E+001, 2.3805752E+002, 2.3736495E+002, 2.0883590E+002, 1.9640918E+002, 1.9641969E+002, 1.9028872E+002, 2.3805752E+002, 1.8490828E+002, 1.9034304E+002, 2.0287143E+002, 2.2789530E+002, 2.3597947E+002, 2.3594847E+002, 2.3287547E+002, 2.2003674E+002, 1.9524981E+002, 1.8489683E+002, 1.8483950E+002, 1.9516363E+002, 2.2000022E+002, 2.3304296E+002, 2.3611971E+002, 2.8096730E+001,-3.1019530E+000,-1.2446468E-001,-1.8545238E+000, 2.7972265E+001,-4.9564768E+000,-5.3351042E+001,-6.6474426E+000,-5.9998485E+001, 1.5000000E+001, 7.5769946E+002
 1.7002593E+001, 2.4093124E+002, 2.4023635E+002, 2.0994559E+002, 1.9682826E+002, 1.9680912E+002, 1.9030318E+002, 2.4093124E+002, 1.8460934E+002, 1.9037017E+002, 2.0368659E+002, 2.3019723E+002, 2.3876323E+002, 2.3870951E+002, 2.3547579E+002, 2.2185993E+002, 1.9559804E+002, 1.8460245E+002, 1.8454025E+002, 1.9551460E+002, 2.2183083E+002, 2.3565530E+002, 2.3890969E+002, 2.8012430E+001,-3.1803903E+000,-1.2494182E-001,-1.8909501E+000, 2.7887488E+001,-5.0713405E+000,-5.3366702E+001,-6.6319990E+000,-5.9998701E+001, 1.5000000E+001, 7.5793668E+002
 1.8035801E+001, 2.4386822E+002, 2.4317049E+002, 2.1107078E+002, 1.9726529E+002, 1.9721506E+002, 1.9033582E+002, 2.4386822E+002, 1.8430017E+002, 1.9041376E+002, 2.0452529E+002, 2.3253820E+002, 2.4161295E+002, 2.4156048E+002, 2.3814422E+002, 2.2371953E+002, 1.9595747E+002, 1.8430923E+002, 1.8423840E+002, 1.9587787E+002, 2.2371020E+002, 2.3832683E+002, 2.4176137E+002, 2.7958567E+001,-3.2618645E+000,-1.3623649E-001,-1.9277328E+000, 2.7822331E+001,-5.1895973E+000,-5.3113733E+001,-6.8846924E+000,-5.9998426E+001, 1.5000000E+001, 7.5698382E+002
 1.9022075E+001, 2.4680437E+002, 2.4610709E+002, 2.1219418E+002, 1.9767248E+002, 1.9762664E+002, 1.9038267E+002, 2.4680437E+002, 1.8400160E+002, 1.9045096E+002, 2.0537659E+002, 2.3489696E+002, 2.4447119E+002, 2.4438542E+002, 2.4077953E+002, 2.2555123E+002, 1.9631913E+002, 1.8401583E+002, 1.8392709E+002, 1.9620732E+002, 2.2554379E+002, 2.4096956E+002, 2.4459776E+002, 2.7911192E+001,-3.3448243E+000,-1.4359696E-001,-1.7958455E+000, 2.7767596E+001,-5.1406698E+000,-5.3478982E+001,-6.5197178E+000,-5.9998700E+001, 1.5000000E+001, 7.5881315E+002
 2.0007160E+001, 2.4964424E+002, 2.4894277E+002, 2.1328592E+002, 1.9805954E+002, 1.9801426E+002, 1.9041195E+002, 2.4964424E+002, 1.8371342E+002, 1.9048563E+002, 2.0620084E+002, 2.3718511E+002, 2.4722738E+002, 2.4711263E+002, 2.4332004E+002, 2.2732098E+002, 1.9665328E+002, 1.8371869E+002, 1.8362861E+002, 1.9652490E+002, 2.2729552E+002, 2.4349333E+002, 2.4731182E+002, 2.7831972E+001,-3.4262019E+000,-1.4253291E-001,-1.9121734E+000, 2.7689439E+001,-5.3383754E+000,-5.3145229E+001,-6.8535559E+000,-5.9998785E+001, 1.5000000E+001, 7.5749600E+002
 2.1014436E+001, 2.5246578E+002, 2.5175755E+002, 2.1436797E+002, 1.9844413E+002, 1.9839729E+002, 1.9043815E+002, 2.5246578E+002, 1.8341960E+002, 1.9052964E+002, 2.0703704E+002, 2.3945008E+002, 2.4995916E+002, 2.4986383E+002, 2.4588011E+002, 2.2910851E+002, 1.9700665E+002, 1.8342736E+002, 1.8333235E+002, 1.9684569E+002, 2.2904900E+002, 2.4602294E+002, 2.5002497E+002, 2.7783063E+001,-3.5094279E+000,-1.4406087E-001,-2.1187751E+000, 2.7639002E+001,-5.6282031E+000,-5.3030671E+001,-6.9677753E+000,-5.9998446E+001, 1.5000000E+001, 7.5716621E+002
 2.2021712E+001, 2.5524895E+002, 2.5453955E+002, 2.1543675E+002, 1.9882089E+002, 1.9878029E+002, 1.9046428E+002, 2.5524895E+002, 1.8312131E+002, 1.9057065E+002, 2.0786237E+002, 2.4168447E+002, 2.5266237E+002, 2.5259751E+002, 2.4842387E+002, 2.3086898E+002, 1.9734607E+002, 1.8314656E+002, 1.8304436E+002, 1.9718049E+002, 2.3079656E+002, 2.4853549E+002, 2.5271365E+002, 2.7674229E+001,-3.5921563E+000,-1.7007469E-001,-2.1344796E+000, 2.7504154E+001,-5.7266360E+000,-5.2912075E+001,-7.0865868E+000,-5.9998662E+001, 1.5000000E+001, 7.5681300E+002
 2.3032462E+001, 2.5800749E+002, 2.5729805E+002, 2.1648308E+002, 1.9920558E+002, 1.9917076E+002, 1.9049839E+002, 2.5800749E+002, 1.8282944E+002, 1.9060781E+002, 2.0867724E+002, 2.4392054E+002, 2.5533726E+002, 2.5528698E+002, 2.5094494E+002, 2.3262112E+002, 1.9767220E+002, 1.8285985E+002, 1.8276384E+002, 1.9752575E+002, 2.3253215E+002, 2.5101364E+002, 2.5536474E+002, 2.7627667E+001,-3.6746864E+000,-1.7180567E-001,-2.0409885E+000, 2.7455862E+001,-5.7156749E+000,-5.3065774E+001,-6.9326155E+000,-5.9998389E+001, 1.5000000E+001, 7.5768161E+002
 2.4019801E+001, 2.6073511E+002, 2.6002295E+002, 2.1753317E+002, 1.9961151E+002, 1.9955569E+002, 1.9053084E+002, 2.6073511E+002, 1.8254026E+002, 1.9063480E+002, 2.0947061E+002, 2.4611437E+002, 2.5798473E+002, 2.5793669E+002, 2.5341098E+002, 2.3432943E+002, 1.9799229E+002, 1.8256854E+002, 1.8248800E+002, 1.9787161E+002, 2.3424200E+002, 2.5348177E+002, 2.5800465E+002, 2.7584100E+001,-3.7578294E+000,-1.7003483E-001,-2.0383351E+000, 2.7414066E+001,-5.7961645E+000,-5.3108317E+001,-6.8901557E+000,-5.9998473E+001, 1.5000000E+001, 7.5805908E+002
 2.5008764E+001, 2.6338622E+002, 2.6267050E+002, 2.1853935E+002, 2.0001511E+002, 1.9992607E+002, 1.9056586E+002, 2.6338622E+002, 1.8225843E+002, 1.9065437E+002, 2.1023740E+002, 2.4821467E+002, 2.6055742E+002, 2.6047624E+002, 2.5578442E+002, 2.3597242E+002, 1.9830852E+002, 1.8228794E+002, 1.8221684E+002, 1.9820813E+002, 2.3590684E+002, 2.5589229E+002, 2.6057711E+002, 2.7504098E+001,-3.8412488E+000,-1.6382553E-001,-2.1245666E+000, 2.7340272E+001,-5.9658154E+000,-5.3074919E+001,-6.9236844E+000,-5.9998603E+001, 1.5000000E+001, 7.5809860E+002
 2.6007935E+001, 2.6602376E+002, 2.6530183E+002, 2.1954487E+002, 2.0041721E+002, 2.0030483E+002, 1.9060691E+002, 2.6602376E+002, 1.8197750E+002, 1.9068069E+002, 2.1101339E+002, 2.5033476E+002, 2.6312147E+002, 2.6302287E+002, 2.5816591E+002, 2.3762723E+002, 1.9862497E+002, 1.8200101E+002, 1.8193884E+002, 1.9854627E+002, 2.3759890E+002, 2.5831518E+002, 2.6315472E+002, 2.7430544E+001,-3.9244186E+000,-1.7448995E-001,-2.3377578E+000, 2.7256054E+001,-6.2621764E+000,-5.3026570E+001,-6.9719711E+000,-5.9998541E+001, 1.5000000E+001, 7.5805931E+002
 2.7001077E+001, 2.6862369E+002, 2.6789826E+002, 2.2053685E+002, 2.0082195E+002, 2.0069438E+002, 1.9064134E+002, 2.6862369E+002, 1.8170215E+002, 1.9071201E+002, 2.1179749E+002, 2.5242916E+002, 2.6566051E+002, 2.6555067E+002, 2.6052529E+002, 2.3926886E+002, 1.9893751E+002, 1.8171703E+002, 1.8165994E+002, 1.9888246E+002, 2.3928708E+002, 2.6073243E+002, 2.6570655E+002, 2.7372458E+001,-4.0082452E+000,-1.8124983E-001,-2.4018508E+000, 2.7191208E+001,-6.4100960E+000,-5.2942817E+001,-7.0555830E+000,-5.9998400E+001, 1.5000000E+001, 7.5786704E+002
 2.8031003E+001, 2.7122395E+002, 2.7049938E+002, 2.2152344E+002, 2.0121366E+002, 2.0106867E+002, 1.9068724E+002, 2.7122395E+002, 1.8143378E+002, 1.9074370E+002, 2.1257790E+002, 2.5450240E+002, 2.6819058E+002, 2.6806736E+002, 2.6287145E+002, 2.4089711E+002, 1.9925934E+002, 1.8144409E+002, 1.8139552E+002, 1.9923389E+002, 2.4097604E+002, 2.6312272E+002, 2.6824198E+002, 2.7316556E+001,-4.0925657E+000,-1.7545503E-001,-2.2563452E+000, 2.7141101E+001,-6.3489109E+000,-5.3015145E+001,-6.9834085E+000,-5.9998554E+001, 1.5000000E+001, 7.5838002E+002
 2.9024145E+001, 2.7384698E+002, 2.7312236E+002, 2.2250968E+002, 2.0160106E+002, 2.0144578E+002, 1.9073187E+002, 2.7384698E+002, 1.8116468E+002, 1.9078995E+002, 2.1337584E+002, 2.5659346E+002, 2.7072218E+002, 2.7061554E+002, 2.6526195E+002, 2.4254054E+002, 1.9957347E+002, 1.8116950E+002, 1.8111574E+002, 1.9957723E+002, 2.4266559E+002, 2.6555588E+002, 2.7081711E+002, 2.7226885E+001,-4.1790541E+000,-1.9172613E-001,-2.1920396E+000, 2.7035159E+001,-6.3710937E+000,-5.2942214E+001,-7.0562747E+000,-5.9998489E+001, 1.5000000E+001, 7.5823948E+002
 3.0016255E+001, 2.7637032E+002, 2.7564702E+002, 2.2345214E+002, 2.0197983E+002, 2.0181265E+002, 1.9077098E+002, 2.7637032E+002, 1.8090979E+002, 1.9083204E+002, 2.1412992E+002, 2.5859244E+002, 2.7315152E+002, 2.7305638E+002, 2.6752828E+002, 2.4412958E+002, 1.9988338E+002, 1.8090553E+002, 1.8084993E+002, 1.9989226E+002, 2.4425721E+002, 2.6787479E+002, 2.7328270E+002, 2.7171149E+001,-4.2630470E+000,-2.0258542E-001,-2.0454073E+000, 2.6968564E+001,-6.3084543E+000,-5.2937735E+001,-7.0606236E+000,-5.9998359E+001, 1.5000000E+001, 7.5840364E+002
 3.1017156E+001, 2.7893646E+002, 2.7821093E+002, 2.2441031E+002, 2.0235053E+002, 2.0217504E+002, 1.9081281E+002, 2.7893646E+002, 1.8064892E+002, 1.9087353E+002, 2.1489671E+002, 2.6062727E+002, 2.7562164E+002, 2.7553490E+002, 2.6983515E+002, 2.4574460E+002, 2.0021156E+002, 1.8064127E+002, 1.8059180E+002, 2.0022456E+002, 2.4587942E+002, 2.7019369E+002, 2.7576768E+002, 2.7092294E+001,-4.3495311E+000,-2.1102980E-001,-2.0841318E+000, 2.6881264E+001,-6.4336628E+000,-5.2882045E+001,-7.1164789E+000,-5.9998524E+001, 1.5000000E+001, 7.5834116E+002
 3.2018056E+001, 2.8144991E+002, 2.8071813E+002, 2.2536025E+002, 2.0270796E+002, 2.0253875E+002, 1.9085568E+002, 2.8144991E+002, 1.8039239E+002, 1.9091352E+002, 2.1566618E+002, 2.6262558E+002, 2.7804379E+002, 2.7796799E+002, 2.7211177E+002, 2.4732712E+002, 2.0052119E+002, 1.8037483E+002, 1.8033354E+002, 2.0056347E+002, 2.4747619E+002, 2.7246094E+002, 2.7818607E+002, 2.7071992E+001,-4.4362210E+000,-1.9950414E-001,-2.2234083E+000, 2.6872488E+001,-6.6596293E+000,-5.3179038E+001,-6.8193954E+000,-5.9998434E+001, 1.5000000E+001, 7.5986780E+002
 3.3001083E+001, 2.8387285E+002, 2.8313437E+002, 2.2628365E+002, 2.0306193E+002, 2.0290345E+002, 1.9090175E+002, 2.8387285E+002, 1.8013846E+002, 1.9095487E+002, 2.1641487E+002, 2.6455848E+002, 2.8037815E+002, 2.8033630E+002, 2.7433466E+002, 2.4886349E+002, 2.0082374E+002, 1.8011238E+002, 1.8007822E+002, 2.0089624E+002, 2.4903458E+002, 2.7466493E+002, 2.8054467E+002, 2.7019540E+001,-4.5208865E+000,-1.9719144E-001,-2.4191932E+000, 2.6822348E+001,-6.9400797E+000,-5.3157986E+001,-6.8404588E+000,-5.9998445E+001, 1.5000000E+001, 7.5996197E+002
 3.4000846E+001, 2.8627707E+002, 2.8553445E+002, 2.2719363E+002, 2.0342376E+002, 2.0326712E+002, 1.9095131E+002, 2.8627707E+002, 1.7989252E+002, 1.9101450E+002, 2.1718010E+002, 2.6650128E+002, 2.8269873E+002, 2.8271276E+002, 2.7657890E+002, 2.5039378E+002, 2.0112721E+002, 1.7985606E+002, 1.7983014E+002, 2.0122863E+002, 2.5057818E+002, 2.7687220E+002, 2.8290306E+002, 2.6923073E+001,-4.6059307E+000,-2.0713969E-001,-2.5467932E+000, 2.6715933E+001,-7.1527239E+000,-5.2989330E+001,-7.0092050E+000,-5.9998535E+001, 1.5000000E+001, 7.5938914E+002
 3.5001368E+001, 2.8866307E+002, 2.8792160E+002, 2.2810789E+002, 2.0378051E+002, 2.0362541E+002, 1.9099657E+002, 2.8866307E+002, 1.7964101E+002, 1.9106488E+002, 2.1794093E+002, 2.6843742E+002, 2.8500623E+002, 2.8505847E+002, 2.7877900E+002, 2.5192407E+002, 2.0144007E+002, 1.7960250E+002, 1.7958274E+002, 2.0156057E+002, 2.5210246E+002, 2.7906779E+002, 2.8525353E+002, 2.6842234E+001,-4.6916361E+000,-2.1471224E-001,-2.4227600E+000, 2.6627522E+001,-7.1143961E+000,-5.2917546E+001,-7.0810326E+000,-5.9998579E+001, 1.5000000E+001, 7.5925801E+002
 3.6001889E+001, 2.9102045E+002, 2.9027575E+002, 2.2901297E+002, 2.0413146E+002, 2.0399087E+002, 1.9106240E+002, 2.9102045E+002, 1.7939006E+002, 1.9111146E+002, 2.1870396E+002, 2.7033822E+002, 2.8727583E+002, 2.8735157E+002, 2.8092302E+002, 2.5341332E+002, 2.0174231E+002, 1.7935258E+002, 1.7932477E+002, 2.0188808E+002, 2.5361530E+002, 2.8121276E+002, 2.8755676E+002, 2.6787078E+001,-4.7769846E+000,-2.2698673E-001,-2.5067680E+000, 2.6560092E+001,-7.2837526E+000,-5.2884029E+001,-7.1145579E+000,-5.9998587E+001, 1.5000000E+001, 7.5928899E+002
 3.7026561E+001, 2.9341724E+002, 2.9266917E+002, 2.2992731E+002, 2.0449569E+002, 2.0436968E+002, 1.9113888E+002, 2.9341724E+002, 1.7914240E+002, 1.9116607E+002, 2.1948496E+002, 2.7228718E+002, 2.8959350E+002, 2.8969292E+002, 2.8312444E+002, 2.5493274E+002, 2.0206376E+002, 1.7910831E+002, 1.7906061E+002, 2.0221003E+002, 2.5515599E+002, 2.8340380E+002, 2.8989387E+002, 2.6754959E+001,-4.8643969E+000,-2.1818601E-001,-2.5095690E+000, 2.6536773E+001,-7.3739659E+000,-5.3043371E+001,-6.9549820E+000,-5.9998353E+001, 1.5000000E+001, 7.6019353E+002
 3.8016215E+001, 2.9570867E+002, 2.9495998E+002, 2.3080920E+002, 2.0484687E+002, 2.0472634E+002, 1.9119448E+002, 2.9570867E+002, 1.7890646E+002, 1.9121254E+002, 2.2023128E+002, 2.7416184E+002, 2.9183240E+002, 2.9192663E+002, 2.8523527E+002, 2.5640971E+002, 2.0237734E+002, 1.7886983E+002, 1.7881861E+002, 2.0252250E+002, 2.5662552E+002, 2.8552167E+002, 2.9214487E+002, 2.6631487E+001,-4.9499352E+000,-2.3868063E-001,-2.5142323E+000, 2.6392806E+001,-7.4641675E+000,-5.2789659E+001,-7.2088958E+000,-5.9998555E+001, 1.5000000E+001, 7.5924241E+002
