s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C,C
Time,"T_bottom","T_top","WT1","WT2","WT3","WT4","WT5","WT6","WT7","WT8","WT9","WT10","WT11","WT12","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT20","rhfHeatedSide","rhfCooledSide","chfHeatedSide","chfCooledSide","thfHeatedSide","thfCooledSide","rhfRadPanelSide","chfRadPanelSide","thfRadPanelSide","WTRADPANELSBOTTOM","WTRADPANELTOP"
 2.2033767E+001, 1.0500002E+001, 1.0500001E+001, 1.0499917E+001, 1.0500032E+001, 1.0499959E+001, 1.0499950E+001, 1.0500002E+001, 1.0499906E+001, 1.0500011E+001, 1.0499976E+001, 1.0500010E+001, 1.0500031E+001, 1.0499972E+001, 1.0499998E+001, 1.0499989E+001, 1.0500064E+001, 1.0500076E+001, 1.0499967E+001, 1.0500001E+001, 1.0500017E+001, 1.0499939E+001, 1.0499921E+001,-3.8307702E-006,-2.7771686E-007, 1.6152706E-005,-1.8457506E-005, 1.2321936E-005,-1.8735222E-005, 7.0914207E-006,-7.0927783E-006,-1.3575909E-009, 1.0500000E+001, 1.0498402E+001
 2.3071589E+001, 1.0500000E+001, 1.0500000E+001, 1.0499916E+001, 1.0500033E+001, 1.0499959E+001, 1.0499951E+001, 1.0500000E+001, 1.0499906E+001, 1.0500010E+001, 1.0499976E+001, 1.0500010E+001, 1.0500031E+001, 1.0499969E+001, 1.0499996E+001, 1.0499990E+001, 1.0500063E+001, 1.0500076E+001, 1.0499969E+001, 1.0500001E+001, 1.0500015E+001, 1.0499939E+001, 1.0499920E+001,-3.8363944E-006,-2.5133650E-007, 1.5096035E-005,-1.7414989E-005, 1.1259640E-005,-1.7666325E-005, 7.5073703E-006,-7.5081930E-006,-8.2265549E-010, 1.0500000E+001, 1.0498311E+001
 2.4029579E+001, 1.0499999E+001, 1.0499998E+001, 1.0499916E+001, 1.0500033E+001, 1.0499959E+001, 1.0499951E+001, 1.0499999E+001, 1.0499907E+001, 1.0500010E+001, 1.0499976E+001, 1.0500010E+001, 1.0500031E+001, 1.0499965E+001, 1.0499995E+001, 1.0499990E+001, 1.0500063E+001, 1.0500077E+001, 1.0499970E+001, 1.0500002E+001, 1.0500013E+001, 1.0499939E+001, 1.0499920E+001,-3.8206174E-006,-2.2407235E-007, 1.4110315E-005,-1.6341015E-005, 1.0289697E-005,-1.6565088E-005, 7.7727982E-006,-7.7732815E-006,-4.8334950E-010, 1.0500000E+001, 1.0498252E+001
 2.5067402E+001, 1.0499997E+001, 1.0499997E+001, 1.0499915E+001, 1.0500034E+001, 1.0499959E+001, 1.0499951E+001, 1.0499997E+001, 1.0499907E+001, 1.0500009E+001, 1.0499976E+001, 1.0500010E+001, 1.0500031E+001, 1.0499963E+001, 1.0499994E+001, 1.0499990E+001, 1.0500062E+001, 1.0500077E+001, 1.0499972E+001, 1.0500003E+001, 1.0500011E+001, 1.0499939E+001, 1.0499920E+001,-3.7880454E-006,-1.9721053E-007, 1.3182617E-005,-1.5286859E-005, 9.3945720E-006,-1.5484070E-005, 7.8785072E-006,-7.8787175E-006,-2.1039118E-010, 1.0500000E+001, 1.0498228E+001
 2.6025391E+001, 1.0499996E+001, 1.0499995E+001, 1.0499915E+001, 1.0500034E+001, 1.0499959E+001, 1.0499951E+001, 1.0499996E+001, 1.0499908E+001, 1.0500009E+001, 1.0499976E+001, 1.0500010E+001, 1.0500030E+001, 1.0499960E+001, 1.0499992E+001, 1.0499989E+001, 1.0500061E+001, 1.0500077E+001, 1.0499974E+001, 1.0500004E+001, 1.0500009E+001, 1.0499939E+001, 1.0499919E+001,-3.7404752E-006,-1.7119253E-007, 1.2338859E-005,-1.4298954E-005, 8.5983834E-006,-1.4470147E-005, 7.8650617E-006,-7.8651943E-006,-1.3256432E-010, 1.0500000E+001, 1.0498230E+001
 2.7063214E+001, 1.0499994E+001, 1.0499994E+001, 1.0499914E+001, 1.0500034E+001, 1.0499960E+001, 1.0499952E+001, 1.0499994E+001, 1.0499908E+001, 1.0500008E+001, 1.0499976E+001, 1.0500010E+001, 1.0500030E+001, 1.0499958E+001, 1.0499991E+001, 1.0499989E+001, 1.0500060E+001, 1.0500077E+001, 1.0499975E+001, 1.0500004E+001, 1.0500007E+001, 1.0499939E+001, 1.0499919E+001,-3.6794483E-006,-1.4719660E-007, 1.1580346E-005,-1.3388944E-005, 7.9008974E-006,-1.3536141E-005, 7.7711124E-006,-7.7710924E-006, 1.9914538E-011, 1.0500000E+001, 1.0498250E+001
 2.8021204E+001, 1.0499993E+001, 1.0499993E+001, 1.0499914E+001, 1.0500034E+001, 1.0499960E+001, 1.0499952E+001, 1.0499993E+001, 1.0499909E+001, 1.0500007E+001, 1.0499976E+001, 1.0500010E+001, 1.0500029E+001, 1.0499956E+001, 1.0499990E+001, 1.0499989E+001, 1.0500058E+001, 1.0500076E+001, 1.0499977E+001, 1.0500005E+001, 1.0500006E+001, 1.0499939E+001, 1.0499919E+001,-3.6111980E-006,-1.2526742E-007, 1.0890045E-005,-1.2549038E-005, 7.2788471E-006,-1.2674305E-005, 7.6285163E-006,-7.6285199E-006,-3.5295192E-012, 1.0500000E+001, 1.0498281E+001
 2.9059026E+001, 1.0499992E+001, 1.0499991E+001, 1.0499913E+001, 1.0500034E+001, 1.0499960E+001, 1.0499952E+001, 1.0499992E+001, 1.0499909E+001, 1.0500007E+001, 1.0499975E+001, 1.0500009E+001, 1.0500029E+001, 1.0499954E+001, 1.0499989E+001, 1.0499988E+001, 1.0500057E+001, 1.0500076E+001, 1.0499979E+001, 1.0500006E+001, 1.0500004E+001, 1.0499939E+001, 1.0499919E+001,-3.5382435E-006,-1.0445544E-007, 1.0256777E-005,-1.1774496E-005, 6.7185333E-006,-1.1878952E-005, 7.4583623E-006,-7.4581986E-006, 1.6373475E-010, 1.0500000E+001, 1.0498318E+001
 3.0017016E+001, 1.0499991E+001, 1.0499990E+001, 1.0499913E+001, 1.0500034E+001, 1.0499960E+001, 1.0499953E+001, 1.0499991E+001, 1.0499909E+001, 1.0500006E+001, 1.0499975E+001, 1.0500009E+001, 1.0500028E+001, 1.0499953E+001, 1.0499988E+001, 1.0499988E+001, 1.0500056E+001, 1.0500076E+001, 1.0499980E+001, 1.0500006E+001, 1.0500003E+001, 1.0499939E+001, 1.0499919E+001,-3.4624104E-006,-8.4510141E-008, 9.6645801E-006,-1.1021576E-005, 6.2021698E-006,-1.1106086E-005, 7.2731361E-006,-7.2728280E-006, 3.0809182E-010, 1.0500000E+001, 1.0498358E+001
 3.1054838E+001, 1.0499989E+001, 1.0499989E+001, 1.0499913E+001, 1.0500034E+001, 1.0499960E+001, 1.0499953E+001, 1.0499989E+001, 1.0499910E+001, 1.0500005E+001, 1.0499975E+001, 1.0500009E+001, 1.0500027E+001, 1.0499951E+001, 1.0499987E+001, 1.0499987E+001, 1.0500055E+001, 1.0500076E+001, 1.0499982E+001, 1.0500007E+001, 1.0500001E+001, 1.0499939E+001, 1.0499919E+001,-3.3867000E-006,-6.5690284E-008, 9.1299540E-006,-1.0315444E-005, 5.7432539E-006,-1.0381134E-005, 7.0840748E-006,-7.0837326E-006, 3.4217109E-010, 1.0500000E+001, 1.0498400E+001
