m,kW,kW,m,m/s,C,m,m/s,C,m,m/s,C,m,m/s,C,m,m/s,C,m,m/s,C
 4.5000000E-001, 2.3157283E-001,-4.8603560E-002, 4.5000000E-001, 4.2796851E+000, 8.7899914E+002, 4.5000000E-001, 3.9803683E+000, 8.0252029E+002, 4.5000000E-001, 2.2056486E+000, 3.4751952E+002, 4.5000000E-001, 7.3539682E-001, 1.0612380E+002, 4.5000000E-001, 1.9769356E-001, 3.0481561E+001, 4.5000000E-001, 1.5072620E-001, 2.1674926E+001
 4.7500000E-001, 2.2543990E-001,-4.8131949E-002, 4.7500000E-001, 4.3480793E+000, 8.6954992E+002, 4.7500000E-001, 4.0354043E+000, 7.8802474E+002, 4.7500000E-001, 2.2675409E+000, 3.4874478E+002, 4.7500000E-001, 7.9792744E-001, 1.1121944E+002, 4.7500000E-001, 2.1628304E-001, 3.3116215E+001, 4.7500000E-001, 1.5427977E-001, 2.1867165E+001
 5.0000000E-001, 2.1797659E-001,-4.7364275E-002, 5.0000000E-001, 4.4116737E+000, 8.5688334E+002, 5.0000000E-001, 4.0828563E+000, 7.7279880E+002, 5.0000000E-001, 2.3240867E+000, 3.5001152E+002, 5.0000000E-001, 8.5727587E-001, 1.1597102E+002, 5.0000000E-001, 2.3964011E-001, 3.6580050E+001, 5.0000000E-001, 1.5689350E-001, 2.2049581E+001
 5.2500000E-001, 2.0915379E-001,-4.6288000E-002, 5.2500000E-001, 4.4685162E+000, 8.4095085E+002, 5.2500000E-001, 4.1261354E+000, 7.5615682E+002, 5.2500000E-001, 2.3818327E+000, 3.5069471E+002, 5.2500000E-001, 9.2089367E-001, 1.2167409E+002, 5.2500000E-001, 2.6710170E-001, 4.0177818E+001, 5.2500000E-001, 1.6038552E-001, 2.2508198E+001
 5.5000000E-001, 1.9911603E-001,-4.4916864E-002, 5.5000000E-001, 4.5149135E+000, 8.2233362E+002, 5.5000000E-001, 4.1610755E+000, 7.3738086E+002, 5.5000000E-001, 2.4374156E+000, 3.5093345E+002, 5.5000000E-001, 9.8461608E-001, 1.2755040E+002, 5.5000000E-001, 2.9791323E-001, 4.4087663E+001, 5.5000000E-001, 1.6479551E-001, 2.3182696E+001
 5.7500000E-001, 1.8809844E-001,-4.3276377E-002, 5.7500000E-001, 4.5498162E+000, 8.0207233E+002, 5.7500000E-001, 4.1837496E+000, 7.1612389E+002, 5.7500000E-001, 2.4915517E+000, 3.5086679E+002, 5.7500000E-001, 1.0518471E+000, 1.3348333E+002, 5.7500000E-001, 3.3154634E-001, 4.8151045E+001, 5.7500000E-001, 1.6919582E-001, 2.3877833E+001
 6.0000000E-001, 1.7625914E-001,-4.1382709E-002, 6.0000000E-001, 4.5729809E+000, 7.7979824E+002, 6.0000000E-001, 4.1968259E+000, 6.9377392E+002, 6.0000000E-001, 2.5462184E+000, 3.5005642E+002, 6.0000000E-001, 1.1196104E+000, 1.3929072E+002, 6.0000000E-001, 3.6906245E-001, 5.2450805E+001, 6.0000000E-001, 1.7547381E-001, 2.4592888E+001
 6.2500000E-001, 1.6384336E-001,-3.9285365E-002, 6.2500000E-001, 4.5839699E+000, 7.5492366E+002, 6.2500000E-001, 4.2029002E+000, 6.7082219E+002, 6.2500000E-001, 2.5949901E+000, 3.4857647E+002, 6.2500000E-001, 1.1861757E+000, 1.4429814E+002, 6.2500000E-001, 4.0684965E-001, 5.5253178E+001, 6.2500000E-001, 1.8204150E-001, 2.5397141E+001
 6.5000000E-001, 1.5108091E-001,-3.7041331E-002, 6.5000000E-001, 4.5828673E+000, 7.2774064E+002, 6.5000000E-001, 4.2029270E+000, 6.4755221E+002, 6.5000000E-001, 2.6355978E+000, 3.4551487E+002, 6.5000000E-001, 1.2483997E+000, 1.4842392E+002, 6.5000000E-001, 4.4397543E-001, 5.7634926E+001, 6.5000000E-001, 1.8972530E-001, 2.6286473E+001
 6.7500000E-001, 1.3811862E-001,-3.4652067E-002, 6.7500000E-001, 4.5748107E+000, 6.9997449E+002, 6.7500000E-001, 4.1992618E+000, 6.2424426E+002, 6.7500000E-001, 2.6730019E+000, 3.4129882E+002, 6.7500000E-001, 1.3067291E+000, 1.5153278E+002, 6.7500000E-001, 4.7981279E-001, 6.0324404E+001, 6.7500000E-001, 1.9662211E-001, 2.7504259E+001
 7.0000000E-001, 1.2519422E-001,-3.2171460E-002, 7.0000000E-001, 4.5633857E+000, 6.7155759E+002, 7.0000000E-001, 4.1924641E+000, 6.0048694E+002, 7.0000000E-001, 2.7082960E+000, 3.3667063E+002, 7.0000000E-001, 1.3592367E+000, 1.5397067E+002, 7.0000000E-001, 5.2034507E-001, 6.3714160E+001, 7.0000000E-001, 2.0668497E-001, 2.8868783E+001
 7.2500000E-001, 1.1255460E-001,-2.9649506E-002, 7.2500000E-001, 4.5457603E+000, 6.4302808E+002, 7.2500000E-001, 4.1770313E+000, 5.7605455E+002, 7.2500000E-001, 2.7413843E+000, 3.3068456E+002, 7.2500000E-001, 1.4088248E+000, 1.5621433E+002, 7.2500000E-001, 5.6430062E-001, 6.6549823E+001, 7.2500000E-001, 2.1686567E-001, 3.0373817E+001
 7.5000000E-001, 1.0030414E-001,-2.7109899E-002, 7.5000000E-001, 4.5253044E+000, 6.1434997E+002, 7.5000000E-001, 4.1590422E+000, 5.5252543E+002, 7.5000000E-001, 2.7720080E+000, 3.2396595E+002, 7.5000000E-001, 1.4623229E+000, 1.5773156E+002, 7.5000000E-001, 6.0855496E-001, 6.8725506E+001, 7.5000000E-001, 2.3155718E-001, 3.1816223E+001
 7.7500000E-001, 1.0190079E-001,-2.8065891E-002, 7.7500000E-001, 4.5006263E+000, 5.8644710E+002, 7.7500000E-001, 4.1421127E+000, 5.2911296E+002, 7.7500000E-001, 2.7975977E+000, 3.1723309E+002, 7.7500000E-001, 1.5168675E+000, 1.5878119E+002, 7.7500000E-001, 6.4933574E-001, 7.0576270E+001, 7.7500000E-001, 2.4790297E-001, 3.3354648E+001
 8.0000000E-001, 7.7865373E-002,-2.2245478E-002, 8.0000000E-001, 4.4768032E+000, 5.5997063E+002, 8.0000000E-001, 4.1234662E+000, 5.0609332E+002, 8.0000000E-001, 2.8212119E+000, 3.1033764E+002, 8.0000000E-001, 1.5645674E+000, 1.5900926E+002, 8.0000000E-001, 6.8900847E-001, 7.2226272E+001, 8.0000000E-001, 2.6307348E-001, 3.4394318E+001
 8.2500000E-001, 6.7690729E-002,-1.9982441E-002, 8.2500000E-001, 4.4526631E+000, 5.3403416E+002, 8.2500000E-001, 4.1048967E+000, 4.8385039E+002, 8.2500000E-001, 2.8441879E+000, 3.0307899E+002, 8.2500000E-001, 1.6071654E+000, 1.5872612E+002, 8.2500000E-001, 7.3088451E-001, 7.3777759E+001, 8.2500000E-001, 2.8139963E-001, 3.5358496E+001
 8.5000000E-001, 5.8301924E-002,-1.7863494E-002, 8.5000000E-001, 4.4225504E+000, 5.0847881E+002, 8.5000000E-001, 4.0839376E+000, 4.6190624E+002, 8.5000000E-001, 2.8644653E+000, 2.9588169E+002, 8.5000000E-001, 1.6520266E+000, 1.5879247E+002, 8.5000000E-001, 7.7399699E-001, 7.5420127E+001, 8.5000000E-001, 2.9817137E-001, 3.6356957E+001
 8.7500000E-001, 4.9759290E-002,-1.5905117E-002, 8.7500000E-001, 4.3889297E+000, 4.8380093E+002, 8.7500000E-001, 4.0608417E+000, 4.4105105E+002, 8.7500000E-001, 2.8826219E+000, 2.8901031E+002, 8.7500000E-001, 1.7029820E+000, 1.5964489E+002, 8.7500000E-001, 8.1400781E-001, 7.6990728E+001, 8.7500000E-001, 3.1706594E-001, 3.7801558E+001
 9.0000000E-001, 3.8882869E-002,-1.2902650E-002, 9.0000000E-001, 4.3501065E+000, 4.6036963E+002, 9.0000000E-001, 4.0379909E+000, 4.2134440E+002, 9.0000000E-001, 2.8961644E+000, 2.8178002E+002, 9.0000000E-001, 1.7424989E+000, 1.5901152E+002, 9.0000000E-001, 8.5394145E-001, 7.8883892E+001, 9.0000000E-001, 3.4216897E-001, 3.8940814E+001
 9.2500000E-001, 3.5300035E-002,-1.2502383E-002, 9.2500000E-001, 4.3120207E+000, 4.3815706E+002, 9.2500000E-001, 4.0143188E+000, 4.0228910E+002, 9.2500000E-001, 2.9094105E+000, 2.7462442E+002, 9.2500000E-001, 1.7810902E+000, 1.5775128E+002, 9.2500000E-001, 9.0181200E-001, 8.0785055E+001, 9.2500000E-001, 3.7005295E-001, 4.0052615E+001
 9.5000000E-001, 2.9383328E-002,-1.1050840E-002, 9.5000000E-001, 4.2738769E+000, 4.1690386E+002, 9.5000000E-001, 3.9868043E+000, 3.8414172E+002, 9.5000000E-001, 2.9224358E+000, 2.6694533E+002, 9.5000000E-001, 1.8187529E+000, 1.5633741E+002, 9.5000000E-001, 9.4473185E-001, 8.2918900E+001, 9.5000000E-001, 3.9711381E-001, 4.1717652E+001
 9.7512500E-001, 2.4269603E-002,-9.7503786E-003, 9.7512500E-001, 4.2325905E+000, 3.9655323E+002, 9.7512500E-001, 3.9563811E+000, 3.6675058E+002, 9.7512500E-001, 2.9291643E+000, 2.5877855E+002, 9.7512500E-001, 1.8480248E+000, 1.5486209E+002, 9.7512500E-001, 9.8883878E-001, 8.4513627E+001, 9.7512500E-001, 4.2810519E-001, 4.3590532E+001
 1.0000000E+000, 1.9887226E-002,-8.5900763E-003, 1.0000000E+000, 4.1903012E+000, 3.7704180E+002, 1.0000000E+000, 3.9246151E+000, 3.4980254E+002, 1.0000000E+000, 2.9360198E+000, 2.5089463E+002, 1.0000000E+000, 1.8756718E+000, 1.5313036E+002, 1.0000000E+000, 1.0360639E+000, 8.6045066E+001, 1.0000000E+000, 4.5684905E-001, 4.5232045E+001
 1.0250000E+000, 1.9043207E-002,-8.6970301E-003, 1.0250000E+000, 4.1424040E+000, 3.5886675E+002, 1.0250000E+000, 3.8891815E+000, 3.3389991E+002, 1.0250000E+000, 2.9450127E+000, 2.4325932E+002, 1.0250000E+000, 1.9069921E+000, 1.5140791E+002, 1.0250000E+000, 1.0842935E+000, 8.7610760E+001, 1.0250000E+000, 4.9223196E-001, 4.6731018E+001
 1.0500000E+000, 1.2947509E-002,-6.6399788E-003, 1.0500000E+000, 4.0956835E+000, 3.4184884E+002, 1.0500000E+000, 3.8539643E+000, 3.1894665E+002, 1.0500000E+000, 2.9537426E+000, 2.3557620E+002, 1.0500000E+000, 1.9381527E+000, 1.4953780E+002, 1.0500000E+000, 1.1290289E+000, 8.8791879E+001, 1.0500000E+000, 5.2968425E-001, 4.8254759E+001
 1.0750000E+000, 1.0265242E-002,-5.8369797E-003, 1.0750000E+000, 4.0517412E+000, 3.2578105E+002, 1.0750000E+000, 3.8188849E+000, 3.0502440E+002, 1.0750000E+000, 2.9583290E+000, 2.2849924E+002, 1.0750000E+000, 1.9645260E+000, 1.4805928E+002, 1.0750000E+000, 1.1704031E+000, 8.9440752E+001, 1.0750000E+000, 5.7206209E-001, 5.0003507E+001
 1.1000000E+000, 8.0164834E-003,-5.1370749E-003, 1.1000000E+000, 4.0080318E+000, 3.1071539E+002, 1.1000000E+000, 3.7866481E+000, 2.9215142E+002, 1.1000000E+000, 2.9617016E+000, 2.2170610E+002, 1.1000000E+000, 1.9888592E+000, 1.4647591E+002, 1.1000000E+000, 1.2097228E+000, 8.9960276E+001, 1.1000000E+000, 6.0831823E-001, 5.1477860E+001
 1.1250000E+000, 6.1616444E-003,-4.5322466E-003, 1.1250000E+000, 3.9652675E+000, 2.9704114E+002, 1.1250000E+000, 3.7598195E+000, 2.8009062E+002, 1.1250000E+000, 2.9589846E+000, 2.1510970E+002, 1.1250000E+000, 2.0129595E+000, 1.4460705E+002, 1.1250000E+000, 1.2457586E+000, 9.0256808E+001, 1.1250000E+000, 6.4214278E-001, 5.2469257E+001
 1.1500000E+000, 4.6567675E-003,-4.0136713E-003, 1.1500000E+000, 3.9273278E+000, 2.8472493E+002, 1.1500000E+000, 3.7314706E+000, 2.6864959E+002, 1.1500000E+000, 2.9496126E+000, 2.0895880E+002, 1.1500000E+000, 2.0352505E+000, 1.4257763E+002, 1.1500000E+000, 1.2783387E+000, 9.0727088E+001, 1.1500000E+000, 6.7373194E-001, 5.2877526E+001
 1.1750000E+000, 3.4616362E-003,-3.5701492E-003, 1.1750000E+000, 3.8905569E+000, 2.7341024E+002, 1.1750000E+000, 3.6988887E+000, 2.5826015E+002, 1.1750000E+000, 2.9448703E+000, 2.0312186E+002, 1.1750000E+000, 2.0594448E+000, 1.4075388E+002, 1.1750000E+000, 1.3088891E+000, 9.0854150E+001, 1.1750000E+000, 7.0612086E-001, 5.3540666E+001
 1.2000000E+000, 2.5371849E-003,-3.1917334E-003, 1.2000000E+000, 3.8519779E+000, 2.6286939E+002, 1.2000000E+000, 3.6687037E+000, 2.4905459E+002, 1.2000000E+000, 2.9410177E+000, 1.9748919E+002, 1.2000000E+000, 2.0865547E+000, 1.3897855E+002, 1.2000000E+000, 1.3381024E+000, 9.0693823E+001, 1.2000000E+000, 7.3724085E-001, 5.4384262E+001
 1.2250000E+000, 1.8385586E-003,-2.8669920E-003, 1.2250000E+000, 3.8150407E+000, 2.5302183E+002, 1.2250000E+000, 3.6405250E+000, 2.4027472E+002, 1.2250000E+000, 2.9373943E+000, 1.9218498E+002, 1.2250000E+000, 2.1114608E+000, 1.3694083E+002, 1.2250000E+000, 1.3722626E+000, 9.0167960E+001, 1.2250000E+000, 7.7023197E-001, 5.4959724E+001
 1.2500000E+000, 1.3197185E-003,-2.5901336E-003, 1.2500000E+000, 3.7759154E+000, 2.4377966E+002, 1.2500000E+000, 3.6148108E+000, 2.3192413E+002, 1.2500000E+000, 2.9366867E+000, 1.8720247E+002, 1.2500000E+000, 2.1305860E+000, 1.3477547E+002, 1.2500000E+000, 1.3935803E+000, 8.9686875E+001, 1.2500000E+000, 8.0206196E-001, 5.5844746E+001
 1.2750000E+000, 9.4363783E-004,-2.3545153E-003, 1.2750000E+000, 3.7344938E+000, 2.3495854E+002, 1.2750000E+000, 3.5854976E+000, 2.2414370E+002, 1.2750000E+000, 2.9305568E+000, 1.8236907E+002, 1.2750000E+000, 2.1442799E+000, 1.3273536E+002, 1.2750000E+000, 1.4160430E+000, 8.9553705E+001, 1.2750000E+000, 8.3299973E-001, 5.6840968E+001
 1.3000000E+000, 6.7550987E-004,-2.1545677E-003, 1.3000000E+000, 3.6973629E+000, 2.2693918E+002, 1.3000000E+000, 3.5537652E+000, 2.1675906E+002, 1.3000000E+000, 2.9205814E+000, 1.7779935E+002, 1.3000000E+000, 2.1603972E+000, 1.3079488E+002, 1.3000000E+000, 1.4405235E+000, 8.9423887E+001, 1.3000000E+000, 8.6159640E-001, 5.7929361E+001
 1.3250000E+000, 4.8702225E-004,-1.9865795E-003, 1.3250000E+000, 3.6672753E+000, 2.1966639E+002, 1.3250000E+000, 3.5224926E+000, 2.0958314E+002, 1.3250000E+000, 2.9077790E+000, 1.7343147E+002, 1.3250000E+000, 2.1777719E+000, 1.2918944E+002, 1.3250000E+000, 1.4640102E+000, 8.9340804E+001, 1.3250000E+000, 8.8468524E-001, 5.8997503E+001
 1.3500000E+000, 3.5709366E-004,-1.8469877E-003, 1.3500000E+000, 3.6351092E+000, 2.1266580E+002, 1.3500000E+000, 3.4913241E+000, 2.0275295E+002, 1.3500000E+000, 2.8930103E+000, 1.6930918E+002, 1.3500000E+000, 2.1875329E+000, 1.2760920E+002, 1.3500000E+000, 1.4920330E+000, 8.9140846E+001, 1.3500000E+000, 9.1300104E-001, 5.9920901E+001
 1.3750000E+000, 2.6835562E-004,-1.7305264E-003, 1.3750000E+000, 3.5986437E+000, 2.0578258E+002, 1.3750000E+000, 3.4536732E+000, 1.9637357E+002, 1.3750000E+000, 2.8760839E+000, 1.6526259E+002, 1.3750000E+000, 2.1946762E+000, 1.2603611E+002, 1.3750000E+000, 1.5195574E+000, 8.8984870E+001, 1.3750000E+000, 9.4251830E-001, 6.0679168E+001
