m,kW,kW,m/s,C
 6.7094156E-001, 1.1603889E-002,-2.6606972E-003, 4.4654117E+000, 7.0749245E+002
 6.8360390E-001, 1.1224738E-002,-2.5868641E-003, 4.4648670E+000, 6.9557028E+002
 6.9626623E-001, 1.0813424E-002,-2.5065673E-003, 4.4601450E+000, 6.8349706E+002
 7.0892857E-001, 1.0409237E-002,-2.4259870E-003, 4.4518749E+000, 6.7113802E+002
 7.2159091E-001, 1.0003726E-002,-2.3464008E-003, 4.4439740E+000, 6.5913240E+002
 7.3425325E-001, 9.6075013E-003,-2.2679898E-003, 4.4372584E+000, 6.4768117E+002
 7.4691558E-001, 9.2116029E-003,-2.1906151E-003, 4.4286133E+000, 6.3674077E+002
 7.5957792E-001, 8.8115968E-003,-2.1111341E-003, 4.4229820E+000, 6.2579356E+002
 7.7224026E-001, 8.4005703E-003,-2.0288865E-003, 4.4162201E+000, 6.1471762E+002
 7.8490260E-001, 8.0113799E-003,-1.9480743E-003, 4.4071702E+000, 6.0357095E+002
 7.9756494E-001, 7.6377251E-003,-1.8698657E-003, 4.3985853E+000, 5.9243669E+002
 8.1022727E-001, 7.2829000E-003,-1.7947778E-003, 4.3907399E+000, 5.8167002E+002
 8.2288961E-001, 6.9349244E-003,-1.7223992E-003, 4.3815367E+000, 5.7099850E+002
 8.3555195E-001, 6.5873306E-003,-1.6491534E-003, 4.3724271E+000, 5.6022799E+002
 8.4821429E-001, 6.2319137E-003,-1.5742132E-003, 4.3618286E+000, 5.4929245E+002
 8.6087662E-001, 5.8925740E-003,-1.5007226E-003, 4.3504347E+000, 5.3826404E+002
 8.7353896E-001, 5.5621014E-003,-1.4294457E-003, 4.3397058E+000, 5.2726401E+002
 8.8620130E-001, 5.2417466E-003,-1.3603959E-003, 4.3282368E+000, 5.1641816E+002
 8.9886364E-001, 4.9271333E-003,-1.2938231E-003, 4.3170032E+000, 5.0605804E+002
 9.1152597E-001, 4.6156769E-003,-1.2281125E-003, 4.3070193E+000, 4.9634530E+002
 9.2418831E-001, 4.3009004E-003,-1.1627495E-003, 4.2955596E+000, 4.8677242E+002
 9.3685065E-001, 4.0015258E-003,-1.0997737E-003, 4.2808879E+000, 4.7699510E+002
 9.4951299E-001, 3.7165834E-003,-1.0397299E-003, 4.2641079E+000, 4.6739427E+002
 9.6217532E-001, 3.4492936E-003,-9.8274791E-004, 4.2480681E+000, 4.5774919E+002
 9.7483766E-001, 3.1978507E-003,-9.2897559E-004, 4.2340487E+000, 4.4821703E+002
 9.8750000E-001, 2.8427147E-003,-8.5250461E-004, 4.2181896E+000, 4.3386931E+002
