s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa
 9.0021774E+001, 1.7458058E+002, 0.0000000E+000,-5.5432024E+001, 5.7705442E+000,-2.7103420E+001,-5.1882833E-002,-2.1372211E-003, 0.0000000E+000, 9.9321953E+001, 9.7761661E+001,-3.8310889E-004, 3.8350548E-003,-6.4738428E-110,-7.3754010E-001,-7.8966050E-001,-7.1654956E-001,-7.3220822E-001,-7.3833685E-001,-7.0664247E-001,-7.0511252E-001,-6.9825465E-001,-7.4779649E-001,-6.7716151E-001,-6.8643904E-001,-7.4813564E-001,-6.7751090E-001,-6.8536394E-001,-7.3987252E-001,-6.7669008E-001,-6.8481788E-001,-7.2812075E-001
 1.0002351E+002, 1.7515385E+002, 0.0000000E+000,-5.8483036E+001, 5.0122233E+000,-3.1058481E+001,-5.2051827E-002,-1.5769338E-003, 0.0000000E+000, 9.2026101E+001, 9.0570932E+001,-4.1485513E-004, 3.8482487E-003,-3.3613394E-082,-7.5397685E-001,-8.0898903E-001,-7.2416580E-001,-7.6151170E-001,-7.6374452E-001,-7.1546382E-001,-7.0702025E-001,-7.0053645E-001,-7.5663408E-001,-6.7741616E-001,-6.8879395E-001,-7.6051040E-001,-6.7782751E-001,-6.8781468E-001,-7.5075381E-001,-6.7690906E-001,-6.8726779E-001,-7.4684582E-001
 1.1002361E+002, 1.7572051E+002, 0.0000000E+000,-6.1518214E+001, 5.1210579E+000,-3.4171973E+001,-5.2201482E-002,-1.8079038E-003, 0.0000000E+000, 8.6361510E+001, 8.5097372E+001,-4.3467202E-004, 3.8618553E-003,-1.1830268E-058,-7.7138165E-001,-8.4407777E-001,-7.3610487E-001,-7.9072700E-001,-7.8880984E-001,-7.3066320E-001,-7.1584326E-001,-7.0068229E-001,-7.7242822E-001,-6.7765245E-001,-6.9092887E-001,-7.6781798E-001,-6.7814620E-001,-6.9025465E-001,-7.6372239E-001,-6.7712033E-001,-6.8961774E-001,-7.6031560E-001
 1.2002088E+002, 2.4698699E+002, 0.0000000E+000,-8.0871773E+001, 7.1565143E+000,-3.8305971E+001,-7.3284426E-002,-2.4865249E-003, 0.0000000E+000, 1.3639469E+002, 1.3488999E+002,-4.8779063E-004, 5.4706899E-003,-2.2186376E-040,-7.8273080E-001,-8.7914777E-001,-7.3866237E-001,-7.9444941E-001,-8.0883763E-001,-7.3304400E-001,-7.1470002E-001,-7.0469654E-001,-7.9701954E-001,-6.7796130E-001,-6.9404783E-001,-8.0618490E-001,-6.7847980E-001,-6.9299660E-001,-7.9889324E-001,-6.7741829E-001,-6.9228304E-001,-7.8370393E-001
 1.3000673E+002, 3.9152905E+002, 0.0000000E+000,-1.2002228E+002, 1.5017934E+001,-4.7259277E+001,-1.1433492E-001,-2.5453714E-003, 0.0000000E+000, 2.4032429E+002, 2.3914855E+002,-5.4801585E-004, 8.6503234E-003,-5.3553625E-029,-7.9619845E-001,-9.6032260E-001,-7.4711539E-001,-8.1537769E-001,-8.2499884E-001,-7.5778931E-001,-7.1670427E-001,-7.0906645E-001,-8.2507119E-001,-6.7828145E-001,-6.9631452E-001,-8.3042244E-001,-6.7884970E-001,-6.9575465E-001,-8.1869297E-001,-6.7773711E-001,-6.9512938E-001,-8.1190054E-001
 1.4001550E+002, 5.3632813E+002, 0.0000000E+000,-1.7065536E+002, 2.1998165E+001,-6.1788493E+001,-1.5448226E-001,-3.2198101E-003, 0.0000000E+000, 3.2636207E+002, 3.2572474E+002,-3.5795966E-004, 1.1832017E-002, 2.1724658E-009,-8.1713816E-001,-9.8811078E-001,-7.5671939E-001,-8.2983391E-001,-8.4618802E-001,-7.8706114E-001,-7.2000028E-001,-7.1319575E-001,-8.5205068E-001,-6.7852260E-001,-6.9839050E-001,-8.7681946E-001,-6.7910989E-001,-6.9837140E-001,-8.5440109E-001,-6.7798413E-001,-6.9761690E-001,-8.4387595E-001
 1.5001436E+002, 6.8130682E+002, 0.0000000E+000,-2.4222553E+002, 2.6038950E+001,-8.1524252E+001,-1.9296781E-001,-3.7856359E-003, 0.0000000E+000, 3.8386249E+002, 3.8339924E+002,-4.2544144E-004, 1.5016241E-002, 5.2384196E-010,-8.3229866E-001,-1.0322468E+000,-7.6603230E-001,-8.5438466E-001,-8.6982196E-001,-7.9826044E-001,-7.2395195E-001,-7.1611566E-001,-8.9080549E-001,-6.7884108E-001,-7.0057093E-001,-9.2024521E-001,-6.7941119E-001,-7.0088147E-001,-8.9995116E-001,-6.7822827E-001,-7.0005227E-001,-8.8942930E-001
 1.6001041E+002, 8.2556363E+002, 0.0000000E+000,-3.4428495E+002, 2.7488070E+001,-1.0194572E+002,-2.3018045E-001,-4.9503432E-003, 0.0000000E+000, 4.0678319E+002, 4.0658590E+002,-2.9703100E-004, 1.8197710E-002, 2.6584019E-008,-8.3554201E-001,-1.0616469E+000,-7.8173317E-001,-8.7184051E-001,-8.9082310E-001,-8.1230536E-001,-7.2785780E-001,-7.2092080E-001,-9.6179531E-001,-6.7911834E-001,-7.0280838E-001,-9.9097007E-001,-6.7968659E-001,-7.0339834E-001,-9.5639434E-001,-6.7848302E-001,-7.0254113E-001,-9.4337099E-001
 1.7000172E+002, 9.6952640E+002, 0.0000000E+000,-4.7669229E+002, 2.6104418E+001,-1.2028044E+002,-2.6575233E-001,-5.0501425E-003, 0.0000000E+000, 3.9815019E+002, 3.9838728E+002,-3.4143278E-004, 2.1378096E-002, 1.5949540E-008,-8.6394795E-001,-1.0915408E+000,-7.8273031E-001,-8.7126226E-001,-9.0288733E-001,-7.9909266E-001,-7.2872664E-001,-7.2460319E-001,-1.0401009E+000,-6.7932245E-001,-7.0515232E-001,-1.0559985E+000,-6.7994429E-001,-7.0551524E-001,-1.0219588E+000,-6.7876331E-001,-7.0470326E-001,-9.9995128E-001
 1.8000784E+002, 1.1128809E+003, 0.0000000E+000,-6.2943012E+002, 2.4987466E+001,-1.3101121E+002,-2.9863363E-001,-6.3603285E-003, 0.0000000E+000, 3.7670657E+002, 3.7712201E+002,-4.2694037E-004, 2.4561779E-002,-1.7802093E-009,-8.6873325E-001,-1.1416537E+000,-7.9626559E-001,-8.9359365E-001,-9.1669330E-001,-8.4599669E-001,-7.3256277E-001,-7.2728826E-001,-1.1222761E+000,-6.7956291E-001,-7.0658435E-001,-1.1691451E+000,-6.8014587E-001,-7.0772447E-001,-1.0997619E+000,-6.7897210E-001,-7.0692341E-001,-1.0550397E+000
 1.9000226E+002, 1.2573311E+003, 0.0000000E+000,-7.8305801E+002, 2.2735109E+001,-1.3820662E+002,-3.3127158E-001,-4.7028847E-003, 0.0000000E+000, 3.5783581E+002, 3.5846561E+002,-3.5900157E-004, 2.7744732E-002,-1.4614087E-008,-8.8907942E-001,-1.1601406E+000,-7.9267031E-001,-9.0703220E-001,-9.3108842E-001,-8.4349850E-001,-7.3248428E-001,-7.3092309E-001,-1.1552234E+000,-6.7978716E-001,-7.0818858E-001,-1.2221489E+000,-6.8037612E-001,-7.0928118E-001,-1.1658527E+000,-6.7919103E-001,-7.0861198E-001,-1.1482525E+000
 2.0000841E+002, 1.3977814E+003, 0.0000000E+000,-9.2797961E+002, 2.2179179E+001,-1.4957186E+002,-3.6197277E-001,-5.4038875E-003, 0.0000000E+000, 3.4118528E+002, 3.4204173E+002,-2.9513784E-004, 3.0927311E-002,-8.5452480E-008,-9.0865662E-001,-1.2158995E+000,-7.9818524E-001,-9.1941529E-001,-9.5169730E-001,-8.4248882E-001,-7.3457550E-001,-7.3242120E-001,-1.2272462E+000,-6.7991447E-001,-7.0925343E-001,-1.2876278E+000,-6.8048774E-001,-7.1092446E-001,-1.2477222E+000,-6.7934355E-001,-7.1021533E-001,-1.2028515E+000
 2.1000356E+002, 1.5453456E+003, 0.0000000E+000,-1.0802485E+003, 2.0781826E+001,-1.5853600E+002,-3.8913707E-001,-5.0441822E-003, 0.0000000E+000, 3.2613900E+002, 3.2694877E+002,-2.5421961E-004, 3.4109665E-002,-2.0110636E-007,-9.0770094E-001,-1.2483410E+000,-8.1079600E-001,-9.2793204E-001,-9.7490320E-001,-8.6859999E-001,-7.3879874E-001,-7.3431467E-001,-1.2827921E+000,-6.8008336E-001,-7.1011101E-001,-1.3836546E+000,-6.8063796E-001,-7.1254304E-001,-1.3044899E+000,-6.7947867E-001,-7.1165120E-001,-1.2575234E+000
 2.2000961E+002, 1.6841772E+003, 0.0000000E+000,-1.2090979E+003, 2.1637817E+001,-1.7398828E+002,-4.1824679E-001,-3.7732848E-003, 0.0000000E+000, 3.2104611E+002, 3.2230682E+002,-2.7394411E-004, 3.7293960E-002, 1.7296950E-008,-9.2540363E-001,-1.2331361E+000,-8.1985345E-001,-9.5957657E-001,-9.9109968E-001,-8.6255989E-001,-7.4469123E-001,-7.3613546E-001,-1.3236389E+000,-6.8022828E-001,-7.1083861E-001,-1.4625131E+000,-6.8073017E-001,-7.1339939E-001,-1.3607389E+000,-6.7952754E-001,-7.1249845E-001,-1.2701590E+000
 2.3000313E+002, 1.8302712E+003, 0.0000000E+000,-1.3493220E+003, 2.3717052E+001,-1.8750199E+002,-4.4138137E-001,-1.0858463E-002, 0.0000000E+000, 3.1614928E+002, 3.1671204E+002,-8.7881143E-005, 4.0477027E-002, 2.4288357E-006,-9.3204287E-001,-1.2304773E+000,-8.2245210E-001,-9.7650863E-001,-1.0151614E+000,-9.2956777E-001,-7.4625301E-001,-7.3583095E-001,-1.3655307E+000,-6.8020288E-001,-7.1148225E-001,-1.7253906E+000,-6.8069641E-001,-7.1448561E-001,-1.5638774E+000,-6.7957055E-001,-7.1364258E-001,-1.3599957E+000
 2.4000908E+002, 1.9701327E+003, 0.0000000E+000,-1.4904430E+003, 1.8624320E+001,-2.0364310E+002,-4.6541242E-001, 6.3781938E-003, 0.0000000E+000, 2.9258724E+002, 2.9421185E+002, 1.9463541E-004, 4.3402628E-002, 1.0041019E-005,-9.3806170E-001,-1.3112989E+000,-8.1603334E-001,-9.5313257E-001,-1.0010979E+000,-8.5610193E-001,-7.4671798E-001,-7.3752068E-001,-1.3538323E+000,-6.8023993E-001,-7.1216580E-001,-1.4466729E+000,-6.8083691E-001,-7.1501544E-001,-1.4422555E+000,-6.7977583E-001,-7.1423088E-001,-1.3947930E+000
 2.5001207E+002, 2.0802860E+003, 0.0000000E+000,-1.5918366E+003, 2.1000095E+001,-2.2053970E+002,-4.8048054E-001,-8.7950935E-003, 0.0000000E+000, 2.8690339E+002, 2.8842052E+002, 2.1141717E-004, 4.6073432E-002, 9.9989630E-006,-9.2765856E-001,-1.2457217E+000,-8.1054805E-001,-9.2912737E-001,-9.9738959E-001,-7.8580375E-001,-7.4693081E-001,-7.3773117E-001,-1.4605339E+000,-6.8024019E-001,-7.1240192E-001,-1.6456483E+000,-6.8084790E-001,-7.1551628E-001,-1.6143757E+000,-6.7991174E-001,-7.1499713E-001,-1.4699179E+000
 2.6000662E+002, 2.1907084E+003, 0.0000000E+000,-1.6971277E+003, 1.2600495E+001,-2.3859487E+002,-4.9150506E-001,-1.6411012E-003, 0.0000000E+000, 2.6597676E+002, 2.6709315E+002, 1.7276361E-004, 4.8743884E-002, 1.0441792E-005,-9.4763968E-001,-1.2358989E+000,-8.0989604E-001,-9.7056627E-001,-1.0324948E+000,-8.7888709E-001,-7.4893114E-001,-7.4115011E-001,-1.4016626E+000,-6.8037966E-001,-7.1227575E-001,-1.7118970E+000,-6.8083850E-001,-7.1558552E-001,-1.6623525E+000,-6.7979614E-001,-7.1510449E-001,-1.4652381E+000
 2.7000586E+002, 2.3016977E+003, 0.0000000E+000,-1.8000068E+003, 1.6617964E+001,-2.6236927E+002,-5.1045869E-001, 5.3469050E-003, 0.0000000E+000, 2.5441201E+002, 2.5543456E+002, 2.4458066E-005, 5.1413247E-002, 1.9632678E-005,-9.4918127E-001,-1.3026331E+000,-8.1643536E-001,-9.6570771E-001,-1.0093986E+000,-9.3187740E-001,-7.4395384E-001,-7.4184255E-001,-1.4568284E+000,-6.8038930E-001,-7.1229620E-001,-1.4122637E+000,-6.8099966E-001,-7.1608383E-001,-1.4963107E+000,-6.8001379E-001,-7.1570045E-001,-1.5280804E+000
 2.8000595E+002, 2.4158939E+003, 0.0000000E+000,-1.9060277E+003, 8.6606790E+000,-2.8517470E+002,-5.1539058E-001,-8.8367762E-003, 0.0000000E+000, 2.3086036E+002, 2.3282792E+002, 2.2904883E-004, 5.3956579E-002, 3.2546476E-005,-9.3436235E-001,-1.3723303E+000,-8.1567408E-001,-9.7975288E-001,-1.0008771E+000,-9.3360329E-001,-7.3452131E-001,-7.4364871E-001,-1.4551811E+000,-6.8050188E-001,-7.1224573E-001,-1.7044650E+000,-6.8103736E-001,-7.1612736E-001,-1.6836217E+000,-6.8009088E-001,-7.1596298E-001,-1.5863348E+000
 2.9000806E+002, 2.4813847E+003, 0.0000000E+000,-1.9914922E+003, 8.9356146E+000,-3.0677361E+002,-5.1726988E-001,-7.5893828E-003, 0.0000000E+000, 1.9126645E+002, 1.9152955E+002, 2.4737227E-004, 5.6374035E-002, 2.1703458E-005,-9.5033635E-001,-1.2995715E+000,-8.2500426E-001,-9.9574227E-001,-1.0063204E+000,-9.4938427E-001,-7.3962910E-001,-7.4365666E-001,-1.4059532E+000,-6.8048316E-001,-7.1191948E-001,-1.9882523E+000,-6.8093443E-001,-7.1596811E-001,-1.8420496E+000,-6.8002730E-001,-7.1609643E-001,-1.6021933E+000
 3.0000031E+002, 2.6400522E+003, 0.0000000E+000,-2.1169442E+003, 1.3251712E+001,-3.1973736E+002,-5.2144263E-001, 9.2165210E-003, 0.0000000E+000, 2.1560273E+002, 2.1611015E+002, 3.5800258E-005, 5.8791438E-002, 1.9033519E-005,-9.5306235E-001,-1.2999238E+000,-8.2767694E-001,-1.0210440E+000,-1.0407174E+000,-9.4652764E-001,-7.4231254E-001,-7.4443093E-001,-1.4029915E+000,-6.8050561E-001,-7.1184306E-001,-1.6131856E+000,-6.8095368E-001,-7.1606757E-001,-1.6344241E+000,-6.8001577E-001,-7.1639793E-001,-1.6141134E+000
 3.1000830E+002, 2.6267676E+003, 0.0000000E+000,-2.1339531E+003, 2.2449806E+000,-3.2354993E+002,-5.1266535E-001, 1.2745818E-003, 0.0000000E+000, 1.6949791E+002, 1.7099818E+002,-6.6537186E-005, 6.1208754E-002, 1.4089985E-005,-9.4943955E-001,-1.3010467E+000,-8.2173902E-001,-9.9767442E-001,-1.0251905E+000,-9.0311907E-001,-7.4142152E-001,-7.4767142E-001,-1.4463646E+000,-6.8054394E-001,-7.1221011E-001,-1.4702164E+000,-6.8104348E-001,-7.1620239E-001,-1.6311325E+000,-6.8011348E-001,-7.1633782E-001,-1.6641223E+000
 3.2000476E+002, 2.5568457E+003, 0.0000000E+000,-2.1304766E+003, 2.3994971E+000,-3.2559703E+002,-4.6886679E-001,-6.2631169E-003, 0.0000000E+000, 1.0184973E+002, 1.0269639E+002,-1.5037958E-004, 6.3626550E-002,-6.3909868E-006,-9.5803603E-001,-1.2915810E+000,-8.1586321E-001,-1.0069447E+000,-1.0266084E+000,-9.6197579E-001,-7.4096097E-001,-7.4778550E-001,-1.4849836E+000,-6.8054793E-001,-7.1158731E-001,-1.6957550E+000,-6.8095013E-001,-7.1599010E-001,-1.7145110E+000,-6.8004676E-001,-7.1636151E-001,-1.6655403E+000
 3.3000223E+002, 2.7665968E+003, 0.0000000E+000,-2.2289942E+003, 8.9216642E+000,-3.4115394E+002,-4.6136376E-001,-1.9816102E-003, 0.0000000E+000, 2.0388190E+002, 2.0490692E+002,-1.6350803E-004, 6.5602844E-002, 2.1937422E-006,-9.7158408E-001,-1.3714918E+000,-8.0762225E-001,-1.0049041E+000,-1.0384073E+000,-9.7961475E-001,-7.4387544E-001,-7.4735156E-001,-1.3961535E+000,-6.8060954E-001,-7.1173639E-001,-1.7067563E+000,-6.8105228E-001,-7.1619533E-001,-1.8389898E+000,-6.8011065E-001,-7.1654416E-001,-1.7150834E+000
 3.4000159E+002, 2.6939561E+003, 0.0000000E+000,-2.1968381E+003,-4.4443650E+000,-3.5639042E+002,-4.2004486E-001, 8.6592544E-003, 0.0000000E+000, 1.3298039E+002, 1.3587188E+002,-1.6913399E-004, 6.7141314E-002, 1.3390395E-005,-9.5461128E-001,-1.3365164E+000,-7.9759606E-001,-9.8462441E-001,-1.0012811E+000,-1.0058036E+000,-7.3899378E-001,-7.4943024E-001,-1.5636676E+000,-6.8071983E-001,-7.1228995E-001,-1.3784117E+000,-6.8128514E-001,-7.1638629E-001,-1.4475194E+000,-6.8035511E-001,-7.1672286E-001,-1.7708722E+000
 3.5000668E+002, 3.0799428E+003, 0.0000000E+000,-2.4122725E+003, 1.9008472E+001,-3.8494777E+002,-4.3390546E-001,-8.6801887E-003, 0.0000000E+000, 3.0095834E+002, 3.0128845E+002,-6.2007510E-005, 6.8679920E-002, 3.5296512E-005,-9.6648168E-001,-1.3566265E+000,-8.0740557E-001,-1.0062240E+000,-1.0180351E+000,-1.0246989E+000,-7.4276653E-001,-7.4790003E-001,-1.3566759E+000,-6.8070689E-001,-7.1214344E-001,-1.6594348E+000,-6.8113549E-001,-7.1674817E-001,-1.8526293E+000,-6.8024902E-001,-7.1707453E-001,-1.7830631E+000
 3.6000241E+002, 2.7713167E+003, 0.0000000E+000,-2.3521369E+003,-1.3775063E+001,-3.9869898E+002,-4.5150388E-001,-2.4209256E-005, 0.0000000E+000, 3.0038956E+000, 6.2542326E+000,-1.2839485E-004, 7.0218255E-002,-3.4521250E-006,-9.6167808E-001,-1.3441500E+000,-7.9728736E-001,-9.9046011E-001,-1.0033749E+000,-1.0156235E+000,-7.3914794E-001,-7.5029428E-001,-1.5840649E+000,-6.8078814E-001,-7.1241143E-001,-1.4839776E+000,-6.8120155E-001,-7.1674036E-001,-1.7813335E+000,-6.8030582E-001,-7.1683025E-001,-1.8346589E+000
 3.7000327E+002, 2.9789340E+003, 0.0000000E+000,-2.3595900E+003, 1.3255630E+000,-4.0191967E+002,-4.5253448E-001,-1.2578302E-002, 0.0000000E+000, 2.1471595E+002, 2.1828470E+002,-2.0581813E-004, 7.1756289E-002,-1.2159554E-006,-9.4520424E-001,-1.3119045E+000,-8.0229155E-001,-9.6381873E-001,-9.8997651E-001,-9.7834844E-001,-7.3649697E-001,-7.5222985E-001,-1.7129036E+000,-6.8090605E-001,-7.1335958E-001,-1.9310560E+000,-6.8128789E-001,-7.1731070E-001,-1.9602778E+000,-6.8043524E-001,-7.1733631E-001,-1.8519577E+000
 3.8000085E+002, 3.1502296E+003, 0.0000000E+000,-2.5322518E+003, 5.2107797E+000,-4.4608990E+002,-4.6360513E-001, 9.5540933E-003, 0.0000000E+000, 1.7480017E+002, 1.7664466E+002, 1.1451123E-004, 7.3294546E-002, 1.8032646E-005,-9.4109785E-001,-1.2792336E+000,-7.9604020E-001,-9.6771813E-001,-9.8939728E-001,-9.9565580E-001,-7.3494507E-001,-7.5240113E-001,-1.3369333E+000,-6.8088569E-001,-7.1274134E-001,-1.7794402E+000,-6.8125982E-001,-7.1698544E-001,-1.8279804E+000,-6.8041130E-001,-7.1707699E-001,-1.9350413E+000
 3.9000363E+002, 3.6424019E+003, 0.0000000E+000,-2.8058239E+003, 2.0340916E+001,-5.0369892E+002,-4.9363441E-001,-1.2242120E-002, 0.0000000E+000, 3.5086718E+002, 3.5271408E+002,-6.2850856E-005, 7.3622785E-002, 2.0616725E-005,-9.4885824E-001,-1.2397492E+000,-8.0390998E-001,-9.9393751E-001,-1.0055347E+000,-1.0149431E+000,-7.3752971E-001,-7.5115176E-001,-1.6282338E+000,-6.8093741E-001,-7.1300898E-001,-2.0058109E+000,-6.8127448E-001,-7.1730264E-001,-2.0486631E+000,-6.8039273E-001,-7.1727399E-001,-1.9026108E+000
 4.0000665E+002, 3.2908632E+003, 0.0000000E+000,-2.7465801E+003,-1.2123036E+001,-5.0708742E+002,-4.7690256E-001, 1.4849865E-002, 0.0000000E+000, 2.1666422E+001, 2.4610584E+001, 2.2052628E-004, 7.2743673E-002, 5.0075210E-005,-9.4405675E-001,-1.2744038E+000,-7.8720078E-001,-9.5525197E-001,-9.7204323E-001,-1.0029457E+000,-7.2855213E-001,-7.5281379E-001,-1.3007770E+000,-6.8088200E-001,-7.1229091E-001,-1.6840407E+000,-6.8123185E-001,-7.1635927E-001,-1.8250096E+000,-6.8040880E-001,-7.1639773E-001,-1.9177150E+000
 4.1000601E+002, 3.3884660E+003, 0.0000000E+000,-2.7961375E+003, 2.0975933E+000,-5.2167994E+002,-4.5840798E-001,-1.2802605E-002, 0.0000000E+000, 7.1503492E+001, 7.2274959E+001,-1.3142503E-004, 7.1864397E-002, 6.5615118E-006,-9.5169102E-001,-1.2724573E+000,-7.9319206E-001,-9.8870200E-001,-9.9095488E-001,-9.7619809E-001,-7.3518595E-001,-7.5031910E-001,-1.5939901E+000,-6.8083764E-001,-7.1208045E-001,-2.0617028E+000,-6.8120105E-001,-7.1627655E-001,-2.0008310E+000,-6.8033772E-001,-7.1643939E-001,-1.8258180E+000
