s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa
 1.0000935E+002, 8.7673610E+002, 0.0000000E+000,-4.0917165E+002, 1.1438606E+001,-9.9625603E+001,-1.0948250E-001,-7.5406144E-003, 0.0000000E+000, 3.7911606E+002, 3.7926043E+002,-4.0806400E-004, 1.9255968E-002,-7.8267009E-015,-6.7469506E-001,-7.4558341E-001,-6.6979682E-001,-6.8719984E-001,-6.8552634E-001,-6.5861248E-001,-6.7170070E-001,-6.7971848E-001,-8.9150932E-001,-6.4579498E-001,-6.5319284E-001,-8.6578018E-001,-6.4613909E-001,-6.5275628E-001,-8.5252100E-001,-6.4522790E-001,-6.5222474E-001,-8.1495448E-001
 1.1000442E+002, 8.2062183E+002, 0.0000000E+000,-4.7117232E+002, 7.2435777E+000,-1.0491949E+002,-1.0258145E-001,-2.3515115E-003, 0.0000000E+000, 2.5137902E+002, 2.5166867E+002,-2.0532381E-004, 1.8028693E-002, 1.9957266E-009,-6.8318674E-001,-7.6979242E-001,-6.7637565E-001,-7.0641855E-001,-7.0126920E-001,-6.5821409E-001,-6.7257358E-001,-6.8028097E-001,-9.1955746E-001,-6.4600027E-001,-6.5473471E-001,-8.8413104E-001,-6.4640607E-001,-6.5452369E-001,-8.7158829E-001,-6.4543496E-001,-6.5407864E-001,-8.5771529E-001
 1.2000015E+002, 7.6559750E+002, 0.0000000E+000,-4.9179793E+002, 5.5751588E+000,-1.0383572E+002,-9.6015295E-002,-2.9405069E-003, 0.0000000E+000, 1.7526413E+002, 1.7544005E+002,-3.4541040E-004, 1.6802083E-002, 3.1701425E-010,-7.1037950E-001,-8.1512834E-001,-6.8665880E-001,-7.3536546E-001,-7.2364638E-001,-6.9735930E-001,-6.7801537E-001,-6.8094624E-001,-9.4876731E-001,-6.4619438E-001,-6.5648330E-001,-8.9600607E-001,-6.4664457E-001,-6.5661553E-001,-8.9154039E-001,-6.4560412E-001,-6.5606790E-001,-9.0726811E-001
 1.3001242E+002, 7.0944962E+002, 0.0000000E+000,-4.8597771E+002, 4.8345323E+000,-1.0498250E+002,-8.9539178E-002,-3.0959771E-003, 0.0000000E+000, 1.2318971E+002, 1.2323132E+002,-3.9135904E-004, 1.5574696E-002, 3.7298328E-011,-7.1619875E-001,-8.2963313E-001,-6.9623442E-001,-7.3896081E-001,-7.4057198E-001,-7.2293094E-001,-6.8054117E-001,-6.8090460E-001,-9.7140743E-001,-6.4632237E-001,-6.5769445E-001,-9.4990925E-001,-6.4682891E-001,-6.5826354E-001,-9.3398711E-001,-6.4578006E-001,-6.5779804E-001,-9.4062867E-001
 1.4001024E+002, 6.5346905E+002, 0.0000000E+000,-4.6861892E+002, 2.8828915E+000,-1.0529068E+002,-8.2711376E-002,-2.6626544E-003, 0.0000000E+000, 8.2343585E+001, 8.2356967E+001,-3.3621301E-004, 1.4346769E-002, 9.0664890E-013,-7.2918051E-001,-8.8534682E-001,-7.0519215E-001,-7.5849399E-001,-7.6302108E-001,-7.5517878E-001,-6.8292956E-001,-6.7993386E-001,-9.8779737E-001,-6.4642451E-001,-6.5833174E-001,-9.9014065E-001,-6.4696668E-001,-6.5980948E-001,-9.6081631E-001,-6.4587727E-001,-6.5923814E-001,-9.6635025E-001
 1.5001585E+002, 6.3709213E+002, 0.0000000E+000,-4.5578640E+002, 2.2884031E+000,-1.0751218E+002,-8.0932570E-002,-2.4015796E-003, 0.0000000E+000, 7.5951488E+001, 7.5998630E+001,-2.5459893E-004, 1.4006070E-002,-4.2730248E-010,-7.4171811E-001,-9.0296654E-001,-7.0999614E-001,-7.5927610E-001,-7.6718950E-001,-7.6416795E-001,-6.8424977E-001,-6.7942804E-001,-9.8886364E-001,-6.4652215E-001,-6.5912613E-001,-1.0369209E+000,-6.4712427E-001,-6.6098228E-001,-1.0004765E+000,-6.4604325E-001,-6.6066543E-001,-9.9976817E-001
 1.6001263E+002, 6.6135687E+002, 0.0000000E+000,-4.6103042E+002, 2.3268371E+000,-1.1185489E+002,-8.3887541E-002,-2.1185905E-003, 0.0000000E+000, 9.0553106E+001, 9.0712386E+001,-2.0993282E-004, 1.4544857E-002,-1.8180589E-010,-7.4702974E-001,-9.1492531E-001,-7.1567219E-001,-7.7367151E-001,-7.7694453E-001,-7.6659158E-001,-6.8415893E-001,-6.8091330E-001,-1.0071763E+000,-6.4659896E-001,-6.5958162E-001,-1.0831004E+000,-6.4721633E-001,-6.6195658E-001,-1.0292420E+000,-6.4613257E-001,-6.6154715E-001,-1.0114229E+000
 1.7000838E+002, 8.1120521E+002, 0.0000000E+000,-5.1484368E+002, 2.9054468E+000,-1.1987393E+002,-1.0162237E-001,-5.6483981E-003, 0.0000000E+000, 1.7804948E+002, 1.7928578E+002,-3.4328099E-004, 1.7920377E-002,-7.1952805E-009,-7.5764964E-001,-9.3509326E-001,-7.1282344E-001,-7.8616143E-001,-7.9430849E-001,-7.7508422E-001,-6.8541794E-001,-6.8280874E-001,-1.0275385E+000,-6.4681952E-001,-6.6089441E-001,-1.2123263E+000,-6.4736709E-001,-6.6360670E-001,-1.1414474E+000,-6.4627671E-001,-6.6306186E-001,-1.0596946E+000
 1.8001016E+002, 1.0881382E+003, 0.0000000E+000,-6.6334339E+002, 6.9055499E+000,-1.3606748E+002,-1.3273945E-001, 5.1286666E-004, 0.0000000E+000, 2.9399896E+002, 2.9550061E+002,-2.8803373E-004, 2.4114063E-002,-9.0877705E-008,-7.7153851E-001,-9.5935022E-001,-7.1849374E-001,-8.0167532E-001,-8.0460925E-001,-7.9856681E-001,-6.8761615E-001,-6.8600581E-001,-1.0416022E+000,-6.4699311E-001,-6.6170243E-001,-1.1358576E+000,-6.4755397E-001,-6.6500552E-001,-1.0922562E+000,-6.4645486E-001,-6.6457099E-001,-1.1038258E+000
 1.9001183E+002, 1.3656495E+003, 0.0000000E+000,-8.7340056E+002, 8.1291069E+000,-1.5441389E+002,-1.6093613E-001,-4.4323384E-003, 0.0000000E+000, 3.4399748E+002, 3.4579874E+002,-3.0212734E-004, 3.0308471E-002,-2.8665072E-007,-7.7419994E-001,-9.7242217E-001,-7.1653591E-001,-8.1279840E-001,-8.1500434E-001,-8.0726460E-001,-6.8637610E-001,-6.8915190E-001,-1.0774999E+000,-6.4709300E-001,-6.6269776E-001,-1.2073532E+000,-6.4765508E-001,-6.6596921E-001,-1.1820885E+000,-6.4659322E-001,-6.6551571E-001,-1.1555096E+000
 2.0000874E+002, 1.6419838E+003, 0.0000000E+000,-1.1182051E+003, 9.2417799E+000,-1.7102829E+002,-1.8632715E-001,-7.6636724E-003, 0.0000000E+000, 3.5977572E+002, 3.6179825E+002,-1.5704530E-004, 3.6500970E-002, 1.0540291E-006,-7.8528208E-001,-9.9170963E-001,-7.2017991E-001,-8.0932866E-001,-8.1876085E-001,-8.0941679E-001,-6.8887914E-001,-6.9121556E-001,-1.2064440E+000,-6.4718706E-001,-6.6342693E-001,-1.3172725E+000,-6.4774668E-001,-6.6702409E-001,-1.3083532E+000,-6.4672171E-001,-6.6662440E-001,-1.2263236E+000
 2.1000558E+002, 1.9157228E+003, 0.0000000E+000,-1.3692558E+003, 1.0889704E+001,-1.9299400E+002,-2.0967398E-001,-1.6039356E-003, 0.0000000E+000, 3.6264677E+002, 3.6415139E+002, 1.5098470E-004, 4.2692983E-002, 6.9194785E-006,-7.9228869E-001,-9.9396772E-001,-7.2451720E-001,-8.0125680E-001,-8.2390207E-001,-8.2146948E-001,-6.8838261E-001,-6.9189598E-001,-1.2843497E+000,-6.4722515E-001,-6.6410120E-001,-1.2856713E+000,-6.4783386E-001,-6.6779652E-001,-1.3111509E+000,-6.4685594E-001,-6.6758828E-001,-1.2581350E+000
 2.2000481E+002, 2.1885195E+003, 0.0000000E+000,-1.6113380E+003, 7.4622815E+000,-2.1641887E+002,-2.2931411E-001,-3.5614974E-003, 0.0000000E+000, 3.6573485E+002, 3.6799201E+002, 1.9449655E-004, 4.8885675E-002, 9.1959886E-006,-8.0953361E-001,-1.0319046E+000,-7.1208812E-001,-8.3306811E-001,-8.2968660E-001,-8.1329807E-001,-6.9375406E-001,-6.9479387E-001,-1.3483100E+000,-6.4739696E-001,-6.6465966E-001,-1.3100953E+000,-6.4792970E-001,-6.6854648E-001,-1.3492265E+000,-6.4692269E-001,-6.6829549E-001,-1.3161344E+000
 2.3000243E+002, 2.3821876E+003, 0.0000000E+000,-1.8264098E+003, 4.2328573E+000,-2.3522233E+002,-2.3427759E-001,-1.4091086E-004, 0.0000000E+000, 3.2273890E+002, 3.2455384E+002, 2.8365668E-004, 5.3076922E-002, 1.2540292E-005,-7.9922328E-001,-1.0926676E+000,-7.2153115E-001,-8.2895869E-001,-8.2475961E-001,-8.5727097E-001,-6.8808608E-001,-6.9801662E-001,-1.3183289E+000,-6.4747618E-001,-6.6459641E-001,-1.3083156E+000,-6.4800221E-001,-6.6912368E-001,-1.3231884E+000,-6.4703896E-001,-6.6893970E-001,-1.3683381E+000
 2.4000697E+002, 2.4965953E+003, 0.0000000E+000,-1.9548007E+003, 6.5536046E+000,-2.6695204E+002,-2.3941942E-001,-4.8114144E-003, 0.0000000E+000, 2.8004905E+002, 2.8115197E+002, 4.7363725E-004, 5.5274322E-002, 1.8009147E-005,-8.0462586E-001,-1.0487536E+000,-7.1962688E-001,-7.9224129E-001,-8.0569430E-001,-8.4974526E-001,-6.9069457E-001,-6.9911130E-001,-1.4022142E+000,-6.4739968E-001,-6.6407384E-001,-1.4429946E+000,-6.4799817E-001,-6.6877839E-001,-1.4282833E+000,-6.4713906E-001,-6.6913565E-001,-1.3479874E+000
 2.5000876E+002, 2.4196194E+003, 0.0000000E+000,-1.9836952E+003, 1.0306282E+000,-2.7566656E+002,-2.2729568E-001,-1.6164525E-003, 0.0000000E+000, 1.6066550E+002, 1.6105944E+002, 3.4822735E-004, 5.4730057E-002, 1.6020581E-005,-8.1313471E-001,-1.0577227E+000,-7.2927467E-001,-8.0486311E-001,-8.0686951E-001,-8.4387693E-001,-6.8897871E-001,-7.0209996E-001,-1.3476101E+000,-6.4743398E-001,-6.6434096E-001,-1.4720435E+000,-6.4797831E-001,-6.6896118E-001,-1.4514535E+000,-6.4716175E-001,-6.6932777E-001,-1.4214330E+000
 2.6000009E+002, 2.3327425E+003, 0.0000000E+000,-1.9358356E+003, 1.3923918E+000,-2.8485767E+002,-2.0911323E-001, 2.6187665E-003, 0.0000000E+000, 1.1270416E+002, 1.1323512E+002, 1.5506665E-004, 4.9940395E-002, 1.2069327E-005,-7.9939263E-001,-1.0603889E+000,-7.2759799E-001,-7.8565931E-001,-8.2836004E-001,-8.6784036E-001,-6.8473701E-001,-7.0130147E-001,-1.3134128E+000,-6.4738982E-001,-6.6420760E-001,-1.3744999E+000,-6.4790052E-001,-6.6891533E-001,-1.4363665E+000,-6.4713557E-001,-6.6919062E-001,-1.4140378E+000
 2.7000571E+002, 2.0112761E+003, 0.0000000E+000,-1.7434350E+003,-1.7326260E+000,-2.6991433E+002,-1.9072263E-001,-3.1158375E-003, 0.0000000E+000,-4.3956123E+000,-3.9996845E+000, 1.9674390E-004, 4.3640999E-002, 7.7962383E-006,-7.9845910E-001,-1.0240298E+000,-7.2728031E-001,-8.0538358E-001,-8.2752697E-001,-8.9638933E-001,-6.8266724E-001,-7.0029527E-001,-1.2284936E+000,-6.4735496E-001,-6.6378079E-001,-1.6087541E+000,-6.4778519E-001,-6.6844699E-001,-1.5365549E+000,-6.4703696E-001,-6.6885278E-001,-1.3617657E+000
 2.8000037E+002, 1.7750824E+003, 0.0000000E+000,-1.5358182E+003, 4.7567471E-001,-2.6404692E+002,-1.7533176E-001, 8.6513867E-003, 0.0000000E+000,-2.5262829E+001,-2.4473715E+001,-4.1086756E-005, 3.7341336E-002,-1.7443333E-007,-7.9875071E-001,-1.0157533E+000,-7.2828681E-001,-7.8884790E-001,-8.3242324E-001,-8.9005839E-001,-6.8648208E-001,-6.9809866E-001,-1.2568877E+000,-6.4731166E-001,-6.6335790E-001,-1.2052257E+000,-6.4791438E-001,-6.6835217E-001,-1.3645808E+000,-6.4713013E-001,-6.6884145E-001,-1.3880789E+000
 2.9000491E+002, 1.4462061E+003, 0.0000000E+000,-1.2860982E+003,-4.0390919E+000,-2.4741661E+002,-1.5446272E-001, 5.3823333E-003, 0.0000000E+000,-9.2073145E+001,-9.1496856E+001,-1.9127625E-004, 3.1041467E-002,-2.7726604E-006,-7.8900589E-001,-1.0554965E+000,-7.3154186E-001,-7.7216046E-001,-8.1727232E-001,-8.9555671E-001,-6.8241813E-001,-6.9743362E-001,-1.1184800E+000,-6.4721821E-001,-6.6300251E-001,-1.1352088E+000,-6.4783347E-001,-6.6819876E-001,-1.2527408E+000,-6.4714491E-001,-6.6865228E-001,-1.3894030E+000
 3.0000507E+002, 1.1416705E+003, 0.0000000E+000,-1.0451199E+003,-4.2258753E+000,-2.3258181E+002,-1.2784422E-001,-9.0948468E-003, 0.0000000E+000,-1.4041656E+002,-1.4039399E+002,-1.8516367E-004, 2.4739864E-002,-7.5086834E-006,-7.8527653E-001,-1.0666540E+000,-7.4552223E-001,-7.8694703E-001,-8.2675090E-001,-9.0712419E-001,-6.8098136E-001,-6.9629164E-001,-1.1419956E+000,-6.4711860E-001,-6.6244960E-001,-1.4510554E+000,-6.4766390E-001,-6.6782098E-001,-1.4725473E+000,-6.4702832E-001,-6.6840899E-001,-1.3616406E+000
 3.1000000E+002, 8.5111107E+002, 0.0000000E+000,-8.2094680E+002,-5.4219116E+000,-2.1135514E+002,-9.8244884E-002, 6.5350530E-003, 0.0000000E+000,-1.8711626E+002,-1.8670449E+002,-1.5315523E-005, 1.8440867E-002,-6.0400378E-006,-7.9590220E-001,-1.0038225E+000,-7.3088256E-001,-8.4957692E-001,-8.6652304E-001,-9.2307064E-001,-6.8387624E-001,-6.9433286E-001,-1.0372911E+000,-6.4716170E-001,-6.6227641E-001,-1.2920093E+000,-6.4761067E-001,-6.6731062E-001,-1.3516071E+000,-6.4684247E-001,-6.6784447E-001,-1.3361155E+000
 3.2000143E+002, 6.8932888E+002, 0.0000000E+000,-6.5187583E+002,-8.1811302E+000,-1.9240293E+002,-8.2191251E-002,-7.6752061E-004, 0.0000000E+000,-1.6434379E+002,-1.6321397E+002,-4.3064391E-005, 1.5123367E-002,-8.4676218E-006,-7.9691674E-001,-1.0030586E+000,-7.2360248E-001,-8.4013113E-001,-8.6048439E-001,-9.0490189E-001,-6.8455750E-001,-6.9385950E-001,-1.0871338E+000,-6.4713909E-001,-6.6218249E-001,-1.2597544E+000,-6.4760946E-001,-6.6728609E-001,-1.3810258E+000,-6.4687052E-001,-6.6777658E-001,-1.3420201E+000
 3.3001013E+002, 6.7268024E+002, 0.0000000E+000,-5.9882083E+002,-6.8407607E+000,-1.8359891E+002,-8.0908586E-002, 8.7358276E-004, 0.0000000E+000,-1.1771834E+002,-1.1666029E+002,-1.0574963E-005, 1.4778107E-002,-5.6612626E-006,-7.9355256E-001,-9.9465751E-001,-7.2305055E-001,-8.3419827E-001,-8.5316326E-001,-8.9201802E-001,-6.8486993E-001,-6.9290522E-001,-1.0343246E+000,-6.4712718E-001,-6.6193022E-001,-1.2846248E+000,-6.4758253E-001,-6.6715374E-001,-1.3696291E+000,-6.4688439E-001,-6.6764981E-001,-1.3405551E+000
 3.4000208E+002, 6.5714727E+002, 0.0000000E+000,-5.6807493E+002,-5.7469052E+000,-1.7710016E+002,-7.9219037E-002,-4.1021462E-004, 0.0000000E+000,-9.4925399E+001,-9.3854353E+001,-3.1006319E-005, 1.4433050E-002,-7.2416342E-006,-7.9332812E-001,-9.9737362E-001,-7.2312813E-001,-8.3101920E-001,-8.5173258E-001,-8.9073059E-001,-6.8338337E-001,-6.9225370E-001,-1.0469324E+000,-6.4711372E-001,-6.6204554E-001,-1.2720154E+000,-6.4756282E-001,-6.6703812E-001,-1.3611433E+000,-6.4688488E-001,-6.6757488E-001,-1.3712938E+000
 3.5000836E+002, 6.4142297E+002, 0.0000000E+000,-5.4338896E+002,-5.8582420E+000,-1.7005319E+002,-7.7940661E-002, 2.5583535E-003, 0.0000000E+000,-7.8967280E+001,-7.7952799E+001,-4.8360016E-005, 1.4088099E-002,-9.1392987E-006,-7.9431818E-001,-1.0144303E+000,-7.2081180E-001,-8.3604106E-001,-8.5230332E-001,-9.0108923E-001,-6.8155759E-001,-6.9212229E-001,-1.0434874E+000,-6.4710042E-001,-6.6193208E-001,-1.2232777E+000,-6.4755019E-001,-6.6684859E-001,-1.3057257E+000,-6.4687745E-001,-6.6753642E-001,-1.3270372E+000
 3.6000821E+002, 6.2541959E+002, 0.0000000E+000,-5.2038807E+002,-5.7824803E+000,-1.6746296E+002,-7.6617992E-002,-1.0729645E-003, 0.0000000E+000,-6.9419088E+001,-6.8291609E+001,-1.9911210E-005, 1.3742931E-002,-3.7581716E-006,-7.9331672E-001,-1.0166103E+000,-7.2106062E-001,-8.3822877E-001,-8.5348406E-001,-8.9786581E-001,-6.8079144E-001,-6.9127759E-001,-1.0021195E+000,-6.4709614E-001,-6.6179811E-001,-1.2619360E+000,-6.4750864E-001,-6.6678552E-001,-1.3432179E+000,-6.4686163E-001,-6.6744602E-001,-1.3553411E+000
 3.7000800E+002, 6.0966643E+002, 0.0000000E+000,-5.0066228E+002,-6.3455720E+000,-1.6302711E+002,-7.4895963E-002,-1.8573509E-004, 0.0000000E+000,-6.1908487E+001,-6.0443617E+001,-7.2475371E-005, 1.3397876E-002,-1.6143660E-005,-7.9366923E-001,-9.9292121E-001,-7.1842424E-001,-8.4162704E-001,-8.5673521E-001,-8.8302582E-001,-6.8141392E-001,-6.9150311E-001,-1.0315692E+000,-6.4713356E-001,-6.6200248E-001,-1.2729849E+000,-6.4751700E-001,-6.6678270E-001,-1.3458898E+000,-6.4685102E-001,-6.6743483E-001,-1.3277872E+000
 3.8000299E+002, 5.9427286E+002, 0.0000000E+000,-4.8282279E+002,-4.7273541E+000,-1.6046189E+002,-7.3085086E-002,-1.5511024E-003, 0.0000000E+000,-5.4789951E+001,-5.3813808E+001,-9.6363901E-005, 1.3052929E-002,-1.0167948E-005,-7.9373589E-001,-1.0173921E+000,-7.2034748E-001,-8.4532416E-001,-8.5286086E-001,-8.9360809E-001,-6.8087223E-001,-6.9065562E-001,-1.0006658E+000,-6.4709800E-001,-6.6165614E-001,-1.3266828E+000,-6.4749572E-001,-6.6667578E-001,-1.3963549E+000,-6.4685844E-001,-6.6749413E-001,-1.3399994E+000
 3.9000436E+002, 5.7843338E+002, 0.0000000E+000,-4.6585035E+002,-5.2883885E+000,-1.5713157E+002,-7.1717821E-002, 1.8393058E-003, 0.0000000E+000,-5.1242539E+001,-4.9906808E+001,-3.2909185E-005, 1.2707972E-002,-2.5540704E-006,-7.9045790E-001,-1.0092092E+000,-7.2062272E-001,-8.3718952E-001,-8.5127458E-001,-8.8398544E-001,-6.8150295E-001,-6.9039353E-001,-1.0128084E+000,-6.4709168E-001,-6.6155550E-001,-1.2730922E+000,-6.4751680E-001,-6.6661834E-001,-1.3363227E+000,-6.4688184E-001,-6.6743639E-001,-1.3388563E+000
 4.0000397E+002, 5.6264405E+002, 0.0000000E+000,-4.5137540E+002,-6.0513578E+000,-1.5476242E+002,-6.9786251E-002, 2.3116708E-003, 0.0000000E+000,-5.0771338E+001,-4.9612608E+001,-4.7191181E-005, 1.2362903E-002,-1.0314215E-005,-7.9184427E-001,-1.0105704E+000,-7.1869439E-001,-8.5509304E-001,-8.5836664E-001,-8.9167693E-001,-6.7993730E-001,-6.9019905E-001,-1.0075957E+000,-6.4709901E-001,-6.6145953E-001,-1.1975172E+000,-6.4751337E-001,-6.6653145E-001,-1.3001915E+000,-6.4684456E-001,-6.6724367E-001,-1.3144459E+000
 4.1000568E+002, 5.4703494E+002, 0.0000000E+000,-4.3486379E+002,-4.6687446E+000,-1.5199722E+002,-6.8297728E-002,-1.3186984E-003, 0.0000000E+000,-4.5850580E+001,-4.4564428E+001,-5.4763670E-005, 1.2017774E-002,-5.2237111E-006,-7.9206976E-001,-1.0240730E+000,-7.1865681E-001,-8.5407162E-001,-8.6270654E-001,-8.8196638E-001,-6.8038974E-001,-6.8977868E-001,-1.0057804E+000,-6.4709030E-001,-6.6158014E-001,-1.2364601E+000,-6.4747666E-001,-6.6665635E-001,-1.3119007E+000,-6.4683319E-001,-6.6733781E-001,-1.3388170E+000
