s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa
 1.4001680E+002, 1.5995978E+002, 0.0000000E+000,-6.2398955E+001, 2.3465173E+000,-4.1605266E+001,-3.9870936E-002,-4.8527108E-004, 0.0000000E+000, 5.9210186E+001, 5.8261725E+001,-4.4214399E-004, 3.5163446E-003,-1.2168573E-019,-8.0422391E-001,-7.9737951E-001,-1.0938630E+000,-7.6420927E-001,-6.6675958E-001,-8.0582687E-001,-8.7497062E-001,-8.6667796E-001,-7.0110427E-001,-6.9061297E-001,-7.9605961E-001,-6.6852785E-001,-6.8849694E-001,-8.3152157E-001,-6.6915588E-001,-6.8962978E-001,-8.2342126E-001,-6.6813507E-001,-6.8926518E-001,-8.1137934E-001
 1.5001541E+002, 1.5997826E+002, 0.0000000E+000,-6.4405838E+001, 1.9907519E+000,-4.3950885E+001,-3.9884051E-002,-3.1460912E-003, 0.0000000E+000, 5.4502239E+001, 5.3569259E+001,-4.3065208E-004, 3.5163446E-003,-5.0442098E-013,-8.3657058E-001,-8.0832399E-001,-1.1771123E+000,-7.7422608E-001,-6.6664298E-001,-8.4326339E-001,-9.0287273E-001,-8.4592526E-001,-7.0622537E-001,-6.9125499E-001,-8.1286021E-001,-6.6876242E-001,-6.9029328E-001,-8.4545593E-001,-6.6940491E-001,-6.9183247E-001,-8.3576979E-001,-6.6833605E-001,-6.9145423E-001,-8.2312559E-001
 1.6000417E+002, 1.6003511E+002, 0.0000000E+000,-6.6286280E+001, 2.6115691E+000,-4.5899853E+001,-3.9857229E-002,-2.8856045E-003, 0.0000000E+000, 5.0893822E+001, 5.0417803E+001,-3.9115308E-004, 3.5163446E-003,-2.7372665E-011,-8.5761989E-001,-8.2856940E-001,-1.2043078E+000,-7.8357799E-001,-6.6672741E-001,-8.4899362E-001,-9.1798922E-001,-8.6867382E-001,-7.1256462E-001,-6.9099046E-001,-8.2259928E-001,-6.6888666E-001,-6.9142593E-001,-8.7415684E-001,-6.6956816E-001,-6.9386947E-001,-8.6097045E-001,-6.6848138E-001,-6.9316791E-001,-8.3556683E-001
 1.7001332E+002, 1.5997840E+002, 0.0000000E+000,-6.8130663E+001, 1.9423857E+000,-4.8038054E+001,-3.9833279E-002,-1.2701561E-003, 0.0000000E+000, 4.6339635E+001, 4.5710962E+001,-3.9134354E-004, 3.5163446E-003,-3.7018576E-009,-8.5888450E-001,-8.4297518E-001,-1.2163646E+000,-7.9222213E-001,-6.6662004E-001,-8.6406644E-001,-9.3534396E-001,-9.1997418E-001,-7.1348391E-001,-6.9123794E-001,-8.2162780E-001,-6.6902955E-001,-6.9277583E-001,-8.8572336E-001,-6.6971605E-001,-6.9569772E-001,-8.7381912E-001,-6.6864402E-001,-6.9510836E-001,-8.4692755E-001
 1.8000870E+002, 1.5998141E+002, 0.0000000E+000,-6.9476658E+001, 1.8430676E+000,-5.0000988E+001,-3.9845635E-002,-1.2031388E-003, 0.0000000E+000, 4.2863725E+001, 4.2305778E+001,-3.6691899E-004, 3.5163446E-003,-5.9946742E-009,-8.6126996E-001,-8.5442407E-001,-1.2470982E+000,-7.9746322E-001,-6.6660870E-001,-8.8360341E-001,-9.5220777E-001,-9.3217574E-001,-7.1632194E-001,-6.9159603E-001,-8.2175041E-001,-6.6914920E-001,-6.9375103E-001,-8.9222082E-001,-6.6988314E-001,-6.9715050E-001,-8.8102428E-001,-6.6883502E-001,-6.9695566E-001,-8.6307951E-001
 1.9001447E+002, 1.6001767E+002, 0.0000000E+000,-7.0745801E+001, 2.0626715E+000,-5.1373416E+001,-3.9842786E-002,-1.3440261E-003, 0.0000000E+000, 4.0158225E+001, 3.9919933E+001,-2.7208736E-004, 3.5163446E-003,-8.8667360E-009,-8.7804474E-001,-8.6379944E-001,-1.2498418E+000,-8.0068285E-001,-6.6647883E-001,-8.9128868E-001,-9.6373291E-001,-9.4385638E-001,-7.1885825E-001,-6.9182326E-001,-8.1624760E-001,-6.6928664E-001,-6.9441804E-001,-8.9652281E-001,-6.7000110E-001,-6.9815280E-001,-8.9265368E-001,-6.6894633E-001,-6.9801947E-001,-8.7213715E-001
 2.0001421E+002, 1.5998102E+002, 0.0000000E+000,-7.1808146E+001, 1.5845002E+000,-5.2615706E+001,-3.9824105E-002,-1.8386835E-003, 0.0000000E+000, 3.7487685E+001, 3.7100005E+001,-3.5822813E-004, 3.5163446E-003,-1.6464306E-008,-8.9151203E-001,-8.7516938E-001,-1.2942857E+000,-8.0414784E-001,-6.6643924E-001,-9.0789559E-001,-9.7611123E-001,-9.8083323E-001,-7.2297972E-001,-6.9235392E-001,-8.3133872E-001,-6.6937791E-001,-6.9503928E-001,-9.0587438E-001,-6.7009443E-001,-6.9969003E-001,-8.9508587E-001,-6.6907065E-001,-6.9958467E-001,-8.8272038E-001
 2.1000633E+002, 1.6000441E+002, 0.0000000E+000,-7.2865868E+001, 1.8201601E+000,-5.3764904E+001,-3.9814390E-002,-1.3488107E-003, 0.0000000E+000, 3.5271730E+001, 3.5152635E+001,-2.3320144E-004, 3.5163446E-003,-5.0812995E-008,-9.0880832E-001,-8.8370797E-001,-1.3496583E+000,-8.1202674E-001,-6.6634360E-001,-9.1668111E-001,-9.8333176E-001,-9.9280288E-001,-7.2371283E-001,-6.9232967E-001,-8.4113382E-001,-6.6945039E-001,-6.9571233E-001,-8.9837894E-001,-6.7018860E-001,-7.0046939E-001,-8.9555690E-001,-6.6918479E-001,-7.0048197E-001,-8.9079618E-001
 2.2001950E+002, 1.5997835E+002, 0.0000000E+000,-7.3813917E+001, 1.7664078E+000,-5.4986458E+001,-3.9811736E-002,-8.7326017E-004, 0.0000000E+000, 3.3093693E+001, 3.2903701E+001,-2.1242608E-004, 3.5163446E-003,-9.8051393E-008,-9.0633898E-001,-8.9380948E-001,-1.3587504E+000,-8.1160041E-001,-6.6632657E-001,-9.2094448E-001,-9.9703292E-001,-1.0217320E+000,-7.2387458E-001,-6.9257835E-001,-8.3844709E-001,-6.6950254E-001,-6.9590884E-001,-9.1146041E-001,-6.7019901E-001,-7.0129071E-001,-9.1574831E-001,-6.6925648E-001,-7.0146686E-001,-8.9774547E-001
 2.3001738E+002, 1.5996829E+002, 0.0000000E+000,-7.4599836E+001, 1.5296111E+000,-5.5980711E+001,-3.9828529E-002,-1.9285137E-003, 0.0000000E+000, 3.0913198E+001, 3.0875592E+001,-1.9633255E-004, 3.5163446E-003,-1.0804188E-007,-9.4366560E-001,-9.1104545E-001,-1.3812070E+000,-8.1164143E-001,-6.6612150E-001,-9.3858431E-001,-9.9489332E-001,-1.0520293E+000,-7.2472925E-001,-6.9270272E-001,-8.3537804E-001,-6.6960620E-001,-6.9651539E-001,-9.1231472E-001,-6.7027781E-001,-7.0191096E-001,-9.1471592E-001,-6.6935740E-001,-7.0245744E-001,-9.0479150E-001
 2.4001262E+002, 1.6004062E+002, 0.0000000E+000,-7.5495330E+001, 1.5757821E+000,-5.6670802E+001,-3.9838646E-002, 1.2675227E-003, 0.0000000E+000, 2.9409622E+001, 2.9411696E+001,-2.6711046E-004, 3.5163446E-003,-2.9035832E-008,-8.9906126E-001,-9.1298698E-001,-1.4214019E+000,-8.1784130E-001,-6.6608315E-001,-9.3232967E-001,-1.0013959E+000,-1.0798977E+000,-7.2448527E-001,-6.9258654E-001,-8.4391482E-001,-6.6962807E-001,-6.9687416E-001,-9.0280234E-001,-6.7033474E-001,-7.0296814E-001,-9.1754300E-001,-6.6946747E-001,-7.0312562E-001,-9.1443825E-001
 2.5000423E+002, 1.6000303E+002, 0.0000000E+000,-7.6166441E+001, 1.6337555E+000,-5.7959723E+001,-3.9799876E-002,-1.9483839E-003, 0.0000000E+000, 2.7432228E+001, 2.7468869E+001,-1.2735828E-004, 3.5163446E-003,-1.7321483E-007,-9.3476207E-001,-9.2983919E-001,-1.4216098E+000,-8.1583169E-001,-6.6599673E-001,-9.5473578E-001,-9.9354892E-001,-1.0635693E+000,-7.2825114E-001,-6.9243923E-001,-8.3348634E-001,-6.6967633E-001,-6.9649269E-001,-9.1504361E-001,-6.7033894E-001,-7.0301778E-001,-9.2743235E-001,-6.6951000E-001,-7.0383585E-001,-9.1700534E-001
 2.6000854E+002, 1.8643612E+002, 0.0000000E+000,-8.2473807E+001, 1.9506702E+000,-5.8726624E+001,-4.6466540E-002,-1.7392327E-003, 0.0000000E+000, 4.7089584E+001, 4.7138155E+001,-3.1733220E-004, 4.1142979E-003,-4.3757655E-007,-9.5393983E-001,-9.2342398E-001,-1.4552482E+000,-8.2715826E-001,-6.6589901E-001,-9.3911206E-001,-1.0055026E+000,-1.0672188E+000,-7.2624532E-001,-6.9353660E-001,-8.5270977E-001,-6.6971723E-001,-6.9743174E-001,-9.2376405E-001,-6.7040813E-001,-7.0394063E-001,-9.3477955E-001,-6.6963724E-001,-7.0480143E-001,-9.2923522E-001
 2.7000510E+002, 2.4071865E+002, 0.0000000E+000,-9.6511483E+001, 4.7140089E+000,-6.2232184E+001,-5.9572409E-002, 1.1186816E-003, 0.0000000E+000, 8.6639648E+001, 8.6630536E+001,-2.4905575E-004, 5.3070595E-003,-7.4869390E-007,-9.0139993E-001,-9.3036083E-001,-1.4091312E+000,-8.0625179E-001,-6.6566961E-001,-9.6878206E-001,-1.0186210E+000,-1.0712061E+000,-7.3062015E-001,-6.9486358E-001,-8.6355435E-001,-6.6979311E-001,-6.9774654E-001,-9.3994061E-001,-6.7040675E-001,-7.0444607E-001,-9.6334195E-001,-6.6964557E-001,-7.0556562E-001,-9.3019157E-001
 2.8001877E+002, 2.9501377E+002, 0.0000000E+000,-1.1377009E+002, 6.2223893E+000,-6.7639499E+001,-7.2549765E-002,-3.5478947E-003, 0.0000000E+000, 1.1967860E+002, 1.1975047E+002,-3.2689034E-004, 6.4997275E-003,-4.3130611E-007,-9.5746194E-001,-9.3880380E-001,-1.4774559E+000,-8.2550593E-001,-6.6557850E-001,-9.7797850E-001,-1.0239850E+000,-1.0942550E+000,-7.2789706E-001,-6.9690919E-001,-8.5482752E-001,-6.6988996E-001,-6.9863765E-001,-9.5710165E-001,-6.7045392E-001,-7.0567929E-001,-9.7967329E-001,-6.6975441E-001,-7.0670496E-001,-9.4810529E-001
 2.9000925E+002, 3.4931682E+002, 0.0000000E+000,-1.3581624E+002, 7.6484862E+000,-7.3734262E+001,-8.5442500E-002,-2.5636974E-003, 0.0000000E+000, 1.4732367E+002, 1.4732680E+002,-3.6837475E-004, 7.6921592E-003,-3.9857193E-007,-9.8640592E-001,-9.5161740E-001,-1.4959372E+000,-8.2817521E-001,-6.6538597E-001,-9.8383537E-001,-1.0308250E+000,-1.1194127E+000,-7.3039400E-001,-6.9818986E-001,-8.9458812E-001,-6.7002835E-001,-6.9973055E-001,-9.4185228E-001,-6.7065430E-001,-7.0684746E-001,-9.8524093E-001,-6.6995459E-001,-7.0820222E-001,-9.7587950E-001
 3.0001437E+002, 3.7544312E+002, 0.0000000E+000,-1.5648533E+002, 8.0763608E+000,-8.1892454E+001,-9.1403951E-002,-3.6033347E-003, 0.0000000E+000, 1.4490367E+002, 1.4504668E+002,-3.0710019E-004, 8.2494951E-003,-1.2876913E-006,-1.0176611E+000,-9.6337591E-001,-1.5237926E+000,-8.3476293E-001,-6.6539271E-001,-9.9608429E-001,-1.0541554E+000,-1.1212263E+000,-7.3218483E-001,-6.9953572E-001,-8.9461765E-001,-6.7015533E-001,-7.0069776E-001,-1.0035221E+000,-6.7067283E-001,-7.0796879E-001,-1.0187204E+000,-6.7001746E-001,-7.0942806E-001,-9.8254811E-001
 3.1000400E+002, 3.7216539E+002, 0.0000000E+000,-1.7044400E+002, 6.8305393E+000,-8.7938617E+001,-9.0657770E-002,-1.1767030E-003, 0.0000000E+000, 1.2048569E+002, 1.2052147E+002,-3.4494340E-004, 8.1781274E-003,-7.8119838E-007,-1.0218520E+000,-9.7569617E-001,-1.5437422E+000,-8.3702036E-001,-6.6532836E-001,-1.0097799E+000,-1.0710723E+000,-1.1314404E+000,-7.3492092E-001,-6.9980132E-001,-9.2961393E-001,-6.7024787E-001,-7.0146974E-001,-9.7847939E-001,-6.7080724E-001,-7.0890490E-001,-1.0157609E+000,-6.7016730E-001,-7.1079813E-001,-1.0098806E+000
 3.2001752E+002, 3.6884003E+002, 0.0000000E+000,-1.8183545E+002, 4.7693401E+000,-9.2780837E+001,-8.9836292E-002,-3.6398791E-003, 0.0000000E+000, 9.8842219E+001, 9.8899612E+001,-3.3799359E-004, 8.1066791E-003,-1.3637465E-006,-1.0378363E+000,-9.7886305E-001,-1.5459261E+000,-8.3845877E-001,-6.6515917E-001,-1.0319418E+000,-1.0750181E+000,-1.1220086E+000,-7.3718191E-001,-7.0084741E-001,-9.4179885E-001,-6.7041292E-001,-7.0273298E-001,-1.0533292E+000,-6.7085778E-001,-7.0973787E-001,-1.0842692E+000,-6.7024053E-001,-7.1195721E-001,-1.0208777E+000
 3.3001413E+002, 3.6570943E+002, 0.0000000E+000,-1.9052509E+002, 4.2616540E+000,-9.6097784E+001,-8.9000398E-002,-1.9337943E-003, 0.0000000E+000, 8.3140184E+001, 8.3257275E+001,-3.8485397E-004, 8.0351339E-003,-1.3483375E-006,-1.0672754E+000,-9.8395177E-001,-1.5666179E+000,-8.4966011E-001,-6.6515975E-001,-1.0338522E+000,-1.0783126E+000,-1.1677911E+000,-7.3671036E-001,-7.0149587E-001,-9.5819517E-001,-6.7044959E-001,-7.0333127E-001,-1.0538301E+000,-6.7092199E-001,-7.1095553E-001,-1.0674409E+000,-6.7038024E-001,-7.1312182E-001,-1.0384202E+000
 3.4001520E+002, 3.4763151E+002, 0.0000000E+000,-1.9280547E+002, 3.1232503E+000,-9.8021468E+001,-8.4622461E-002, 9.8557979E-004, 0.0000000E+000, 5.9829953E+001, 5.9844178E+001,-3.1038612E-004, 7.6297641E-003,-3.3465480E-007,-1.0508843E+000,-9.9781199E-001,-1.6044695E+000,-8.5008643E-001,-6.6519403E-001,-1.0442094E+000,-1.0901744E+000,-1.1750339E+000,-7.3947138E-001,-7.0090173E-001,-9.4390617E-001,-6.7048666E-001,-7.0385063E-001,-1.0112630E+000,-6.7102139E-001,-7.1167609E-001,-1.0588140E+000,-6.7048371E-001,-7.1412378E-001,-1.0540709E+000
 3.5000446E+002, 3.1411303E+002, 0.0000000E+000,-1.8692639E+002, 1.2203153E+000,-9.8690250E+001,-7.6715333E-002,-4.3972319E-003, 0.0000000E+000, 2.9478287E+001, 2.9635593E+001,-2.8713834E-004, 6.8938904E-003,-2.1035970E-006,-1.0579116E+000,-1.0057809E+000,-1.6325469E+000,-8.5000324E-001,-6.6515578E-001,-1.0549021E+000,-1.0953071E+000,-1.1844703E+000,-7.3975333E-001,-7.0082158E-001,-9.6759055E-001,-6.7052746E-001,-7.0394121E-001,-1.1189455E+000,-6.7098376E-001,-7.1232228E-001,-1.1400286E+000,-6.7047378E-001,-7.1486673E-001,-1.0684586E+000
 3.6000412E+002, 2.9742489E+002, 0.0000000E+000,-1.8025486E+002, 2.1550137E-001,-9.8036623E+001,-7.2868542E-002, 7.5771374E-004, 0.0000000E+000, 1.9138702E+001, 1.9276803E+001,-2.1296140E-004, 6.5360607E-003,-1.4283097E-006,-1.0774404E+000,-1.0073832E+000,-1.6277996E+000,-8.5576879E-001,-6.6518051E-001,-1.0670181E+000,-1.1057664E+000,-1.1825545E+000,-7.4163839E-001,-7.0068525E-001,-9.4584159E-001,-6.7058951E-001,-7.0446776E-001,-1.0705200E+000,-6.7108198E-001,-7.1308428E-001,-1.0872040E+000,-6.7055625E-001,-7.1550778E-001,-1.0819834E+000
 3.7001343E+002, 2.9813178E+002, 0.0000000E+000,-1.7689563E+002, 6.9906783E-001,-9.8472095E+001,-7.2950035E-002,-1.7585912E-003, 0.0000000E+000, 2.3242903E+001, 2.3388415E+001,-2.2322173E-004, 6.5536146E-003,-1.3061451E-006,-1.1361204E+000,-1.0200613E+000,-1.5797496E+000,-8.5917232E-001,-6.6510469E-001,-1.0773510E+000,-1.1193325E+000,-1.1561572E+000,-7.4633806E-001,-7.0038466E-001,-9.4499797E-001,-6.7062226E-001,-7.0443945E-001,-1.0355335E+000,-6.7114950E-001,-7.1333200E-001,-1.0805633E+000,-6.7058099E-001,-7.1585037E-001,-1.0836091E+000
 3.8000375E+002, 2.9901284E+002, 0.0000000E+000,-1.7556842E+002, 5.8185765E-001,-9.9043405E+001,-7.3159785E-002, 9.6056275E-004, 0.0000000E+000, 2.4604955E+001, 2.4910675E+001,-2.1169683E-004, 6.5711991E-003,-2.1169214E-006,-1.0930300E+000,-1.0267969E+000,-1.6237270E+000,-8.5779345E-001,-6.6502988E-001,-1.0752765E+000,-1.1228843E+000,-1.1837072E+000,-7.4344750E-001,-7.0032534E-001,-9.3319815E-001,-6.7066268E-001,-7.0435231E-001,-1.0630928E+000,-6.7115496E-001,-7.1368948E-001,-1.0919821E+000,-6.7062270E-001,-7.1635852E-001,-1.0927974E+000
