s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa
 1.4001804E+002, 1.4999507E+001, 0.0000000E+000,-1.7049318E+001,-8.6023535E-001,-2.0115105E+001,-2.0696874E-003,-5.6200314E-004, 0.0000000E+000,-2.2696255E+001,-2.3027782E+001,-2.5136110E-004, 3.2965731E-004,-1.1481459E-024,-7.2563393E-001,-7.7112667E-001,-9.4203287E-001,-7.0935165E-001,-6.4606489E-001,-7.4957611E-001,-8.0642371E-001,-7.9831025E-001,-6.8164206E-001,-6.5278839E-001,-7.1127692E-001,-6.4602263E-001,-6.5922790E-001,-7.3978550E-001,-6.4687255E-001,-6.6250023E-001,-7.3566601E-001,-6.4589627E-001,-6.6213833E-001,-7.2751648E-001
 1.5000481E+002, 1.4997713E+001, 0.0000000E+000,-1.6078510E+001,-8.5332939E-001,-1.9065084E+001,-2.0693365E-003,-1.2311108E-003, 0.0000000E+000,-2.0850455E+001,-2.1002511E+001,-1.9065003E-004, 3.2965731E-004,-1.3261160E-021,-7.3909905E-001,-7.6864004E-001,-9.7102409E-001,-7.1767585E-001,-6.4584146E-001,-7.8763660E-001,-8.3093017E-001,-8.1960987E-001,-6.8482334E-001,-6.5211358E-001,-7.0746132E-001,-6.4615175E-001,-6.5939597E-001,-7.4658624E-001,-6.4694084E-001,-6.6316852E-001,-7.3818681E-001,-6.4588005E-001,-6.6303423E-001,-7.2770244E-001
 1.6002045E+002, 1.4997506E+001, 0.0000000E+000,-1.5232490E+001,-6.0296739E-001,-1.8156344E+001,-2.0683826E-003, 7.9587274E-005, 0.0000000E+000,-1.8995312E+001,-1.8996284E+001,-7.8708123E-006, 3.2965731E-004,-4.9234802E-015,-7.3754830E-001,-7.7568612E-001,-9.9463582E-001,-7.1783603E-001,-6.4594212E-001,-7.6959319E-001,-8.2143591E-001,-8.2150554E-001,-6.8376218E-001,-6.5141781E-001,-7.0442704E-001,-6.4611927E-001,-6.5896269E-001,-7.4708780E-001,-6.4696527E-001,-6.6364846E-001,-7.3990049E-001,-6.4593990E-001,-6.6343332E-001,-7.2731854E-001
 1.7000722E+002, 1.4998398E+001, 0.0000000E+000,-1.4497539E+001,-4.2662866E-001,-1.7182821E+001,-2.0652106E-003, 1.7629742E-004, 0.0000000E+000,-1.7183754E+001,-1.7110480E+001,-8.8111343E-005, 3.2965731E-004,-3.1417875E-012,-7.3407308E-001,-7.7466422E-001,-1.0154279E+000,-7.1745133E-001,-6.4580982E-001,-7.7996851E-001,-8.1871696E-001,-8.3069271E-001,-6.8146700E-001,-6.5046693E-001,-7.0060749E-001,-6.4612589E-001,-6.5831879E-001,-7.4684354E-001,-6.4695878E-001,-6.6379195E-001,-7.3948068E-001,-6.4595036E-001,-6.6356459E-001,-7.2768982E-001
 1.8002286E+002, 1.4996400E+001, 0.0000000E+000,-1.3858260E+001,-4.2582560E-001,-1.6481344E+001,-2.0645644E-003,-9.0953258E-005, 0.0000000E+000,-1.5839062E+001,-1.5771185E+001, 1.8515829E-005, 3.2965731E-004,-1.9203427E-011,-7.3273375E-001,-7.7530931E-001,-9.8800872E-001,-7.1710967E-001,-6.4585772E-001,-7.8889301E-001,-8.3056538E-001,-8.2875519E-001,-6.8469576E-001,-6.4997953E-001,-7.0099681E-001,-6.4613923E-001,-6.5757361E-001,-7.4704231E-001,-6.4695505E-001,-6.6345720E-001,-7.4133033E-001,-6.4591064E-001,-6.6354427E-001,-7.2820372E-001
 1.9000963E+002, 1.5000876E+001, 0.0000000E+000,-1.3306150E+001,-3.0954263E-001,-1.5695490E+001,-2.0658755E-003, 1.2877621E-005, 0.0000000E+000,-1.4376190E+001,-1.4312360E+001,-3.8431781E-006, 3.2965731E-004,-6.1079517E-011,-7.3451101E-001,-7.8605732E-001,-9.6895977E-001,-7.1860541E-001,-6.4577316E-001,-7.8889053E-001,-8.2500825E-001,-8.1468638E-001,-6.8524145E-001,-6.4908648E-001,-7.0037853E-001,-6.4608604E-001,-6.5704100E-001,-7.4322652E-001,-6.4694586E-001,-6.6381627E-001,-7.3918651E-001,-6.4594270E-001,-6.6370508E-001,-7.2870387E-001
 2.0002525E+002, 1.4997316E+001, 0.0000000E+000,-1.2805325E+001,-3.1175294E-001,-1.5079289E+001,-2.0659913E-003, 5.1521536E-004, 0.0000000E+000,-1.3452230E+001,-1.3200602E+001, 4.0434923E-006, 3.2965731E-004,-2.1942389E-010,-7.3234559E-001,-7.6873961E-001,-1.0094757E+000,-7.2359014E-001,-6.4568207E-001,-7.7670831E-001,-8.1937812E-001,-8.1715891E-001,-6.8159569E-001,-6.4897627E-001,-6.9847802E-001,-6.4605432E-001,-6.5665599E-001,-7.3570513E-001,-6.4691787E-001,-6.6305538E-001,-7.3563357E-001,-6.4594729E-001,-6.6317323E-001,-7.2609494E-001
 2.1001202E+002, 1.4998404E+001, 0.0000000E+000,-1.2357435E+001,-6.7533399E-002,-1.4394122E+001,-2.0659793E-003, 1.3860113E-004, 0.0000000E+000,-1.2014191E+001,-1.1822614E+001, 1.7889937E-005, 3.2965731E-004,-6.3970813E-010,-7.2801601E-001,-7.7476678E-001,-1.0192856E+000,-7.1820495E-001,-6.4571016E-001,-7.9288183E-001,-8.2581494E-001,-8.2856575E-001,-6.8343646E-001,-6.4812002E-001,-6.9550382E-001,-6.4604819E-001,-6.5566206E-001,-7.3366764E-001,-6.4685534E-001,-6.6319607E-001,-7.3132965E-001,-6.4589812E-001,-6.6311177E-001,-7.2550047E-001
 2.2002766E+002, 1.4999125E+001, 0.0000000E+000,-1.1963281E+001,-2.6216844E-001,-1.3972084E+001,-2.0648575E-003, 6.0360763E-004, 0.0000000E+000,-1.1345256E+001,-1.1199869E+001, 1.0623329E-005, 3.2965731E-004,-3.1290432E-009,-7.2297358E-001,-7.7767737E-001,-9.8085307E-001,-7.1252824E-001,-6.4559389E-001,-7.7506067E-001,-8.1549086E-001,-8.2127374E-001,-6.8125807E-001,-6.4748614E-001,-6.9516865E-001,-6.4599573E-001,-6.5494018E-001,-7.3057522E-001,-6.4682353E-001,-6.6256350E-001,-7.3213939E-001,-6.4592998E-001,-6.6291546E-001,-7.2613052E-001
 2.3001443E+002, 1.4999253E+001, 0.0000000E+000,-1.1613105E+001,-1.1061373E-001,-1.3425046E+001,-2.0654319E-003,-4.5247721E-004, 0.0000000E+000,-1.0365603E+001,-1.0152029E+001, 3.2819576E-005, 3.2965731E-004,-1.0475462E-008,-7.2949497E-001,-7.7676253E-001,-9.5504013E-001,-7.2006944E-001,-6.4561500E-001,-7.9364168E-001,-8.2274479E-001,-8.2617063E-001,-6.8408266E-001,-6.4712512E-001,-6.9699952E-001,-6.4597781E-001,-6.5448525E-001,-7.3044062E-001,-6.4675260E-001,-6.6222753E-001,-7.3094795E-001,-6.4586418E-001,-6.6266296E-001,-7.2532740E-001
 2.4000121E+002, 1.4998783E+001, 0.0000000E+000,-1.1309550E+001,-1.5505505E-001,-1.2943300E+001,-2.0643020E-003, 1.0502338E-004, 0.0000000E+000,-9.5439130E+000,-9.4110819E+000,-3.0506233E-005, 3.2965731E-004,-2.0418213E-008,-7.2974594E-001,-7.7369300E-001,-9.8107612E-001,-7.2119705E-001,-6.4552666E-001,-7.7852373E-001,-8.1936022E-001,-8.3293920E-001,-6.8105206E-001,-6.4676551E-001,-6.9450987E-001,-6.4592483E-001,-6.5442661E-001,-7.2951928E-001,-6.4669497E-001,-6.6209499E-001,-7.3293229E-001,-6.4587535E-001,-6.6251414E-001,-7.2420072E-001
 2.5001683E+002, 1.4999502E+001, 0.0000000E+000,-1.1028373E+001,-1.6082227E-001,-1.2592831E+001,-2.0648172E-003, 1.4952340E-004, 0.0000000E+000,-9.0274510E+000,-8.7844389E+000, 5.6449916E-005, 3.2965731E-004,-1.0514281E-008,-7.2729483E-001,-7.7615796E-001,-1.0140615E+000,-7.1454718E-001,-6.4549648E-001,-7.8544908E-001,-8.1380763E-001,-8.4476499E-001,-6.7945421E-001,-6.4660184E-001,-6.9255233E-001,-6.4591151E-001,-6.5388632E-001,-7.2838377E-001,-6.4662302E-001,-6.6130442E-001,-7.3205042E-001,-6.4582773E-001,-6.6218060E-001,-7.2355726E-001
 2.6000360E+002, 1.4999808E+001, 0.0000000E+000,-1.0778612E+001,-1.6737416E-001,-1.2200908E+001,-2.0647570E-003, 2.8105485E-004, 0.0000000E+000,-8.3226008E+000,-8.1488697E+000, 3.2821013E-005, 3.2965731E-004,-4.6017997E-008,-7.2433904E-001,-7.7133986E-001,-9.8824804E-001,-7.1544687E-001,-6.4542085E-001,-7.7840198E-001,-8.0788838E-001,-8.3685270E-001,-6.7924566E-001,-6.4625529E-001,-6.9445155E-001,-6.4586533E-001,-6.5329334E-001,-7.2742461E-001,-6.4657149E-001,-6.6107097E-001,-7.3378443E-001,-6.4581800E-001,-6.6191479E-001,-7.2390559E-001
 2.7001923E+002, 1.4997876E+001, 0.0000000E+000,-1.0553898E+001,-9.5780258E-002,-1.1957928E+001,-2.0656563E-003, 3.1642975E-004, 0.0000000E+000,-7.7849012E+000,-7.6114795E+000, 2.1219394E-005, 3.2965731E-004,-2.9654868E-009,-7.2328751E-001,-7.6486798E-001,-9.4942279E-001,-7.1450496E-001,-6.4525484E-001,-7.8005021E-001,-8.1094526E-001,-8.2725944E-001,-6.7880746E-001,-6.4589468E-001,-6.9386313E-001,-6.4583144E-001,-6.5327890E-001,-7.2672487E-001,-6.4650121E-001,-6.6074996E-001,-7.3258840E-001,-6.4578596E-001,-6.6166893E-001,-7.2282158E-001
 2.8000601E+002, 1.5000653E+001, 0.0000000E+000,-1.0354908E+001,-1.1254705E-001,-1.1653854E+001,-2.0661549E-003,-3.6138188E-005, 0.0000000E+000,-7.3194474E+000,-7.1227588E+000, 3.6281479E-005, 3.2965731E-004,-3.0520074E-008,-7.2327638E-001,-7.7163427E-001,-9.5280377E-001,-7.1100075E-001,-6.4524054E-001,-7.7940782E-001,-8.1171387E-001,-8.2214089E-001,-6.8060767E-001,-6.4565887E-001,-6.9482221E-001,-6.4581454E-001,-6.5264575E-001,-7.2314761E-001,-6.4644497E-001,-6.6037833E-001,-7.3300336E-001,-6.4575304E-001,-6.6135376E-001,-7.2275864E-001
 2.9002164E+002, 1.4999313E+001, 0.0000000E+000,-1.0175045E+001,-1.2826245E-001,-1.1410767E+001,-2.0657694E-003, 3.0133952E-004, 0.0000000E+000,-6.9278837E+000,-6.7165258E+000, 3.9230413E-005, 3.2965731E-004,-5.2501195E-009,-7.2500813E-001,-7.6331629E-001,-9.7036996E-001,-7.1368774E-001,-6.4507222E-001,-7.6496156E-001,-7.9687821E-001,-8.1533973E-001,-6.7560799E-001,-6.4563940E-001,-6.9301355E-001,-6.4575740E-001,-6.5238529E-001,-7.2346407E-001,-6.4638987E-001,-6.5978372E-001,-7.3060085E-001,-6.4576700E-001,-6.6101313E-001,-7.2166983E-001
 3.0000842E+002, 1.4996918E+001, 0.0000000E+000,-1.0007062E+001,-6.4066547E-002,-1.1147882E+001,-2.0654669E-003,-2.5964195E-004, 0.0000000E+000,-6.3958741E+000,-6.2244185E+000,-1.0104750E-005, 3.2965731E-004,-4.0707425E-008,-7.2851720E-001,-7.6161768E-001,-9.6947980E-001,-7.1327362E-001,-6.4503635E-001,-7.8277320E-001,-8.0269744E-001,-8.1456323E-001,-6.7882479E-001,-6.4511914E-001,-6.9113409E-001,-6.4578752E-001,-6.5248454E-001,-7.2306266E-001,-6.4634393E-001,-6.5942368E-001,-7.3074352E-001,-6.4570632E-001,-6.6077932E-001,-7.2170115E-001
 3.1002405E+002, 1.5000192E+001, 0.0000000E+000,-9.8602898E+000,-1.8332707E-001,-1.0912516E+001,-2.0647589E-003, 3.2947000E-004, 0.0000000E+000,-6.0804625E+000,-5.9576759E+000,-3.4445848E-005, 3.2965731E-004, 4.7734547E-008,-7.2339008E-001,-7.6850844E-001,-9.5601750E-001,-7.0811106E-001,-6.4503018E-001,-7.6874201E-001,-8.0648518E-001,-8.1518172E-001,-6.7698185E-001,-6.4488103E-001,-6.9065513E-001,-6.4573558E-001,-6.5203612E-001,-7.2092912E-001,-6.4631254E-001,-6.5945595E-001,-7.3174437E-001,-6.4572242E-001,-6.6082013E-001,-7.2205415E-001
 3.2001080E+002, 1.4996292E+001, 0.0000000E+000,-9.7265121E+000,-1.6656476E-001,-1.0711503E+001,-2.0656719E-003, 1.3571429E-004, 0.0000000E+000,-5.7593303E+000,-5.6102173E+000,-7.3724841E-006, 3.2965731E-004,-3.5480555E-008,-7.2340206E-001,-7.6177392E-001,-9.5476645E-001,-7.1050751E-001,-6.4488615E-001,-7.7833753E-001,-7.9967579E-001,-8.2282504E-001,-6.7671493E-001,-6.4470768E-001,-6.9070756E-001,-6.4572650E-001,-6.5183230E-001,-7.1783998E-001,-6.4628432E-001,-6.5924267E-001,-7.2984194E-001,-6.4571456E-001,-6.6063588E-001,-7.2177542E-001
 3.3002646E+002, 1.4997984E+001, 0.0000000E+000,-9.6008287E+000,-6.7623573E-002,-1.0529129E+001,-2.0664407E-003, 1.2163894E-004, 0.0000000E+000,-5.4069407E+000,-5.2015422E+000, 3.5745093E-005, 3.2965731E-004,-1.1249979E-007,-7.2324676E-001,-7.5751640E-001,-9.6525304E-001,-7.1097488E-001,-6.4491178E-001,-7.6838285E-001,-7.9525068E-001,-8.3827034E-001,-6.7497190E-001,-6.4449903E-001,-6.9287627E-001,-6.4567232E-001,-6.5141556E-001,-7.1619453E-001,-6.4625393E-001,-6.5848751E-001,-7.2791255E-001,-6.4571682E-001,-6.6048380E-001,-7.2125445E-001
 3.4001321E+002, 1.4997911E+001, 0.0000000E+000,-9.4862197E+000,-9.3412007E-002,-1.0296555E+001,-2.0668182E-003, 1.9544933E-004, 0.0000000E+000,-5.0434200E+000,-4.8801472E+000,-9.9266551E-006, 3.2965731E-004,-1.8640399E-008,-7.2049868E-001,-7.6069699E-001,-9.5416765E-001,-7.0625225E-001,-6.4490157E-001,-7.7037758E-001,-8.0036289E-001,-8.4375855E-001,-6.7424291E-001,-6.4442638E-001,-6.9275899E-001,-6.4566866E-001,-6.5125398E-001,-7.1503197E-001,-6.4621730E-001,-6.5868612E-001,-7.2572938E-001,-6.4569085E-001,-6.6019970E-001,-7.2089275E-001
 3.5002884E+002, 1.5000013E+001, 0.0000000E+000,-9.3902680E+000,-5.7468614E-002,-1.0179815E+001,-2.0669684E-003, 1.4851873E-004, 0.0000000E+000,-4.7910014E+000,-4.6294562E+000, 2.0637964E-006, 3.2965731E-004,-8.1016652E-008,-7.1912643E-001,-7.6079988E-001,-9.3266833E-001,-7.0873682E-001,-6.4480904E-001,-7.6851737E-001,-7.9704264E-001,-8.3460424E-001,-6.7570747E-001,-6.4414050E-001,-6.9116799E-001,-6.4566657E-001,-6.5132432E-001,-7.1519247E-001,-6.4618240E-001,-6.5817374E-001,-7.2475693E-001,-6.4568743E-001,-6.6015812E-001,-7.2092539E-001
 3.6001562E+002, 1.4997207E+001, 0.0000000E+000,-9.2969232E+000,-1.1916845E-001,-9.9316056E+000,-2.0661620E-003,-8.1886563E-007, 0.0000000E+000,-4.5323243E+000,-4.3525570E+000,-3.1767709E-006, 3.2965731E-004,-4.4125897E-008,-7.2291135E-001,-7.5712210E-001,-9.3843415E-001,-7.0937828E-001,-6.4479150E-001,-7.6901439E-001,-7.9372048E-001,-8.2321854E-001,-6.7382764E-001,-6.4406586E-001,-6.9098122E-001,-6.4563812E-001,-6.5094966E-001,-7.1440599E-001,-6.4614918E-001,-6.5777657E-001,-7.2340376E-001,-6.4567228E-001,-6.5995184E-001,-7.2050712E-001
 3.7000238E+002, 1.4997489E+001, 0.0000000E+000,-9.2202404E+000,-1.0517064E-001,-9.8035243E+000,-2.0670892E-003,-1.5665254E-004, 0.0000000E+000,-4.3005636E+000,-4.1336698E+000,-2.5580483E-005, 3.2965731E-004,-2.2819401E-007,-7.2477906E-001,-7.6051192E-001,-9.5057284E-001,-7.0814532E-001,-6.4480524E-001,-7.6721805E-001,-7.9209926E-001,-8.1060397E-001,-6.7530488E-001,-6.4401148E-001,-6.9296168E-001,-6.4562286E-001,-6.5076676E-001,-7.1421863E-001,-6.4611514E-001,-6.5757470E-001,-7.2388844E-001,-6.4565817E-001,-6.5982228E-001,-7.2016549E-001
 3.8001804E+002, 1.4997854E+001, 0.0000000E+000,-9.1593668E+000,-2.7231094E-002,-9.6671743E+000,-2.0677557E-003, 4.3625422E-004, 0.0000000E+000,-4.0431267E+000,-3.8575496E+000,-2.7523331E-005, 3.2965731E-004,-9.0479082E-008,-7.1932128E-001,-7.5504354E-001,-9.4148577E-001,-7.0859520E-001,-6.4478170E-001,-7.6067036E-001,-7.8941999E-001,-7.9553097E-001,-6.7246536E-001,-6.4373373E-001,-6.9099066E-001,-6.4558515E-001,-6.5083685E-001,-7.1667303E-001,-6.4608058E-001,-6.5734616E-001,-7.2432956E-001,-6.4564750E-001,-6.5952475E-001,-7.1952928E-001
